Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|1.69|0.33|2.53|0|16|16|50|12|1347762.30|-7.06
1|0.00|0.50|2.54|0|50|66|50|37|1336084.61|-7.05
2|0.00|0.51|2.57|0|50|116|50|69|1313578.59|-20.41
3|0.00|0.53|2.59|0|50|166|50|89|1287009.41|-32.42
4|0.00|0.53|2.53|0|50|216|50|115|1275503.98|-40.12
5|0.00|0.52|2.52|0|50|266|50|142|1261619.59|-59.02
6|0.00|0.53|2.50|0|50|316|50|155|1236228.22|-50.23
7|0.01|0.54|2.51|0|50|366|50|183|1210265.59|-40.74
8|0.00|0.54|2.52|0|50|416|50|202|1188244.76|-40.39
9|0.00|0.56|2.49|0|50|466|50|209|1173763.17|-45.81
10|0.00|0.56|2.51|0|50|516|50|228|1158967.17|-68.53
11|0.01|0.58|2.52|0|50|566|50|241|1135134.84|-37.65
12|0.01|0.62|2.50|0|50|616|50|259|1103374.80|-50.28
13|0.01|0.67|2.51|0|50|666|50|266|1067534.86|-48.45
14|0.00|0.69|2.52|0|50|716|50|280|1030256.23|-46.87
15|0.00|0.79|2.50|0|50|766|50|299|1007399.31|-37.82
16|0.01|0.89|2.53|0|50|816|50|309|985298.64|-46.33
17|0.00|1.03|2.53|0|50|866|50|323|957164.43|-37.72
18|0.00|1.23|2.51|0|50|916|50|343|925387.93|-19.80
19|0.00|1.25|2.50|0|50|966|50|351|896114.40|-30.65
20|0.00|1.30|2.53|0|50|1016|50|377|879815.39|-35.18
21|0.01|1.35|2.54|0|50|1066|50|385|847266.09|-17.62
22|0.00|1.42|2.61|0|50|1116|50|394|820636.97|-17.88
23|0.01|1.49|2.56|0|50|1166|50|407|803384.39|-13.99
24|0.00|1.51|2.52|0|50|1216|50|425|783762.35|-23.30
25|0.00|1.61|2.54|0|50|1266|50|438|767348.97|-17.63
26|0.00|1.63|2.53|0|50|1316|50|443|723874.99|-13.82
27|0.00|1.74|2.54|0|50|1366|50|453|707203.19|-9.03
28|0.01|1.74|2.53|0|50|1416|50|474|687663.27|-11.93
29|0.01|1.66|2.55|0|50|1466|50|468|668645.58|-12.73
30|0.01|1.76|2.52|0|50|1516|50|482|654572.86|-6.85
31|0.01|1.98|2.51|0|50|1566|50|490|635223.80|-18.75
32|0.01|2.08|2.52|0|50|1616|50|510|615664.14|-11.34
33|0.01|2.24|2.52|0|50|1666|50|515|588144.83|-12.03
34|0.01|2.28|2.53|0|50|1716|50|519|570845.78|-11.88
35|0.01|2.08|2.53|0|50|1766|50|537|553651.40|-6.81
36|0.01|2.13|2.52|0|50|1816|50|545|532012.94|-10.46
37|0.01|2.22|2.59|0|50|1866|50|534|511931.88|-9.99
38|0.01|2.29|2.46|0|50|1916|50|552|493759.08|-6.62
39|0.01|2.36|2.52|0|50|1966|50|563|483646.19|-8.43
40|0.01|2.37|2.51|0|50|2016|50|572|460134.93|-7.85
41|0.01|2.39|2.52|0|50|2066|50|580|446896.13|-11.53
42|0.01|2.48|2.50|0|50|2116|50|592|422459.17|-14.84
43|0.01|2.47|2.49|0|50|2166|50|612|401114.06|-6.98
44|0.01|2.43|2.50|0|50|2216|50|607|385876.96|-10.29
