p_i|t_i|p_j|t_j|key|tt|pf
72|1|72|2|h|1|-0.169725
72|2|72|3|h|1|-0.22655
72|3|72|4|h|1|-0.175664
72|4|72|5|h|1|-0.184499
72|5|72|6|h|1|-0.164991
72|6|72|7|h|1|-0.174162
72|7|72|8|h|1|-0.197426
72|8|72|9|h|1|-0.204364
72|9|72|10|h|1|-0.175963
72|10|72|11|h|1|-0.16126
72|11|72|12|h|1|-0.18738
72|12|72|13|h|1|-0.17509
72|13|72|14|h|1|-0.173942
72|14|72|15|h|1|-0.231958
72|15|72|16|h|1|-0.205034
72|16|72|17|h|1|-0.200377
72|17|72|18|h|1|-0.189319
72|18|72|19|h|1|-0.190351
72|19|72|20|h|1|-0.199125
72|20|72|21|h|1|-0.211313
72|21|72|22|h|1|-0.211761
72|22|72|23|h|1|-0.170191
72|23|72|24|h|1|-0.195928
72|24|72|25|h|1|-0.18902
72|25|72|26|h|1|-0.224957
72|26|72|27|h|1|-0.206219
72|27|72|28|h|1|-0.198467
72|28|72|29|h|1|-0.165779
72|29|72|30|h|1|-0.204198
72|30|72|31|h|1|-0.165921
72|31|72|32|h|1|-0.183162
72|32|72|33|h|1|-0.16793
72|33|72|34|h|1|-0.210972
72|34|72|35|h|1|-0.172899
72|35|72|36|h|1|-0.187445
72|36|72|37|h|1|-0.226928
72|37|72|38|h|1|-0.172747
72|38|72|39|h|1|-0.196531
72|39|72|40|h|1|-0.189593
72|40|72|41|h|1|-0.158156
72|41|72|42|h|1|-0.218862
72|42|72|43|h|1|-0.162147
72|43|72|44|h|1|-0.193902
72|44|72|45|h|1|-0.200675
72|45|72|46|h|1|-0.205984
72|46|72|47|h|1|-0.210702
72|47|72|48|h|1|-0.176584
72|48|72|49|h|1|-0.157518
72|49|72|50|h|1|-0.21343
72|50|72|51|h|1|-0.198714
72|51|72|52|h|1|-0.22226
72|52|72|1|h|1|-0.221106
72|1|198|6|d|5|-0.257806
72|1|198|6|g|5|0.17577
72|2|198|7|d|5|-0.211591
72|2|198|7|g|5|0.234294
72|3|198|8|d|5|-0.22226
72|3|198|8|g|5|0.189806
72|4|198|9|d|5|-0.258862
72|4|198|9|g|5|0.230402
72|5|198|10|d|5|-0.223621
72|5|198|10|g|5|0.16591
72|6|198|11|d|5|-0.216505
72|6|198|11|g|5|0.210629
72|7|198|12|d|5|-0.263105
72|7|198|12|g|5|0.165546
72|8|198|13|d|5|-0.187413
72|8|198|13|g|5|0.216174
72|9|198|14|d|5|-0.216648
72|9|198|14|g|5|0.199603
72|10|198|15|d|5|-0.269116
72|10|198|15|g|5|0.171793
72|11|198|16|d|5|-0.240124
72|11|198|16|g|5|0.172005
72|12|198|17|d|5|-0.215385
72|12|198|17|g|5|0.228594
72|13|198|18|d|5|-0.220644
72|13|198|18|g|5|0.240762
72|14|198|19|d|5|-0.232031
72|14|198|19|g|5|0.187851
72|15|198|20|d|5|-0.201298
72|15|198|20|g|5|0.20339
72|16|198|21|d|5|-0.215119
72|16|198|21|g|5|0.173213
72|17|198|22|d|5|-0.21485
72|17|198|22|g|5|0.212244
72|18|198|23|d|5|-0.246872
72|18|198|23|g|5|0.241575
72|19|198|24|d|5|-0.245605
72|19|198|24|g|5|0.179005
72|20|198|25|d|5|-0.201077
72|20|198|25|g|5|0.236702
72|21|198|26|d|5|-0.225224
72|21|198|26|g|5|0.163091
72|22|198|27|d|5|-0.254285
72|22|198|27|g|5|0.206656
72|23|198|28|d|5|-0.231066
72|23|198|28|g|5|0.181703
72|24|198|29|d|5|-0.250841
72|24|198|29|g|5|0.228218
72|25|198|30|d|5|-0.252241
72|25|198|30|g|5|0.239208
72|26|198|31|d|5|-0.254149
72|26|198|31|g|5|0.208817
72|27|198|32|d|5|-0.194064
72|27|198|32|g|5|0.225258
72|28|198|33|d|5|-0.237599
72|28|198|33|g|5|0.229059
72|29|198|34|d|5|-0.196744
72|29|198|34|g|5|0.185101
72|30|198|35|d|5|-0.262075
72|30|198|35|g|5|0.236854
72|31|198|36|d|5|-0.26369
72|31|198|36|g|5|0.203951
72|32|198|37|d|5|-0.235485
72|32|198|37|g|5|0.191972
72|33|198|38|d|5|-0.261958
72|33|198|38|g|5|0.183429
72|34|198|39|d|5|-0.23868
72|34|198|39|g|5|0.143038
72|35|198|40|d|5|-0.224311
72|35|198|40|g|5|0.178004
72|36|198|41|d|5|-0.205907
72|36|198|41|g|5|0.153122
72|37|198|42|d|5|-0.209796
72|37|198|42|g|5|0.170645
72|38|198|43|d|5|-0.200827
72|38|198|43|g|5|0.193332
72|39|198|44|d|5|-0.263655
72|39|198|44|g|5|0.194371
72|40|198|45|d|5|-0.19838
72|40|198|45|g|5|0.126549
72|41|198|46|d|5|-0.244462
72|41|198|46|g|5|0.148042
72|42|198|47|d|5|-0.255857
72|42|198|47|g|5|0.171085
72|43|198|48|d|5|-0.253536
72|43|198|48|g|5|0.139338
72|44|198|49|d|5|-0.244117
72|44|198|49|g|5|0.13659
72|45|198|50|d|5|-0.266487
72|45|198|50|g|5|0.160633
72|46|198|51|d|5|-0.210764
72|46|198|51|g|5|0.143273
72|47|198|52|d|5|-0.198652
72|47|198|52|g|5|0.175501
72|48|198|1|d|5|-0.201172
72|48|198|1|g|5|0.163321
72|49|198|2|d|5|-0.205335
72|49|198|2|g|5|0.175503
72|50|198|3|d|5|-0.255232
72|50|198|3|g|5|0.200933
72|51|198|4|d|5|-0.250328
72|51|198|4|g|5|0.147298
72|52|198|5|d|5|-0.189355
72|52|198|5|g|5|0.177401
72|1|216|6|d|5|-0.214739
72|1|216|6|g|5|0.172039
72|2|216|7|d|5|-0.184165
72|2|216|7|g|5|0.189645
72|3|216|8|d|5|-0.184394
72|3|216|8|g|5|0.250286
72|4|216|9|d|5|-0.20341
72|4|216|9|g|5|0.204407
72|5|216|10|d|5|-0.184875
72|5|216|10|g|5|0.21316
72|6|216|11|d|5|-0.21063
72|6|216|11|g|5|0.217719
72|7|216|12|d|5|-0.261867
72|7|216|12|g|5|0.174698
72|8|216|13|d|5|-0.263031
72|8|216|13|g|5|0.2251
72|9|216|14|d|5|-0.256182
72|9|216|14|g|5|0.223407
72|10|216|15|d|5|-0.203919
72|10|216|15|g|5|0.2142
72|11|216|16|d|5|-0.187439
72|11|216|16|g|5|0.173731
72|12|216|17|d|5|-0.271911
72|12|216|17|g|5|0.18969
72|13|216|18|d|5|-0.249179
72|13|216|18|g|5|0.225458
72|14|216|19|d|5|-0.259138
72|14|216|19|g|5|0.242597
72|15|216|20|d|5|-0.203237
72|15|216|20|g|5|0.176551
72|16|216|21|d|5|-0.218624
72|16|216|21|g|5|0.178351
72|17|216|22|d|5|-0.183374
72|17|216|22|g|5|0.203303
72|18|216|23|d|5|-0.252403
72|18|216|23|g|5|0.233342
72|19|216|24|d|5|-0.209701
72|19|216|24|g|5|0.23658
72|20|216|25|d|5|-0.202378
72|20|216|25|g|5|0.179138
72|21|216|26|d|5|-0.250645
72|21|216|26|g|5|0.213388
72|22|216|27|d|5|-0.250459
72|22|216|27|g|5|0.151961
72|23|216|28|d|5|-0.257243
72|23|216|28|g|5|0.230334
72|24|216|29|d|5|-0.232424
72|24|216|29|g|5|0.231831
72|25|216|30|d|5|-0.259719
72|25|216|30|g|5|0.224881
72|26|216|31|d|5|-0.234016
72|26|216|31|g|5|0.248016
72|27|216|32|d|5|-0.249954
72|27|216|32|g|5|0.205958
72|28|216|33|d|5|-0.245481
72|28|216|33|g|5|0.199571
72|29|216|34|d|5|-0.202093
72|29|216|34|g|5|0.218991
72|30|216|35|d|5|-0.265499
72|30|216|35|g|5|0.252286
72|31|216|36|d|5|-0.212342
72|31|216|36|g|5|0.18687
72|32|216|37|d|5|-0.20053
72|32|216|37|g|5|0.216673
72|33|216|38|d|5|-0.270299
72|33|216|38|g|5|0.188458
72|34|216|39|d|5|-0.254277
72|34|216|39|g|5|0.180091
72|35|216|40|d|5|-0.235123
72|35|216|40|g|5|0.134555
72|36|216|41|d|5|-0.222574
72|36|216|41|g|5|0.185977
72|37|216|42|d|5|-0.242773
72|37|216|42|g|5|0.180665
72|38|216|43|d|5|-0.266724
72|38|216|43|g|5|0.172802
72|39|216|44|d|5|-0.226709
72|39|216|44|g|5|0.208623
72|40|216|45|d|5|-0.24455
72|40|216|45|g|5|0.16138
72|41|216|46|d|5|-0.206301
72|41|216|46|g|5|0.133964
72|42|216|47|d|5|-0.239002
72|42|216|47|g|5|0.167212
72|43|216|48|d|5|-0.197603
72|43|216|48|g|5|0.165905
72|44|216|49|d|5|-0.222611
72|44|216|49|g|5|0.160945
72|45|216|50|d|5|-0.257265
72|45|216|50|g|5|0.132201
72|46|216|51|d|5|-0.183077
72|46|216|51|g|5|0.175444
72|47|216|52|d|5|-0.236622
72|47|216|52|g|5|0.175826
72|48|216|1|d|5|-0.257337
72|48|216|1|g|5|0.17638
72|49|216|2|d|5|-0.268468
72|49|216|2|g|5|0.167193
72|50|216|3|d|5|-0.225633
72|50|216|3|g|5|0.173728
72|51|216|4|d|5|-0.195276
72|51|216|4|g|5|0.173213
72|52|216|5|d|5|-0.206458
72|52|216|5|g|5|0.192016
72|1|469|6|d|5|-0.234219
72|1|469|6|g|5|0.183391
72|2|469|7|d|5|-0.213522
72|2|469|7|g|5|0.172223
72|3|469|8|d|5|-0.184219
72|3|469|8|g|5|0.21066
72|4|469|9|d|5|-0.189008
72|4|469|9|g|5|0.208364
72|5|469|10|d|5|-0.261219
72|5|469|10|g|5|0.23043
72|6|469|11|d|5|-0.241097
72|6|469|11|g|5|0.166129
72|7|469|12|d|5|-0.259589
72|7|469|12|g|5|0.216831
72|8|469|13|d|5|-0.199171
72|8|469|13|g|5|0.205662
72|9|469|14|d|5|-0.20732
72|9|469|14|g|5|0.22009
72|10|469|15|d|5|-0.271761
72|10|469|15|g|5|0.168755
72|11|469|16|d|5|-0.262705
72|11|469|16|g|5|0.217494
72|12|469|17|d|5|-0.269598
72|12|469|17|g|5|0.200971
72|13|469|18|d|5|-0.258174
72|13|469|18|g|5|0.165671
72|14|469|19|d|5|-0.211741
72|14|469|19|g|5|0.167283
72|15|469|20|d|5|-0.269776
72|15|469|20|g|5|0.243752
72|16|469|21|d|5|-0.258642
72|16|469|21|g|5|0.245995
72|17|469|22|d|5|-0.189057
72|17|469|22|g|5|0.205471
72|18|469|23|d|5|-0.187782
72|18|469|23|g|5|0.201027
72|19|469|24|d|5|-0.202138
72|19|469|24|g|5|0.220071
72|20|469|25|d|5|-0.205691
72|20|469|25|g|5|0.186839
72|21|469|26|d|5|-0.196527
72|21|469|26|g|5|0.174637
72|22|469|27|d|5|-0.26957
72|22|469|27|g|5|0.205649
72|23|469|28|d|5|-0.269088
72|23|469|28|g|5|0.214525
72|24|469|29|d|5|-0.206581
72|24|469|29|g|5|0.247172
72|25|469|30|d|5|-0.210922
72|25|469|30|g|5|0.199884
72|26|469|31|d|5|-0.202422
72|26|469|31|g|5|0.176613
72|27|469|32|d|5|-0.204594
72|27|469|32|g|5|0.198623
72|28|469|33|d|5|-0.242452
72|28|469|33|g|5|0.172285
72|29|469|34|d|5|-0.200428
72|29|469|34|g|5|0.236884
72|30|469|35|d|5|-0.194662
72|30|469|35|g|5|0.201771
72|31|469|36|d|5|-0.25974
72|31|469|36|g|5|0.159313
72|32|469|37|d|5|-0.188843
72|32|469|37|g|5|0.179706
72|33|469|38|d|5|-0.208761
72|33|469|38|g|5|0.182334
72|34|469|39|d|5|-0.254222
72|34|469|39|g|5|0.141756
72|35|469|40|d|5|-0.233993
72|35|469|40|g|5|0.164185
72|36|469|41|d|5|-0.194405
72|36|469|41|g|5|0.182446
72|37|469|42|d|5|-0.206152
72|37|469|42|g|5|0.189398
72|38|469|43|d|5|-0.1888
72|38|469|43|g|5|0.196102
72|39|469|44|d|5|-0.209128
72|39|469|44|g|5|0.218818
72|40|469|45|d|5|-0.186507
72|40|469|45|g|5|0.147365
72|41|469|46|d|5|-0.222907
72|41|469|46|g|5|0.169304
72|42|469|47|d|5|-0.233412
72|42|469|47|g|5|0.171581
72|43|469|48|d|5|-0.251796
72|43|469|48|g|5|0.175538
72|44|469|49|d|5|-0.2098
72|44|469|49|g|5|0.153118
72|45|469|50|d|5|-0.257514
72|45|469|50|g|5|0.182146
72|46|469|51|d|5|-0.261994
72|46|469|51|g|5|0.14971
72|47|469|52|d|5|-0.199037
72|47|469|52|g|5|0.162133
72|48|469|1|d|5|-0.248586
72|48|469|1|g|5|0.156856
72|49|469|2|d|5|-0.225151
72|49|469|2|g|5|0.187123
72|50|469|3|d|5|-0.214109
72|50|469|3|g|5|0.206848
72|51|469|4|d|5|-0.218226
72|51|469|4|g|5|0.156759
72|52|469|5|d|5|-0.222504
72|52|469|5|g|5|0.181575
72|1|689|6|d|5|-0.192765
72|1|689|6|g|5|0.155352
72|2|689|7|d|5|-0.267609
72|2|689|7|g|5|0.182588
72|3|689|8|d|5|-0.232817
72|3|689|8|g|5|0.224219
72|4|689|9|d|5|-0.225735
72|4|689|9|g|5|0.211393
72|5|689|10|d|5|-0.202179
72|5|689|10|g|5|0.204033
72|6|689|11|d|5|-0.215086
72|6|689|11|g|5|0.19997
72|7|689|12|d|5|-0.194146
72|7|689|12|g|5|0.193149
72|8|689|13|d|5|-0.198139
72|8|689|13|g|5|0.171194
72|9|689|14|d|5|-0.201171
72|9|689|14|g|5|0.171417
72|10|689|15|d|5|-0.256208
72|10|689|15|g|5|0.19001
72|11|689|16|d|5|-0.265404
72|11|689|16|g|5|0.246295
72|12|689|17|d|5|-0.233137
72|12|689|17|g|5|0.174718
72|13|689|18|d|5|-0.215301
72|13|689|18|g|5|0.224741
72|14|689|19|d|5|-0.214652
72|14|689|19|g|5|0.168901
72|15|689|20|d|5|-0.231825
72|15|689|20|g|5|0.246187
72|16|689|21|d|5|-0.253508
72|16|689|21|g|5|0.182122
72|17|689|22|d|5|-0.242341
72|17|689|22|g|5|0.191251
72|18|689|23|d|5|-0.201126
72|18|689|23|g|5|0.261338
72|19|689|24|d|5|-0.203978
72|19|689|24|g|5|0.201722
72|20|689|25|d|5|-0.1814
72|20|689|25|g|5|0.255287
72|21|689|26|d|5|-0.253206
72|21|689|26|g|5|0.21368
72|22|689|27|d|5|-0.249368
72|22|689|27|g|5|0.160391
72|23|689|28|d|5|-0.222897
72|23|689|28|g|5|0.206742
72|24|689|29|d|5|-0.189844
72|24|689|29|g|5|0.219599
72|25|689|30|d|5|-0.264825
72|25|689|30|g|5|0.177342
72|26|689|31|d|5|-0.207768
72|26|689|31|g|5|0.18307
72|27|689|32|d|5|-0.202934
72|27|689|32|g|5|0.245267
72|28|689|33|d|5|-0.223781
72|28|689|33|g|5|0.206009
72|29|689|34|d|5|-0.250303
72|29|689|34|g|5|0.181687
72|30|689|35|d|5|-0.225521
72|30|689|35|g|5|0.209294
72|31|689|36|d|5|-0.235463
72|31|689|36|g|5|0.221756
72|32|689|37|d|5|-0.251107
72|32|689|37|g|5|0.173437
72|33|689|38|d|5|-0.256375
72|33|689|38|g|5|0.154402
72|34|689|39|d|5|-0.184103
72|34|689|39|g|5|0.14622
