Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|1.84|0.31|2.38|0|21|21|50|21|1250139.96|-7.03
1|0.00|0.46|2.40|0|50|71|50|45|1245168.18|-7.01
2|0.00|0.46|2.36|0|50|121|50|76|1220329.58|-13.92
3|0.00|0.46|2.42|0|50|171|50|100|1213896.71|-13.75
4|0.00|0.48|2.41|0|50|221|50|109|1207427.51|-38.98
5|0.00|0.48|2.39|0|50|271|50|135|1187974.88|-61.70
6|0.00|0.49|2.37|0|50|321|50|157|1163278.07|-47.42
7|0.00|0.53|2.38|0|50|371|50|178|1131010.81|-51.38
8|0.00|0.53|2.39|0|50|421|50|197|1102626.88|-45.38
9|0.00|0.51|2.37|0|50|471|50|216|1085973.81|-54.95
10|0.00|0.49|2.40|0|50|521|50|219|1070549.44|-53.64
11|0.00|0.54|2.41|0|50|571|50|246|1039586.36|-28.37
12|0.01|0.54|2.43|0|50|621|50|248|1001119.69|-40.95
13|0.00|0.56|2.37|0|50|671|50|271|967621.56|-28.23
14|0.00|0.68|2.37|0|50|721|50|295|946464.06|-29.72
15|0.01|0.71|2.38|0|50|771|50|313|910159.85|-43.29
16|0.00|0.82|2.36|0|50|821|50|329|887650.79|-47.26
17|0.00|0.84|2.40|0|50|871|50|344|865555.71|-37.80
18|0.00|1.01|2.36|0|50|921|50|358|842692.95|-42.18
19|0.01|1.11|2.37|0|50|971|50|364|819580.63|-30.93
20|0.01|1.25|2.41|0|50|1021|50|383|805235.72|-25.72
21|0.00|1.27|2.36|0|50|1071|50|383|785116.99|-35.23
22|0.00|1.32|2.39|0|50|1121|50|396|763113.46|-33.01
23|0.00|1.36|2.40|0|50|1171|50|421|736176.78|-16.05
24|0.02|1.39|2.40|0|50|1221|50|438|701906.57|-13.41
25|0.00|1.42|2.37|0|50|1271|50|456|677455.40|-27.22
26|0.00|1.61|2.39|0|50|1321|50|459|652628.09|-27.19
27|0.00|1.59|2.39|0|50|1371|50|471|635082.90|-19.13
28|0.00|1.55|2.42|0|50|1421|50|490|610041.85|-13.03
29|0.01|1.62|2.40|0|50|1471|50|501|592782.19|-11.20
30|0.01|2.03|2.42|0|50|1521|50|504|575558.07|-13.50
31|0.01|1.89|2.40|0|50|1571|50|519|551308.98|-19.08
32|0.01|2.13|2.40|0|50|1621|50|536|530164.14|-15.53
33|0.01|2.01|2.36|0|50|1671|50|542|498197.29|-7.97
34|0.01|1.96|2.34|0|50|1721|50|542|478263.67|-9.95
35|0.00|2.06|2.39|0|50|1771|50|551|446624.37|-15.81
36|0.01|2.47|2.38|0|50|1821|50|558|432218.87|-7.94
37|0.01|2.24|2.38|0|50|1871|50|559|412089.21|-10.62
38|0.01|2.24|2.39|0|50|1921|50|558|386870.41|-8.76
39|0.01|2.32|2.40|0|50|1971|50|566|363279.66|-9.15
40|0.01|2.35|2.38|0|50|2021|50|583|344718.01|-11.51
41|0.01|2.45|2.37|0|50|2071|50|588|317532.70|-11.91
42|0.01|2.33|2.35|0|50|2121|50|606|292914.82|-9.03
43|0.01|2.22|2.41|0|50|2171|50|616|276225.61|-9.34
44|0.01|2.58|2.51|0|50|2221|50|617|258551.24|-8.40
45|0.01|2.54|2.50|0|50|2271|50|620|248958.28|-5.79
46|0.01|2.49|2.42|0|50|2321|50|630|224904.02|-6.20
47|0.01|2.60|2.40|0|50|2371|50|641|203216.31|-8.31
48|0.02|2.68|2.41|0|50|2421|50|644|177037.20|-8.03
49|0.00|2.45|2.41|0|50|2471|50|642|159661.63|-5.78
50|0.01|2.45|2.41|0|50|2521|50|646|140694.04|-7.03
51|0.01|2.59|2.39|0|50|2571|50|649|123815.87|-5.89
52|0.01|2.51|2.41|0|50|2621|50|662|101878.54|-6.71
53|0.01|2.68|2.40|0|50|2671|50|674|94675.81|-12.17
54|0.01|2.66|2.41|0|50|2721|50|688|80282.26|-9.15
55|0.01|2.62|2.39|0|50|2771|50|698|73739.41|-15.18
56|0.01|2.67|2.37|0|50|2821|50|691|41053.53|-6.81
57|0.01|3.06|2.40|0|50|2871|50|702|33298.20|-6.43
58|0.01|2.70|2.39|0|50|2921|50|711|21686.13|-5.97
59|0.01|2.80|2.38|0|50|2971|50|717|7854.75|-5.28
60|0.01|2.80|2.39|0|50|3021|50|722|752.91|-4.70
61|0.01|2.70|2.38|0|50|3071|50|733|-11495.62|-5.14
62|0.01|2.78|2.40|0|50|3121|50|734|-24049.47|-4.68
63|0.01|2.98|2.39|0|50|3171|50|743|-36024.53|-4.62
64|0.01|3.05|2.39|0|50|3221|50|741|-41051.50|-4.48
65|0.01|3.02|2.37|0|50|3271|50|766|-56387.00|-4.20
66|0.01|3.04|2.38|0|50|3321|50|775|-63441.98|-3.66
67|0.01|3.02|2.38|0|50|3371|50|782|-68995.02|-3.52
68|0.01|2.93|2.40|0|50|3421|50|772|-76022.10|-3.65
69|0.01|3.10|2.43|0|50|3471|50|779|-80104.21|-3.22
70|0.01|3.00|2.41|0|50|3521|50|789|-83568.91|-2.91
71|0.01|3.00|2.31|0|50|3571|50|800|-88275.66|-2.74
72|0.01|3.02|2.38|0|50|3621|50|822|-94996.24|-2.96
73|0.01|3.03|2.40|0|50|3671|50|829|-99204.23|-3.01
74|0.01|3.07|2.37|0|50|3721|50|829|-105622.26|-4.13
75|0.01|3.21|2.37|0|50|3771|50|830|-110198.98|-2.54
76|0.01|3.08|2.39|0|50|3821|50|839|-115452.00|-2.85
77|0.01|3.19|2.31|0|50|3871|50|830|-118972.92|-2.89
78|0.01|3.10|2.40|0|50|3921|50|829|-124190.98|-2.40
79|0.01|3.19|2.39|0|50|3971|50|841|-128309.65|-2.47
80|0.01|3.18|2.39|0|50|4021|50|866|-135023.48|-1.95
81|0.01|3.22|2.42|0|50|4071|50|880|-139203.52|-1.62
82|0.01|3.27|2.37|0|50|4121|50|872|-141384.47|-1.52
83|0.01|3.30|2.36|0|50|4171|50|876|-144860.48|-1.43
84|0.01|3.34|2.42|0|50|4221|50|862|-147534.09|-1.51
85|0.01|3.38|2.39|0|50|4271|50|861|-151378.24|-1.38
86|0.01|3.19|2.42|0|50|4321|50|873|-153670.96|-1.43
87|0.01|3.47|2.43|0|50|4371|50|878|-157017.97|-1.39
88|0.01|3.31|2.46|0|50|4421|50|873|-160986.29|-1.37
89|0.01|3.60|2.39|0|50|4471|50|871|-164433.16|-1.44
90|0.01|3.58|2.39|0|50|4521|50|877|-167599.31|-1.41
91|0.01|3.42|2.39|0|50|4571|50|888|-170273.08|-1.31
