p_o|p_d|t_1|t_2|demand
72|198|1|2|724.51
72|198|2|3|606.47
72|198|3|4|755.66
72|198|4|6|809.37
72|198|5|6|843.68
72|198|6|8|756.96
72|198|7|8|640.96
72|198|8|9|624.73
72|198|9|11|788.39
72|198|10|11|802.99
72|198|11|12|722.47
72|198|12|14|601.47
72|198|13|15|764.78
72|198|14|15|744.03
72|198|15|16|596.7
72|198|16|17|771.34
72|198|17|18|631.03
72|198|18|20|858.94
72|198|19|21|804.6
72|198|20|21|616.76
72|198|21|22|728.89
72|198|22|24|775.71
72|198|23|24|845.99
72|198|24|26|624.8
72|198|25|27|617.98
72|198|26|27|806.33
72|198|27|29|653.97
72|198|28|29|756.35
72|198|29|30|764.16
72|198|30|31|778.23
72|198|31|32|644.1
72|198|32|34|556.54
72|198|33|34|687.2
72|198|34|36|660.9
72|198|35|36|636.14
72|198|36|37|611.24
72|198|37|38|793.74
72|198|38|40|675.98
72|198|39|40|598.76
72|198|40|42|699.86
72|198|41|43|674.24
72|198|42|43|599.08
72|198|43|44|547.28
72|198|44|45|616.61
72|198|45|46|524.22
72|198|46|48|572.2
72|198|47|49|772.93
72|198|48|49|552.88
72|198|49|51|596.3
72|198|50|52|583.57
72|198|51|1|770.1
72|198|52|2|765.66
72|216|1|2|8.72
72|216|2|4|13.27
72|216|3|5|9.98
72|216|4|6|10.73
72|216|5|7|11.58
72|216|6|8|10.71
72|216|7|9|9.29
72|216|8|10|12.14
72|216|9|11|11.93
72|216|10|11|13.42
72|216|11|13|10.72
72|216|12|14|10.98
72|216|13|14|10.55
72|216|14|16|9.29
72|216|15|16|9.55
72|216|16|17|12.63
72|216|17|18|10.6
72|216|18|20|11.85
72|216|19|21|14.06
72|216|20|21|9.51
72|216|21|23|11.36
72|216|22|24|10.91
72|216|23|24|14.05
72|216|24|26|13.31
72|216|25|27|9.63
72|216|26|27|9.83
72|216|27|28|9.34
72|216|28|29|10.04
72|216|29|31|10.16
72|216|30|32|9.7
72|216|31|33|10.92
72|216|32|33|12.72
72|216|33|35|11.91
72|216|34|35|9.08
72|216|35|37|11.4
72|216|36|37|12.53
72|216|37|38|12.41
72|216|38|40|11.04
72|216|39|41|10.01
72|216|40|41|10.93
72|216|41|43|11.18
72|216|42|44|9.34
72|216|43|44|8.87
72|216|44|46|10.59
72|216|45|46|11.49
72|216|46|47|8.15
72|216|47|49|12.21
72|216|48|49|8.83
72|216|49|51|9.65
72|216|50|52|8.78
72|216|51|52|8.52
72|216|52|1|9.32
72|469|1|2|381.36
72|469|2|4|466.6
72|469|3|5|338.63
72|469|4|6|400.09
72|469|5|7|379.7
72|469|6|8|456.56
72|469|7|8|334.04
72|469|8|10|361.9
72|469|9|10|316.94
72|469|10|11|466.57
72|469|11|12|419.37
72|469|12|14|410.5
72|469|13|15|322.72
72|469|14|16|331.8
72|469|15|16|455.47
72|469|16|18|409.58
72|469|17|19|358.14
72|469|18|20|426.55
72|469|19|20|491.6
72|469|20|22|348.05
72|469|21|23|470.6
72|469|22|23|422.31
72|469|23|24|352.77
72|469|24|25|464.12
72|469|25|27|448.93
72|469|26|28|411.61
72|469|27|28|447.24
72|469|28|29|343.6
72|469|29|30|438.74
72|469|30|31|430.11
72|469|31|33|346.41
72|469|32|33|403.96
72|469|33|35|399.28
72|469|34|35|323.82
72|469|35|36|309.03
72|469|36|38|348.61
72|469|37|38|368.64
72|469|38|39|443.3
72|469|39|40|377.45
72|469|40|41|382.17
72|469|41|42|346.64
72|469|42|44|295.15
72|469|43|45|371.44
72|469|44|45|402.74
72|469|45|46|351.68
72|469|46|47|382.82
72|469|47|49|398.82
72|469|48|49|349.12
72|469|49|51|324.55
72|469|50|52|429.44
72|469|51|1|411.71
72|469|52|2|411.97
72|689|1|2|1385.5
72|689|2|3|1131.42
72|689|3|5|1302.79
72|689|4|6|1135.78
72|689|5|7|1116.94
72|689|6|7|1400.97
72|689|7|8|1249.79
72|689|8|10|1053.03
72|689|9|10|1236.74
72|689|10|12|1580.4
72|689|11|13|1166.75
72|689|12|14|1254.0
72|689|13|15|1347.77
72|689|14|15|1146.63
72|689|15|17|1597.56
72|689|16|18|1395.98
72|689|17|19|1197.39
72|689|18|19|1349.72
72|689|19|21|1289.53
72|689|20|22|1157.93
72|689|21|22|1193.73
72|689|22|23|1281.59
72|689|23|25|1132.92
72|689|24|25|1113.81
72|689|25|26|1371.1
72|689|26|27|1283.66
72|689|27|28|1163.32
72|689|28|30|1435.57
72|689|29|31|1109.96
72|689|30|31|1219.41
72|689|31|33|1050.71
72|689|32|33|1350.63
72|689|33|35|1294.04
72|689|34|35|1043.76
72|689|35|37|1213.5
72|689|36|37|1312.27
72|689|37|39|1030.74
72|689|38|40|1378.61
72|689|39|41|1181.11
72|689|40|42|983.36
72|689|41|43|1309.53
72|689|42|43|1227.14
72|689|43|44|1175.87
72|689|44|45|1301.13
72|689|45|47|1043.17
72|689|46|48|941.04
72|689|47|48|1395.62
72|689|48|50|1055.84
72|689|49|50|1252.76
72|689|50|52|1474.14
72|689|51|52|1072.09
72|689|52|1|1421.9
72|780|1|2|1940.37
72|780|2|3|2446.59
72|780|3|5|1754.45
72|780|4|6|2044.8
72|780|5|6|2378.74
72|780|6|7|1692.44
72|780|7|9|1786.41
72|780|8|10|1737.16
72|780|9|10|2376.11
72|780|10|12|1863.0
72|780|11|12|1743.64
72|780|12|13|2280.72
72|780|13|14|2035.41
72|780|14|16|2104.63
72|780|15|16|2187.51
72|780|16|17|2158.06
72|780|17|19|2054.85
72|780|18|20|2558.95
72|780|19|20|1851.18
72|780|20|22|2515.7
72|780|21|22|1867.22
72|780|22|23|1713.22
72|780|23|25|2220.79
72|780|24|26|2451.35
72|780|25|26|1987.32
72|780|26|27|1706.21
72|780|27|28|2102.11
72|780|28|30|2462.59
72|780|29|31|1980.3
72|780|30|31|1691.22
72|780|31|33|1949.39
72|780|32|33|1840.03
72|780|33|34|1583.54
72|780|34|36|2137.41
72|780|35|36|1937.11
72|780|36|38|1634.28
72|780|37|38|2311.21
72|780|38|40|2078.89
72|780|39|41|2142.03
72|780|40|41|1854.68
72|780|41|43|2155.14
72|780|42|43|2121.79
72|780|43|45|1451.52
72|780|44|46|1440.59
72|780|45|47|1786.31
72|780|46|47|1685.42
72|780|47|49|1873.2
72|780|48|50|1700.89
72|780|49|50|2134.47
72|780|50|52|1674.88
72|780|51|52|1539.31
72|780|52|1|1735.28
72|963|1|2|0.9
72|963|2|4|1.18
72|963|3|4|1.14
72|963|4|5|1.21
72|963|5|7|0.92
72|963|6|8|1.19
72|963|7|8|0.98
72|963|8|10|1.15
72|963|9|10|1.01
72|963|10|11|1.28
72|963|11|12|1.28
