p_i|t_i|p_j|t_j|key|tt|pf
72|1|72|2|h|1|-0.212942
72|2|72|3|h|1|-0.190531
72|3|72|4|h|1|-0.158298
72|4|72|5|h|1|-0.207372
72|5|72|6|h|1|-0.206258
72|6|72|7|h|1|-0.16539
72|7|72|8|h|1|-0.192954
72|8|72|9|h|1|-0.228468
72|9|72|10|h|1|-0.172808
72|10|72|11|h|1|-0.192871
72|11|72|12|h|1|-0.192871
72|12|72|13|h|1|-0.220273
72|13|72|14|h|1|-0.221356
72|14|72|15|h|1|-0.216238
72|15|72|16|h|1|-0.185376
72|16|72|17|h|1|-0.162381
72|17|72|18|h|1|-0.184124
72|18|72|19|h|1|-0.210009
72|19|72|20|h|1|-0.211808
72|20|72|21|h|1|-0.232361
72|21|72|22|h|1|-0.192287
72|22|72|23|h|1|-0.206298
72|23|72|24|h|1|-0.198991
72|24|72|25|h|1|-0.168539
72|25|72|26|h|1|-0.192879
72|26|72|27|h|1|-0.199433
72|27|72|28|h|1|-0.231244
72|28|72|29|h|1|-0.185461
72|29|72|30|h|1|-0.233544
72|30|72|31|h|1|-0.199235
72|31|72|32|h|1|-0.175737
72|32|72|33|h|1|-0.171756
72|33|72|34|h|1|-0.16784
72|34|72|35|h|1|-0.192231
72|35|72|36|h|1|-0.158454
72|36|72|37|h|1|-0.191613
72|37|72|38|h|1|-0.234195
72|38|72|39|h|1|-0.20925
72|39|72|40|h|1|-0.216278
72|40|72|41|h|1|-0.166062
72|41|72|42|h|1|-0.193812
72|42|72|43|h|1|-0.179166
72|43|72|44|h|1|-0.226804
72|44|72|45|h|1|-0.170943
72|45|72|46|h|1|-0.192686
72|46|72|47|h|1|-0.20282
72|47|72|48|h|1|-0.19702
72|48|72|49|h|1|-0.2218
72|49|72|50|h|1|-0.174874
72|50|72|51|h|1|-0.186311
72|51|72|52|h|1|-0.21881
72|52|72|1|h|1|-0.198119
72|1|198|6|d|5|-0.217801
72|1|198|6|g|5|0.143542
72|2|198|7|d|5|-0.249651
72|2|198|7|g|5|0.249454
72|3|198|8|d|5|-0.237582
72|3|198|8|g|5|0.248318
72|4|198|9|d|5|-0.228206
72|4|198|9|g|5|0.178377
72|5|198|10|d|5|-0.18265
72|5|198|10|g|5|0.212085
72|6|198|11|d|5|-0.226051
72|6|198|11|g|5|0.209018
72|7|198|12|d|5|-0.244328
72|7|198|12|g|5|0.224484
72|8|198|13|d|5|-0.227611
72|8|198|13|g|5|0.182353
72|9|198|14|d|5|-0.20734
72|9|198|14|g|5|0.194507
72|10|198|15|d|5|-0.260484
72|10|198|15|g|5|0.169787
72|11|198|16|d|5|-0.270007
72|11|198|16|g|5|0.248234
72|12|198|17|d|5|-0.235546
72|12|198|17|g|5|0.19009
72|13|198|18|d|5|-0.201565
72|13|198|18|g|5|0.18287
72|14|198|19|d|5|-0.185884
72|14|198|19|g|5|0.20031
72|15|198|20|d|5|-0.186538
72|15|198|20|g|5|0.235228
72|16|198|21|d|5|-0.215064
72|16|198|21|g|5|0.184152
72|17|198|22|d|5|-0.230743
72|17|198|22|g|5|0.256129
72|18|198|23|d|5|-0.244369
72|18|198|23|g|5|0.226574
72|19|198|24|d|5|-0.251784
72|19|198|24|g|5|0.24399
72|20|198|25|d|5|-0.262195
72|20|198|25|g|5|0.19606
72|21|198|26|d|5|-0.259216
72|21|198|26|g|5|0.187142
72|22|198|27|d|5|-0.266662
72|22|198|27|g|5|0.170007
72|23|198|28|d|5|-0.265379
72|23|198|28|g|5|0.260605
72|24|198|29|d|5|-0.194533
72|24|198|29|g|5|0.262736
72|25|198|30|d|5|-0.189113
72|25|198|30|g|5|0.192859
72|26|198|31|d|5|-0.221614
72|26|198|31|g|5|0.248258
