Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|1.64|0.31|2.29|0|17|17|50|15|1276588.16|-7.08
1|0.01|0.45|2.30|0|50|67|50|44|1268525.89|-7.07
2|0.01|0.46|2.35|0|50|117|50|77|1251610.92|-20.39
3|0.01|0.47|2.33|0|50|167|50|97|1234009.31|-39.64
4|0.01|0.45|2.27|0|50|217|50|124|1221822.35|-37.10
5|0.01|0.48|2.32|0|50|267|50|142|1191387.52|-39.84
6|0.01|0.46|2.23|0|50|317|50|160|1144354.59|-64.44
7|0.01|0.50|2.26|0|50|367|50|183|1119507.83|-68.96
8|0.01|0.50|2.28|0|50|417|50|206|1090274.39|-39.34
9|0.01|0.52|2.26|0|50|467|50|234|1062433.24|-32.18
10|0.01|0.50|2.26|0|50|517|50|252|1038380.43|-29.76
11|0.01|0.54|2.21|0|50|567|50|254|1012482.48|-63.33
12|0.01|0.56|2.27|0|50|617|50|257|984150.89|-35.84
13|0.01|0.63|2.22|0|50|667|50|271|961169.82|-26.04
14|0.01|0.63|2.39|0|50|717|50|296|936454.66|-44.10
15|0.01|0.85|2.54|0|50|767|50|308|917650.67|-42.63
16|0.01|1.05|2.51|0|50|817|50|325|894239.27|-32.90
17|0.01|1.08|2.54|0|50|867|50|335|863486.84|-49.44
18|0.01|1.23|2.53|0|50|917|50|359|830165.04|-28.22
19|0.00|1.19|2.29|0|50|967|50|363|816245.01|-27.30
20|0.00|1.16|2.25|0|50|1017|50|370|792476.53|-33.89
21|0.01|1.26|2.29|0|50|1067|50|388|761086.73|-33.32
22|0.00|1.28|2.30|0|50|1117|50|404|735754.68|-15.24
23|0.00|1.28|2.34|0|50|1167|50|411|718843.45|-15.04
24|0.00|1.44|2.33|0|50|1217|50|426|702688.29|-19.57
25|0.00|1.48|2.32|0|50|1267|50|441|684695.55|-20.05
26|0.00|1.50|2.29|0|50|1317|50|447|664857.71|-21.76
27|0.01|1.48|2.27|0|50|1367|50|466|656233.60|-6.99
28|0.00|1.56|2.28|0|50|1417|50|477|641385.33|-14.38
29|0.00|1.74|2.30|0|50|1467|50|499|627429.14|-13.07
30|0.00|1.79|2.29|0|50|1517|50|492|609981.92|-6.54
31|0.00|1.90|2.25|0|50|1567|50|496|592891.16|-8.63
32|0.00|1.77|2.26|0|50|1617|50|507|579117.74|-6.76
33|0.01|1.89|2.33|0|50|1667|50|512|564157.06|-14.72
34|0.00|1.97|2.29|0|50|1717|50|538|548487.79|-8.45
35|0.00|2.02|2.29|0|50|1767|50|548|484435.81|-9.89
36|0.00|2.00|2.30|0|50|1817|50|574|457913.24|-8.82
37|0.00|2.06|2.25|0|50|1867|50|568|427232.11|-6.56
38|0.01|2.09|2.25|0|50|1917|50|575|400574.17|-8.53
39|0.01|2.22|2.30|0|50|1967|50|577|383380.26|-6.50
40|0.01|2.20|2.21|0|50|2017|50|590|361497.80|-6.17
41|0.00|2.28|2.20|0|50|2067|50|602|348336.50|-7.52
42|0.00|2.21|2.23|0|50|2117|50|599|320059.04|-7.59
43|0.00|2.16|2.23|0|50|2167|50|598|303612.19|-9.00
44|0.02|2.25|2.28|0|50|2217|50|605|292098.05|-10.78
45|0.00|2.28|2.27|0|50|2267|50|616|277197.33|-7.41
46|0.00|2.24|2.26|0|50|2317|50|619|266075.76|-13.98
47|0.01|2.31|2.26|0|50|2367|50|634|243265.16|-15.34
48|0.01|2.35|2.24|0|50|2417|50|659|226937.14|-16.14
49|0.00|2.23|2.22|0|50|2467|50|651|204322.22|-7.67
50|0.01|2.50|2.24|0|50|2517|50|663|188401.64|-5.92
51|0.01|2.71|2.24|0|50|2567|50|672|177352.26|-5.82
52|0.01|2.59|2.25|0|50|2617|50|676|162381.75|-6.44
