p_o|p_d|t_1|t_2|demand
72|198|1|2|742.42
72|198|2|3|744.44
72|198|3|4|766.92
72|198|4|6|827.36
72|198|5|6|779.9
72|198|6|8|774.04
72|198|7|8|830.9
72|198|8|9|816.44
72|198|9|11|762.87
72|198|10|11|614.47
72|198|11|12|614.69
72|198|12|14|635.84
72|198|13|15|573.43
72|198|14|15|834.84
72|198|15|16|688.51
72|198|16|17|694.1
72|198|17|18|796.89
72|198|18|20|712.72
72|198|19|21|668.87
72|198|20|21|791.05
72|198|21|22|801.52
72|198|22|24|712.79
72|198|23|24|817.61
72|198|24|26|708.06
72|198|25|27|820.1
72|198|26|27|721.28
72|198|27|29|736.64
72|198|28|29|871.85
72|198|29|30|661.11
72|198|30|31|680.1
72|198|31|32|744.36
72|198|32|34|643.94
72|198|33|34|618.52
72|198|34|36|629.72
72|198|35|36|539.72
72|198|36|37|550.58
72|198|37|38|565.34
72|198|38|40|627.63
72|198|39|40|781.68
72|198|40|42|671.69
72|198|41|43|742.33
72|198|42|43|596.77
72|198|43|44|568.11
72|198|44|45|590.33
72|198|45|46|743.97
72|198|46|48|524.13
72|198|47|49|616.68
72|198|48|49|607.5
72|198|49|51|735.5
72|198|50|52|659.71
72|198|51|1|742.99
72|198|52|2|656.93
72|216|1|2|9.16
72|216|2|4|13.29
72|216|3|5|12.19
72|216|4|6|12.47
72|216|5|7|11.53
72|216|6|8|8.87
72|216|7|9|10.41
72|216|8|10|11.56
72|216|9|11|10.7
72|216|10|11|10.79
72|216|11|13|10.85
72|216|12|14|11.74
72|216|13|14|9.35
72|216|14|16|10.96
72|216|15|16|13.07
72|216|16|17|9.76
72|216|17|18|12.58
72|216|18|20|10.05
72|216|19|21|12.35
72|216|20|21|13.33
72|216|21|23|12.86
72|216|22|24|10.66
72|216|23|24|12.84
72|216|24|26|12.17
72|216|25|27|10.69
72|216|26|27|13.61
72|216|27|28|9.24
72|216|28|29|9.87
72|216|29|31|11.81
72|216|30|32|12.29
72|216|31|33|9.22
72|216|32|33|10.42
72|216|33|35|10.26
72|216|34|35|11.4
72|216|35|37|11.15
72|216|36|37|10.26
72|216|37|38|10.13
72|216|38|40|11.42
72|216|39|41|13.24
72|216|40|41|9.38
72|216|41|43|9.76
72|216|42|44|8.95
72|216|43|44|8.05
72|216|44|46|10.79
72|216|45|46|9.91
72|216|46|47|11.51
72|216|47|49|9.04
72|216|48|49|11.43
72|216|49|51|11.22
72|216|50|52|9.53
72|216|51|52|8.74
72|216|52|1|8.27
72|469|1|2|331.24
72|469|2|4|457.41
72|469|3|5|411.21
72|469|4|6|442.08
72|469|5|7|435.41
72|469|6|8|338.08
72|469|7|8|330.08
72|469|8|10|340.39
72|469|9|10|368.08
72|469|10|11|342.19
72|469|11|12|381.72
72|469|12|14|353.44
72|469|13|15|344.04
72|469|14|16|405.24
72|469|15|16|487.4
72|469|16|18|396.69
72|469|17|19|332.92
72|469|18|20|484.97
72|469|19|20|434.29
72|469|20|22|391.68
72|469|21|23|376.91
72|469|22|23|367.8
72|469|23|24|442.85
72|469|24|25|357.74
72|469|25|27|405.78
72|469|26|28|333.18
72|469|27|28|410.65
72|469|28|29|400.54
72|469|29|30|428.39
72|469|30|31|454.34
72|469|31|33|341.41
72|469|32|33|355.26
72|469|33|35|393.99
72|469|34|35|380.67
72|469|35|36|375.59
72|469|36|38|394.82
72|469|37|38|419.38
72|469|38|39|341.22
72|469|39|40|371.92
72|469|40|41|290.6
72|469|41|42|399.06
72|469|42|44|357.71
72|469|43|45|303.93
72|469|44|45|375.53
72|469|45|46|343.86
72|469|46|47|371.36
72|469|47|49|356.97
72|469|48|49|351.61
72|469|49|51|412.4
72|469|50|52|352.05
72|469|51|1|387.0
72|469|52|2|397.23
72|689|1|2|1013.28
72|689|2|3|1154.73
72|689|3|5|1459.94
72|689|4|6|1145.01
72|689|5|7|1256.13
72|689|6|7|1287.46
72|689|7|8|1251.67
72|689|8|10|1438.0
72|689|9|10|1447.42
72|689|10|12|1504.93
72|689|11|13|1565.92
72|689|12|14|1328.9
72|689|13|15|1175.44
72|689|14|15|1236.51
72|689|15|17|1542.29
72|689|16|18|1391.11
72|689|17|19|1426.1
72|689|18|19|1211.49
72|689|19|21|1443.59
72|689|20|22|1158.36
72|689|21|22|1470.4
72|689|22|23|1465.04
72|689|23|25|1412.42
72|689|24|25|1485.26
72|689|25|26|1204.43
72|689|26|27|1205.98
72|689|27|28|1064.17
72|689|28|30|1551.85
72|689|29|31|1581.3
72|689|30|31|1301.92
72|689|31|33|1373.6
72|689|32|33|1222.36
72|689|33|35|1340.27
72|689|34|35|1418.37
72|689|35|37|1309.28
72|689|36|37|1399.94
72|689|37|39|1447.73
72|689|38|40|1232.54
72|689|39|41|1054.01
72|689|40|42|1135.99
72|689|41|43|1279.8
72|689|42|43|1172.3
72|689|43|44|946.99
72|689|44|45|1129.65
72|689|45|47|1116.92
72|689|46|48|948.13
72|689|47|48|1144.2
72|689|48|50|1231.61
72|689|49|50|999.56
72|689|50|52|1073.01
72|689|51|52|1362.29
72|689|52|1|1164.99
72|780|1|2|1842.58
72|780|2|3|1883.19
72|780|3|5|2398.18
72|780|4|6|2011.52
72|780|5|6|2322.78
72|780|6|7|1877.19
72|780|7|9|1967.35
72|780|8|10|2339.71
72|780|9|10|1898.44
72|780|10|12|2011.74
72|780|11|12|2126.77
72|780|12|13|2187.16
72|780|13|14|2055.32
72|780|14|16|1649.5
72|780|15|16|2108.25
72|780|16|17|2387.73
72|780|17|19|1810.64
72|780|18|20|2414.69
72|780|19|20|2251.02
72|780|20|22|2192.52
72|780|21|22|2052.05
72|780|22|23|1781.21
72|780|23|25|2227.06
72|780|24|26|2042.94
72|780|25|26|1948.63
72|780|26|27|2106.67
72|780|27|28|2111.73
72|780|28|30|2369.59
72|780|29|31|2298.84
72|780|30|31|1999.42
72|780|31|33|1714.13
72|780|32|33|1854.85
72|780|33|34|1791.44
72|780|34|36|1497.29
72|780|35|36|1627.6
72|780|36|38|1657.19
72|780|37|38|1702.04
72|780|38|40|1711.14
72|780|39|41|1817.48
72|780|40|41|1934.33
72|780|41|43|2135.27
72|780|42|43|2038.81
72|780|43|45|2012.07
72|780|44|46|1797.71
72|780|45|47|1463.62
72|780|46|47|2107.4
72|780|47|49|2129.91
72|780|48|50|1544.85
72|780|49|50|1760.72
72|780|50|52|2273.33
72|780|51|52|2229.78
72|780|52|1|1743.09
72|963|1|2|0.97
72|963|2|4|1.25
72|963|3|4|1.31
72|963|4|5|1.04
72|963|5|7|1.1
72|963|6|8|1.01
72|963|7|8|1.26
72|963|8|10|1.28
72|963|9|10|1.0
72|963|10|11|1.05
72|963|11|12|1.07
72|963|12|13|1.14
72|963|13|15|1.11
72|963|14|15|1.03
72|963|15|17|1.08
72|963|16|17|1.17
72|963|17|19|1.25
72|963|18|19|1.26
72|963|19|21|1.09
72|963|20|22|1.24
72|963|21|23|0.94
72|963|22|24|0.9
72|963|23|24|0.94
72|963|24|26|1.26
72|963|25|27|1.38
72|963|26|28|1.18
72|963|27|28|1.31
72|963|28|29|1.01
72|963|29|30|1.19
72|963|30|31|1.06
72|963|31|32|1.06
72|963|32|33|1.16
72|963|33|34|1.12
72|963|34|36|0.98
72|963|35|36|1.01
72|963|36|38|0.86
72|963|37|39|0.93
72|963|38|40|1.21
72|963|39|41|0.91
72|963|40|41|0.86
72|963|41|42|0.96
72|963|42|43|1.14
72|963|43|44|1.0
72|963|44|45|0.91
72|963|45|47|0.9
72|963|46|48|0.81
72|963|47|48|1.08
72|963|48|50|1.12
72|963|49|50|1.07
