p_o|p_d|t_1|t_2|demand
72|198|1|2|719.51
72|198|2|3|672.9
72|198|3|4|836.27
72|198|4|6|643.21
72|198|5|6|719.7
72|198|6|8|766.92
72|198|7|8|648.89
72|198|8|9|761.29
72|198|9|11|603.71
72|198|10|11|761.4
72|198|11|12|634.08
72|198|12|14|826.25
72|198|13|15|715.84
72|198|14|15|609.76
72|198|15|16|735.39
72|198|16|17|832.54
72|198|17|18|711.23
72|198|18|20|892.88
72|198|19|21|702.97
72|198|20|21|653.87
72|198|21|22|761.44
72|198|22|24|621.68
72|198|23|24|702.55
72|198|24|26|683.14
72|198|25|27|865.87
72|198|26|27|671.81
72|198|27|29|733.79
72|198|28|29|766.87
72|198|29|30|643.63
72|198|30|31|683.83
72|198|31|32|612.93
72|198|32|34|705.61
72|198|33|34|734.66
72|198|34|36|568.29
72|198|35|36|563.58
72|198|36|37|561.32
72|198|37|38|653.43
72|198|38|40|578.56
72|198|39|40|688.34
72|198|40|42|624.44
72|198|41|43|766.28
72|198|42|43|745.36
72|198|43|44|528.23
72|198|44|45|613.14
72|198|45|46|664.36
72|198|46|48|761.93
72|198|47|49|672.18
72|198|48|49|598.77
72|198|49|51|716.01
72|198|50|52|780.84
72|198|51|1|548.2
72|198|52|2|583.11
72|216|1|2|9.23
72|216|2|4|11.28
72|216|3|5|10.52
72|216|4|6|9.54
72|216|5|7|12.38
72|216|6|8|10.03
72|216|7|9|9.79
72|216|8|10|10.07
72|216|9|11|10.39
72|216|10|11|10.4
72|216|11|13|11.57
72|216|12|14|13.26
72|216|13|14|12.27
72|216|14|16|13.04
72|216|15|16|12.19
72|216|16|17|9.26
72|216|17|18|11.85
72|216|18|20|10.07
72|216|19|21|10.86
72|216|20|21|13.65
72|216|21|23|10.01
72|216|22|24|10.75
72|216|23|24|11.12
72|216|24|26|9.46
72|216|25|27|12.34
72|216|26|27|12.97
72|216|27|28|10.08
72|216|28|29|10.2
72|216|29|31|11.86
72|216|30|32|11.55
72|216|31|33|11.79
72|216|32|33|10.8
72|216|33|35|9.62
72|216|34|35|11.22
72|216|35|37|8.37
72|216|36|37|9.13
72|216|37|38|9.06
72|216|38|40|10.95
72|216|39|41|12.82
