Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|1.63|0.31|2.37|0|17|17|50|16|586106.00|-7.19
1|0.00|0.47|2.38|0|50|67|50|44|572458.60|-7.16
2|0.00|0.48|2.38|0|50|117|50|78|544567.19|-13.73
3|0.00|0.47|2.39|0|50|167|50|97|530987.71|-34.03
4|0.00|0.48|2.37|0|50|217|50|117|508267.24|-45.89
5|0.00|0.49|2.38|0|50|267|50|144|490139.17|-41.16
6|0.00|0.50|2.37|0|50|317|50|169|475356.94|-54.15
7|0.00|0.51|2.37|0|50|367|50|185|455304.09|-47.72
8|0.00|0.52|2.37|0|50|417|50|204|441618.41|-83.56
9|0.00|0.53|2.36|0|50|467|50|235|416008.54|-27.31
10|0.00|0.53|2.37|0|50|517|50|236|384074.80|-56.12
11|0.00|0.55|2.37|0|50|567|50|250|361377.58|-62.80
12|0.00|0.57|2.40|0|50|617|50|264|323804.68|-67.19
13|0.00|0.65|2.38|0|50|667|50|288|297113.42|-36.15
14|0.01|0.63|2.37|0|50|717|50|290|250265.32|-46.94
15|0.01|0.72|2.36|0|50|767|50|308|231051.83|-30.12
16|0.01|0.75|2.41|0|50|817|50|325|213430.33|-28.11
17|0.01|0.87|2.37|0|50|867|50|342|172158.75|-40.21
18|0.01|1.18|2.37|0|50|917|50|347|143451.78|-12.65
19|0.00|1.23|2.37|0|50|967|50|364|116285.42|-20.44
20|0.01|1.37|2.37|0|50|1017|50|371|91020.77|-21.12
21|0.00|1.36|2.37|0|50|1067|50|384|63733.92|-25.04
22|0.01|1.38|2.36|0|50|1117|50|405|35768.14|-25.50
23|0.01|1.42|2.36|0|50|1167|50|419|3835.97|-10.16
24|0.01|1.54|2.37|0|50|1217|50|427|-31644.57|-13.87
25|0.01|1.75|2.38|0|50|1267|50|437|-45728.36|-21.22
26|0.01|1.62|2.41|0|50|1317|50|437|-83031.67|-14.22
27|0.01|1.63|2.36|0|50|1367|50|463|-111228.42|-22.41
28|0.01|1.61|2.36|0|50|1417|50|464|-137960.91|-12.23
29|0.01|1.74|2.37|0|50|1467|50|483|-161952.63|-12.76
30|0.01|1.84|2.39|0|50|1517|50|504|-201489.87|-7.50
31|0.02|1.83|2.36|0|50|1567|50|500|-221268.35|-11.33
32|0.01|2.16|2.36|0|50|1617|50|516|-242828.93|-9.57
33|0.01|1.96|2.37|0|50|1667|50|520|-264669.34|-9.45
34|0.01|2.07|2.37|0|50|1717|50|529|-288914.33|-15.70
35|0.01|2.08|2.37|0|50|1767|50|537|-315606.43|-12.25
36|0.01|2.24|2.35|0|50|1817|50|552|-336558.74|-6.59
37|0.01|2.32|2.35|0|50|1867|50|562|-361037.71|-12.41
38|0.01|2.37|2.36|0|50|1917|50|574|-383504.62|-15.28
39|0.01|2.37|2.35|0|50|1967|50|602|-397097.60|-11.69
40|0.01|2.53|2.35|0|50|2017|50|608|-420622.62|-7.51
41|0.01|2.51|2.38|0|50|2067|50|611|-464247.98|-10.37
42|0.01|2.55|2.37|0|50|2117|50|633|-484502.21|-6.52
43|0.01|2.57|2.35|0|50|2167|50|648|-509960.37|-6.85
44|0.01|2.65|2.39|0|50|2217|50|643|-527561.46|-6.05
45|0.01|2.69|2.36|0|50|2267|50|661|-544437.21|-6.34
46|0.01|2.89|2.36|0|50|2317|50|665|-567037.26|-6.47
47|0.01|2.91|2.34|0|50|2367|50|669|-588594.61|-5.94
48|0.01|2.87|2.35|0|50|2417|50|679|-601854.17|-6.45
49|0.01|2.96|2.36|0|50|2467|50|676|-624738.78|-6.37
50|0.01|2.96|2.35|0|50|2517|50|680|-646238.20|-6.24
51|0.01|3.01|2.37|0|50|2567|50|693|-669272.79|-6.10
52|0.01|2.86|2.36|0|50|2617|50|703|-685262.87|-6.07
53|0.01|2.93|2.39|0|50|2667|50|699|-700919.52|-5.86
54|0.01|2.98|2.40|0|50|2717|50|717|-715888.00|-6.01
55|0.01|3.17|2.40|0|50|2767|50|711|-728024.95|-5.71
56|0.01|3.03|2.39|0|50|2817|50|712|-740357.31|-5.66
57|0.01|3.14|2.37|0|50|2867|50|723|-752175.20|-6.20
58|0.01|2.99|2.35|0|50|2917|50|715|-766068.32|-5.86
59|0.01|2.99|2.35|0|50|2967|50|736|-785974.24|-7.84
60|0.01|3.28|2.36|0|50|3017|50|745|-802747.92|-6.02
61|0.01|3.27|2.43|0|50|3067|50|760|-816181.27|-5.70
62|0.01|3.24|2.36|0|50|3117|50|785|-849868.98|-5.57
63|0.01|3.23|2.34|0|50|3167|50|787|-860144.81|-5.24
64|0.01|3.34|2.33|0|50|3217|50|791|-867714.79|-4.77
65|0.01|3.40|2.33|0|50|3267|50|799|-876163.89|-4.89
66|0.01|3.48|2.32|0|50|3317|50|807|-883549.02|-5.08
67|0.01|3.58|2.34|0|50|3367|50|825|-892155.01|-4.54
68|0.01|3.42|2.38|0|50|3417|50|840|-911458.39|-4.29
69|0.01|3.25|2.39|0|50|3467|50|850|-923646.47|-4.10
70|0.01|3.27|2.36|0|50|3517|50|866|-938202.78|-4.16
71|0.01|3.23|2.34|0|50|3567|50|868|-944131.57|-4.04
72|0.01|3.29|2.34|0|50|3617|50|870|-951688.06|-3.84
73|0.01|3.42|2.35|0|50|3667|50|857|-985707.43|-4.69
74|0.01|3.36|2.36|0|50|3717|50|848|-993601.36|-4.13
75|0.01|3.46|2.41|0|50|3767|50|876|-1025856.58|-4.26
76|0.01|3.15|2.35|0|50|3817|50|877|-1035424.43|-4.33
77|0.01|3.42|2.35|0|50|3867|50|868|-1041637.01|-4.10
78|0.01|3.47|2.34|0|50|3917|50|867|-1068003.11|-4.03
79|0.01|3.28|2.36|0|50|3967|50|885|-1071327.72|-3.88
80|0.01|3.41|2.41|0|50|4017|50|884|-1083682.38|-3.87
81|0.01|3.16|2.34|0|50|4067|50|891|-1086801.02|-3.68
82|0.01|3.44|2.35|0|50|4117|50|906|-1119262.72|-3.24
83|0.01|3.64|2.35|0|50|4167|50|920|-1125241.72|-2.86
84|0.01|3.31|2.34|0|50|4217|50|917|-1131901.87|-2.45
85|0.01|3.60|2.37|0|50|4267|50|918|-1135455.40|-2.26
86|0.01|3.30|2.35|0|50|4317|50|919|-1138344.51|-2.25
87|0.01|3.38|2.35|0|50|4367|50|906|-1142052.78|-2.22
88|0.01|3.37|2.34|0|50|4417|50|926|-1144651.42|-2.07
89|0.01|3.23|2.35|0|50|4467|50|920|-1147289.74|-2.22
90|0.01|3.31|2.35|0|50|4517|50|921|-1149859.72|-2.09
91|0.01|3.27|2.40|0|50|4567|50|914|-1152904.91|-1.63
92|0.01|3.36|2.35|0|50|4617|50|911|-1155778.80|-1.97
93|0.01|3.58|2.40|0|50|4667|50|920|-1158263.11|-1.63
94|0.01|3.52|2.40|0|50|4717|50|945|-1160694.89|-1.63
95|0.01|3.34|2.37|0|50|4767|50|940|-1163140.22|-1.72
96|0.01|3.38|2.36|0|50|4817|50|941|-1165432.30|-1.35
97|0.01|3.33|2.36|0|50|4867|50|959|-1167816.30|-1.58
98|0.01|3.39|2.37|0|50|4917|50|947|-1170526.71|-1.65
99|0.01|3.45|2.37|0|50|4967|50|957|-1172459.44|-1.55
100|0.01|3.32|2.37|0|50|5017|50|966|-1173827.95|-1.60
101|0.01|3.41|2.38|0|50|5067|50|960|-1176155.63|-1.42
102|0.01|3.59|2.40|0|50|5117|50|973|-1177888.72|-1.43
103|0.01|3.49|2.36|0|50|5167|50|958|-1179905.85|-1.49
104|0.01|3.51|2.36|0|50|5217|50|973|-1182596.28|-1.79
105|0.01|3.49|2.37|0|50|5267|50|993|-1184972.35|-1.57
106|0.01|3.44|2.37|0|50|5317|50|983|-1186816.87|-1.37
107|0.01|3.47|2.37|0|50|5367|50|985|-1188745.55|-1.24
108|0.01|3.42|2.36|0|50|5417|50|987|-1191119.79|-1.28
109|0.01|3.48|2.36|0|50|5467|50|1009|-1193022.46|-1.16
110|0.01|3.51|2.37|0|50|5517|50|992|-1194271.52|-1.16
111|0.01|3.55|2.37|0|50|5567|50|980|-1195658.94|-1.14
