p_i|t_i|p_j|t_j|key|tt|pf
72|1|72|2|h|1|-0.000821
72|2|72|3|h|1|-0.00087
72|3|72|4|h|1|-0.000912
72|4|72|5|h|1|-0.000681
72|5|72|6|h|1|-0.000753
72|6|72|7|h|1|-0.000656
72|7|72|8|h|1|-0.000843
72|8|72|9|h|1|-0.000633
72|9|72|10|h|1|-0.000701
72|10|72|11|h|1|-0.000671
72|11|72|12|h|1|-0.00066
72|12|72|13|h|1|-0.000796
72|13|72|14|h|1|-0.000672
72|14|72|15|h|1|-0.000699
72|15|72|16|h|1|-0.000773
72|16|72|17|h|1|-0.000877
72|17|72|18|h|1|-0.000765
72|18|72|19|h|1|-0.000667
72|19|72|20|h|1|-0.000698
72|20|72|21|h|1|-0.000672
72|21|72|22|h|1|-0.000737
72|22|72|23|h|1|-0.000863
72|23|72|24|h|1|-0.000861
72|24|72|25|h|1|-0.000907
72|25|72|26|h|1|-0.000806
72|26|72|27|h|1|-0.000773
72|27|72|28|h|1|-0.000615
72|28|72|29|h|1|-0.000778
72|29|72|30|h|1|-0.000621
72|30|72|31|h|1|-0.000814
72|31|72|32|h|1|-0.000753
72|32|72|33|h|1|-0.000882
72|33|72|34|h|1|-0.000726
72|34|72|35|h|1|-0.000827
72|35|72|36|h|1|-0.000803
72|36|72|37|h|1|-0.000725
72|37|72|38|h|1|-0.000839
72|38|72|39|h|1|-0.000847
72|39|72|40|h|1|-0.000727
72|40|72|41|h|1|-0.000828
72|41|72|42|h|1|-0.000734
72|42|72|43|h|1|-0.000801
72|43|72|44|h|1|-0.000875
72|44|72|45|h|1|-0.000769
72|45|72|46|h|1|-0.000746
72|46|72|47|h|1|-0.000872
72|47|72|48|h|1|-0.000867
72|48|72|49|h|1|-0.000812
72|49|72|50|h|1|-0.000694
72|50|72|51|h|1|-0.000744
72|51|72|52|h|1|-0.000834
72|52|72|1|h|1|-0.000842
72|1|198|6|d|5|-0.001006
72|1|198|6|g|5|0.466383
72|2|198|7|d|5|-0.000753
72|2|198|7|g|5|0.520179
72|3|198|8|d|5|-0.000769
72|3|198|8|g|5|0.460008
72|4|198|9|d|5|-0.000924
72|4|198|9|g|5|0.414841
72|5|198|10|d|5|-0.000735
72|5|198|10|g|5|0.507141
72|6|198|11|d|5|-0.00088
72|6|198|11|g|5|0.451502
72|7|198|12|d|5|-0.000721
72|7|198|12|g|5|0.375741
72|8|198|13|d|5|-0.000994
72|8|198|13|g|5|0.40651
72|9|198|14|d|5|-0.001011
72|9|198|14|g|5|0.481282
72|10|198|15|d|5|-0.000731
72|10|198|15|g|5|0.518955
72|11|198|16|d|5|-0.000982
72|11|198|16|g|5|0.398984
72|12|198|17|d|5|-0.001049
72|12|198|17|g|5|0.478684
72|13|198|18|d|5|-0.000902
72|13|198|18|g|5|0.473873
72|14|198|19|d|5|-0.000938
72|14|198|19|g|5|0.4947
72|15|198|20|d|5|-0.000952
72|15|198|20|g|5|0.400617
72|16|198|21|d|5|-0.000871
72|16|198|21|g|5|0.492437
72|17|198|22|d|5|-0.001052
72|17|198|22|g|5|0.434196
72|18|198|23|d|5|-0.00106
72|18|198|23|g|5|0.475796
