p_i|t_i|p_j|t_j|key|tt|pf
72|1|72|2|h|1|-0.263916
72|2|72|3|h|1|-0.303053
72|3|72|4|h|1|-0.341526
72|4|72|5|h|1|-0.358273
72|5|72|6|h|1|-0.303301
72|6|72|7|h|1|-0.278135
72|7|72|8|h|1|-0.340982
72|8|72|9|h|1|-0.348235
72|9|72|10|h|1|-0.317075
72|10|72|11|h|1|-0.356536
72|11|72|12|h|1|-0.276518
72|12|72|13|h|1|-0.365213
72|13|72|14|h|1|-0.255114
72|14|72|15|h|1|-0.303336
72|15|72|16|h|1|-0.321621
72|16|72|17|h|1|-0.297958
72|17|72|18|h|1|-0.319526
72|18|72|19|h|1|-0.273423
72|19|72|20|h|1|-0.304197
72|20|72|21|h|1|-0.266705
72|21|72|22|h|1|-0.337982
72|22|72|23|h|1|-0.311233
72|23|72|24|h|1|-0.352391
72|24|72|25|h|1|-0.336366
72|25|72|26|h|1|-0.290603
72|26|72|27|h|1|-0.292651
72|27|72|28|h|1|-0.3033
72|28|72|29|h|1|-0.250878
72|29|72|30|h|1|-0.245889
72|30|72|31|h|1|-0.294387
72|31|72|32|h|1|-0.346386
72|32|72|33|h|1|-0.266249
72|33|72|34|h|1|-0.305781
72|34|72|35|h|1|-0.273765
72|35|72|36|h|1|-0.325579
72|36|72|37|h|1|-0.251118
72|37|72|38|h|1|-0.348022
72|38|72|39|h|1|-0.3006
72|39|72|40|h|1|-0.301011
72|40|72|41|h|1|-0.252532
72|41|72|42|h|1|-0.319221
72|42|72|43|h|1|-0.299688
72|43|72|44|h|1|-0.320193
72|44|72|45|h|1|-0.362327
72|45|72|46|h|1|-0.3049
72|46|72|47|h|1|-0.276421
72|47|72|48|h|1|-0.335985
72|48|72|49|h|1|-0.298137
72|49|72|50|h|1|-0.283282
72|50|72|51|h|1|-0.302491
72|51|72|52|h|1|-0.307421
72|52|72|1|h|1|-0.351321
72|1|198|6|d|5|-0.366264
72|1|198|6|g|5|0.045445
72|2|198|7|d|5|-0.38064
72|2|198|7|g|5|0.094288
72|3|198|8|d|5|-0.305248
72|3|198|8|g|5|0.098184
72|4|198|9|d|5|-0.362298
72|4|198|9|g|5|0.072732
72|5|198|10|d|5|-0.327411
72|5|198|10|g|5|0.071257
72|6|198|11|d|5|-0.362085
72|6|198|11|g|5|0.049376
72|7|198|12|d|5|-0.291451
72|7|198|12|g|5|0.055611
72|8|198|13|d|5|-0.299896
72|8|198|13|g|5|0.051563
72|9|198|14|d|5|-0.397903
72|9|198|14|g|5|0.069016
72|10|198|15|d|5|-0.379722
72|10|198|15|g|5|0.073054
72|11|198|16|d|5|-0.370092
72|11|198|16|g|5|0.07573
72|12|198|17|d|5|-0.291394
72|12|198|17|g|5|0.071714
72|13|198|18|d|5|-0.359751
72|13|198|18|g|5|0.064012
72|14|198|19|d|5|-0.30668
72|14|198|19|g|5|0.060906
72|15|198|20|d|5|-0.380554
72|15|198|20|g|5|0.101607
72|16|198|21|d|5|-0.344762
72|16|198|21|g|5|0.068433
