Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|0.96|0.31|2.40|0|3|3|50|3|10280102.97|-8.89
1|0.01|0.48|2.44|0|50|53|50|23|10271841.51|-8.85
2|0.00|0.48|2.42|0|50|103|50|55|10262110.41|-8.82
3|0.00|0.49|2.44|0|50|153|50|83|10237488.83|-26.77
4|0.00|0.51|2.42|0|50|203|50|107|10215999.38|-29.22
5|0.00|0.49|2.41|0|50|253|50|125|10200237.54|-40.42
6|0.00|0.50|2.41|0|50|303|50|143|10178044.50|-39.01
7|0.00|0.51|2.39|0|50|353|50|159|10158789.11|-47.28
8|0.00|0.52|2.39|0|50|403|50|191|10137213.78|-53.67
9|0.00|0.52|2.38|0|50|453|50|207|10113623.42|-64.63
10|0.00|0.53|2.39|0|50|503|50|206|10087846.80|-60.00
11|0.00|0.53|2.39|0|50|553|50|223|10050391.95|-71.85
12|0.00|0.54|2.39|0|50|603|50|241|10016924.79|-112.85
13|0.00|0.56|2.41|0|50|653|50|259|9990534.76|-80.04
14|0.00|0.56|2.40|0|50|703|50|264|9950070.41|-56.33
15|0.00|0.60|2.40|0|50|753|50|281|9917768.03|-75.47
16|0.00|0.60|2.39|0|50|803|50|288|9884763.02|-59.65
17|0.00|0.74|2.41|0|50|853|50|309|9852958.34|-57.75
18|0.00|0.85|2.40|0|50|903|50|309|9815946.54|-34.59
19|0.01|0.97|2.39|0|50|953|50|328|9777358.74|-34.85
20|0.01|0.91|2.40|0|50|1003|50|334|9755612.25|-32.25
21|0.00|1.16|2.41|0|50|1053|50|358|9732854.01|-22.27
22|0.00|1.17|2.40|0|50|1103|50|365|9697206.07|-39.67
23|0.01|1.18|2.40|0|50|1153|50|377|9679324.95|-34.96
24|0.01|1.22|2.43|0|50|1203|50|389|9648991.42|-26.77
25|0.01|1.26|2.40|0|50|1253|50|412|9634726.91|-11.15
26|0.00|1.27|2.39|0|50|1303|50|419|9604596.58|-27.67
27|0.01|1.22|2.40|0|50|1353|50|442|9582417.18|-23.83
28|0.01|1.28|2.41|0|50|1403|50|460|9561633.88|-12.40
29|0.00|1.32|2.40|0|50|1453|50|451|9538114.90|-20.15
30|0.00|1.38|2.44|0|50|1503|50|474|9521303.39|-17.73
31|0.00|1.40|2.40|0|50|1553|50|481|9490826.90|-16.36
32|0.00|1.41|2.41|0|50|1603|50|502|9470928.18|-15.48
33|0.00|1.46|2.40|0|50|1653|50|504|9445108.79|-14.88
34|0.01|1.41|2.41|0|50|1703|50|508|9418302.87|-17.41
35|0.01|1.41|2.40|0|50|1753|50|522|9389559.31|-21.50
36|0.00|1.44|2.40|0|50|1803|50|523|9359133.35|-27.74
37|0.00|1.46|2.47|0|50|1853|50|526|9332920.79|-12.80
38|0.01|1.62|2.50|0|50|1903|50|550|9316179.82|-13.71
39|0.00|1.51|2.42|0|50|1953|50|540|9298329.86|-10.55
40|0.01|1.54|2.39|0|50|2003|50|551|9275535.66|-10.54
41|0.01|1.59|2.44|0|50|2053|50|564|9252229.82|-13.77
42|0.01|1.61|2.44|0|50|2103|50|550|9213155.77|-9.04
43|0.01|1.53|2.42|0|50|2153|50|565|9182241.85|-14.54
44|0.00|1.55|2.40|0|50|2203|50|587|9153996.94|-11.57
45|0.01|1.57|2.41|0|50|2253|50|599|9121100.14|-11.27
46|0.01|1.65|2.41|0|50|2303|50|593|9098716.82|-10.69
47|0.00|1.69|2.42|0|50|2353|50|603|9044682.84|-9.91
48|0.01|1.65|2.43|0|50|2403|50|596|9006856.23|-10.57
49|0.01|1.72|2.40|0|50|2453|50|601|8991454.19|-10.97
50|0.01|1.68|2.40|0|50|2503|50|613|8959865.49|-14.71
51|0.01|1.62|2.39|0|50|2553|50|611|8902295.79|-15.56
52|0.01|1.64|2.40|0|50|2603|50|606|8878341.04|-10.21
53|0.01|1.67|2.40|0|50|2653|50|613|8852254.96|-9.15
54|0.01|1.64|2.40|0|50|2703|50|625|8817419.04|-14.99
55|0.01|1.88|2.41|0|50|2753|50|637|8797959.30|-6.96
56|0.01|1.80|2.42|0|50|2803|50|660|8755194.12|-9.51
57|0.01|1.82|2.44|0|50|2853|50|651|8703410.76|-12.21
58|0.01|1.77|2.41|0|50|2903|50|655|8682057.90|-9.87
59|0.01|1.80|2.41|0|50|2953|50|667|8656299.67|-8.37
60|0.01|1.83|2.39|0|50|3003|50|678|8626173.56|-10.54
61|0.01|1.79|2.40|0|50|3053|50|671|8604729.58|-6.45
62|0.01|1.79|2.41|0|50|3103|50|681|8568474.54|-9.62
63|0.01|1.82|2.41|0|50|3153|50|697|8532739.32|-6.11
64|0.01|1.84|2.40|0|50|3203|50|699|8508689.89|-6.80
65|0.01|1.87|2.40|0|50|3253|50|716|8471844.51|-6.27
66|0.01|1.86|2.40|0|50|3303|50|719|8448949.69|-5.79
67|0.01|1.98|2.40|0|50|3353|50|718|8417631.47|-6.65
68|0.01|1.92|2.40|0|50|3403|50|725|8390188.78|-8.59
69|0.01|1.93|2.44|0|50|3453|50|728|8365733.74|-10.13
70|0.01|1.99|2.41|0|50|3503|50|739|8338052.05|-9.18
71|0.01|1.98|2.43|0|50|3553|50|748|8304859.01|-8.70
72|0.01|1.90|2.40|0|50|3603|50|741|8260045.62|-6.39
73|0.01|2.00|2.41|0|50|3653|50|744|8202936.78|-6.94
74|0.01|1.91|2.41|0|50|3703|50|768|8175544.47|-6.01
75|0.01|1.81|2.40|0|50|3753|50|752|8154366.54|-5.71
76|0.01|1.80|2.39|0|50|3803|50|768|8115698.81|-5.74
77|0.01|1.79|2.41|0|50|3853|50|774|8092704.04|-5.50
78|0.01|1.75|2.39|0|50|3903|50|795|8066973.81|-5.53
79|0.01|1.87|2.38|0|50|3953|50|783|8022140.87|-8.31
80|0.01|1.77|2.41|0|50|4003|50|791|7974326.03|-5.93
81|0.01|1.82|2.40|0|50|4053|50|784|7934638.13|-8.26
82|0.01|1.77|2.39|0|50|4103|50|797|7919993.43|-5.98
83|0.01|1.99|2.39|0|50|4153|50|829|7892806.42|-3.11
84|0.01|2.02|2.39|0|50|4203|50|836|7887577.46|-3.15
85|0.01|2.04|2.39|0|50|4253|50|843|7880156.72|-2.33
86|0.01|2.24|2.40|0|50|4303|50|848|7868370.95|-5.69
