Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|1.31|0.33|2.22|0|11|11|50|10|1278657.55|-6.87
1|0.00|0.48|2.26|0|50|61|50|37|1261222.66|-6.84
2|0.01|0.47|2.36|0|50|111|50|75|1240544.18|-13.44
3|0.00|0.48|2.37|0|50|161|50|100|1222955.14|-31.40
4|0.01|0.45|2.26|0|50|211|50|130|1199204.71|-25.09
5|0.00|0.47|2.32|0|50|261|50|139|1175949.09|-32.84
6|0.00|0.45|2.30|0|50|311|50|172|1147752.90|-44.85
7|0.00|0.50|2.25|0|50|361|50|192|1122755.99|-51.78
8|0.00|0.48|2.29|0|50|411|50|201|1092541.82|-52.65
9|0.00|0.51|2.24|0|50|461|50|220|1061222.06|-40.02
10|0.00|0.51|2.29|0|50|511|50|237|1033495.79|-45.70
11|0.00|0.56|2.26|0|50|561|50|251|1015821.30|-42.09
12|0.00|0.61|2.29|0|50|611|50|265|1001981.43|-36.18
13|0.00|0.67|2.28|0|50|661|50|274|974900.52|-27.22
14|0.00|0.65|2.29|0|50|711|50|302|943610.92|-38.79
15|0.00|0.72|2.25|0|50|761|50|306|910883.69|-41.06
16|0.00|0.79|2.28|0|50|811|50|315|877979.90|-43.30
17|0.00|0.89|2.20|0|50|861|50|336|855029.27|-52.11
18|0.00|1.13|2.26|0|50|911|50|334|833819.73|-40.09
19|0.00|1.09|2.29|0|50|961|50|351|804944.13|-33.51
20|0.00|1.13|2.25|0|50|1011|50|373|782589.65|-23.58
21|0.00|1.19|2.31|0|50|1061|50|389|755018.39|-30.86
22|0.00|1.22|2.30|0|50|1111|50|398|725673.75|-36.95
23|0.00|1.36|2.27|0|50|1161|50|399|695467.95|-18.53
24|0.01|1.46|2.38|0|50|1211|50|427|677132.54|-11.07
25|0.00|1.43|2.35|0|50|1261|50|439|655501.95|-15.92
26|0.00|1.47|2.32|0|50|1311|50|442|627301.57|-24.29
27|0.00|1.56|2.24|0|50|1361|50|457|614047.21|-14.60
28|0.00|1.41|2.36|0|50|1411|50|471|596670.82|-17.07
