p_o|p_d|t_1|t_2|demand
72|198|1|2|1256.57
72|198|2|3|1209.7575
72|198|3|4|1257.8125
72|198|4|6|1024.625
72|198|5|6|1461.2849999999999
72|198|6|8|1014.09
72|198|7|8|1252.93
72|198|8|9|1394.61
72|198|9|11|1199.8
72|198|10|11|1425.4975000000002
72|198|11|12|1425.7250000000001
72|198|12|14|1038.9750000000001
72|198|13|15|1208.2
72|198|14|15|772.92
72|198|15|16|718.46
72|198|16|17|742.95
72|198|17|18|767.77
72|198|18|20|653.89
72|198|19|21|725.88
72|198|20|21|609.78
72|198|21|22|618.86
72|198|22|24|694.66
72|198|23|24|769.34
72|198|24|26|643.03
72|198|25|27|819.15
72|198|26|27|689.52
72|198|27|29|855.49
72|198|28|29|696.18
72|198|29|30|629.7
72|198|30|31|816.16
72|198|31|32|707.44
72|198|32|34|651.15
72|198|33|34|638.04
72|198|34|36|565.19
72|198|35|36|612.0
72|198|36|37|544.15
72|198|37|38|698.64
72|198|38|40|826.19
72|198|39|40|786.97
72|198|40|42|514.73
72|198|41|43|736.89
72|198|42|43|636.22
72|198|43|44|557.4
72|198|44|45|695.65
72|198|45|46|589.42
72|198|46|48|580.07
72|198|47|49|563.62
72|198|48|49|639.3
72|198|49|51|548.71
72|198|50|52|759.99
72|198|51|1|653.39
72|198|52|2|640.57
72|216|1|2|14.84
72|216|2|4|22.5925
72|216|3|5|20.3175
72|216|4|6|19.11
72|216|5|7|21.63
72|216|6|8|15.697500000000002
72|216|7|9|18.0075
72|216|8|10|19.599999999999998
72|216|9|11|19.11
72|216|10|11|17.412499999999998
72|216|11|13|18.34
72|216|12|14|18.1825
72|216|13|14|23.502499999999998
72|216|14|16|10.47
72|216|15|16|10.25
72|216|16|17|12.91
72|216|17|18|11.23
72|216|18|20|11.64
72|216|19|21|12.03
72|216|20|21|12.23
72|216|21|23|11.69
72|216|22|24|8.82
72|216|23|24|13.21
72|216|24|26|10.31
72|216|25|27|10.68
72|216|26|27|9.9
72|216|27|28|12.7
72|216|28|29|11.81
72|216|29|31|12.65
72|216|30|32|12.31
72|216|31|33|9.09
72|216|32|33|9.84
72|216|33|35|10.65
72|216|34|35|9.49
72|216|35|37|9.04
72|216|36|37|12.06
72|216|37|38|12.03
72|216|38|40|10.49
72|216|39|41|12.2
72|216|40|41|10.45
72|216|41|43|8.04
72|216|42|44|9.68
72|216|43|44|9.14
72|216|44|46|8.79
72|216|45|46|8.96
72|216|46|47|11.87
72|216|47|49|10.17
72|216|48|49|11.47
