p_i|t_i|p_j|t_j|key|tt|pf
72|1|72|2|h|1|-0.195794
72|2|72|3|h|1|-0.192901
72|3|72|4|h|1|-0.171745
72|4|72|5|h|1|-0.179195
72|5|72|6|h|1|-0.159139
72|6|72|7|h|1|-0.219258
72|7|72|8|h|1|-0.180347
72|8|72|9|h|1|-0.173934
72|9|72|10|h|1|-0.219795
72|10|72|11|h|1|-0.159813
72|11|72|12|h|1|-0.179033
72|12|72|13|h|1|-0.177327
72|13|72|14|h|1|-0.177344
72|14|72|15|h|1|-0.157637
72|15|72|16|h|1|-0.229984
72|16|72|17|h|1|-0.224457
72|17|72|18|h|1|-0.189219
72|18|72|19|h|1|-0.191643
72|19|72|20|h|1|-0.197812
72|20|72|21|h|1|-0.19422
72|21|72|22|h|1|-0.217795
72|22|72|23|h|1|-0.195012
72|23|72|24|h|1|-0.171533
72|24|72|25|h|1|-0.165903
72|25|72|26|h|1|-0.228699
72|26|72|27|h|1|-0.160527
72|27|72|28|h|1|-0.227076
72|28|72|29|h|1|-0.210847
72|29|72|30|h|1|-0.188451
72|30|72|31|h|1|-0.171404
72|31|72|32|h|1|-0.181067
72|32|72|33|h|1|-0.198261
72|33|72|34|h|1|-0.208212
72|34|72|35|h|1|-0.210925
72|35|72|36|h|1|-0.191789
72|36|72|37|h|1|-0.186043
72|37|72|38|h|1|-0.216947
72|38|72|39|h|1|-0.229258
72|39|72|40|h|1|-0.2284
72|40|72|41|h|1|-0.199965
72|41|72|42|h|1|-0.162928
72|42|72|43|h|1|-0.162479
72|43|72|44|h|1|-0.188299
72|44|72|45|h|1|-0.214168
72|45|72|46|h|1|-0.195711
72|46|72|47|h|1|-0.205901
72|47|72|48|h|1|-0.222825
72|48|72|49|h|1|-0.159897
72|49|72|50|h|1|-0.229133
72|50|72|51|h|1|-0.182667
72|51|72|52|h|1|-0.160402
72|52|72|1|h|1|-0.222206
72|1|198|6|d|5|-0.266041
72|1|198|6|g|5|0.195823
72|2|198|7|d|5|-0.254287
72|2|198|7|g|5|0.240988
72|3|198|8|d|5|-0.228704
72|3|198|8|g|5|0.233012
72|4|198|9|d|5|-0.207314
72|4|198|9|g|5|0.179818
72|5|198|10|d|5|-0.236554
72|5|198|10|g|5|0.218576
72|6|198|11|d|5|-0.21735
72|6|198|11|g|5|0.180333
72|7|198|12|d|5|-0.267862
72|7|198|12|g|5|0.189211
72|8|198|13|d|5|-0.270768
72|8|198|13|g|5|0.215084
72|9|198|14|d|5|-0.239339
72|9|198|14|g|5|0.157777
72|10|198|15|d|5|-0.208172
72|10|198|15|g|5|0.200978
72|11|198|16|d|5|-0.240532
72|11|198|16|g|5|0.19866
72|12|198|17|d|5|-0.2564
72|12|198|17|g|5|0.217106
72|13|198|18|d|5|-0.212818
72|13|198|18|g|5|0.223672
72|14|198|19|d|5|-0.208822
72|14|198|19|g|5|0.16694
72|15|198|20|d|5|-0.196987
72|15|198|20|g|5|0.173296
72|16|198|21|d|5|-0.25681
72|16|198|21|g|5|0.219967
72|17|198|22|d|5|-0.233075
72|17|198|22|g|5|0.229281
72|18|198|23|d|5|-0.240603
72|18|198|23|g|5|0.23328
72|19|198|24|d|5|-0.257722
72|19|198|24|g|5|0.217561
72|20|198|25|d|5|-0.254313
72|20|198|25|g|5|0.247814
72|21|198|26|d|5|-0.19943
72|21|198|26|g|5|0.199564
72|22|198|27|d|5|-0.257044
72|22|198|27|g|5|0.210982
72|23|198|28|d|5|-0.183518
72|23|198|28|g|5|0.195472
72|24|198|29|d|5|-0.219774
72|24|198|29|g|5|0.180824
72|25|198|30|d|5|-0.204972
72|25|198|30|g|5|0.196313
72|26|198|31|d|5|-0.200796
72|26|198|31|g|5|0.198754
72|27|198|32|d|5|-0.255057
72|27|198|32|g|5|0.189245
72|28|198|33|d|5|-0.234117
72|28|198|33|g|5|0.213633
72|29|198|34|d|5|-0.255502
72|29|198|34|g|5|0.201885
72|30|198|35|d|5|-0.201612
72|30|198|35|g|5|0.249045
72|31|198|36|d|5|-0.256864
72|31|198|36|g|5|0.193807
72|32|198|37|d|5|-0.189795
72|32|198|37|g|5|0.145825
72|33|198|38|d|5|-0.197899
72|33|198|38|g|5|0.156246
72|34|198|39|d|5|-0.193694
72|34|198|39|g|5|0.15005
72|35|198|40|d|5|-0.211977
72|35|198|40|g|5|0.180497
72|36|198|41|d|5|-0.245673
72|36|198|41|g|5|0.146317
72|37|198|42|d|5|-0.269936
72|37|198|42|g|5|0.209519
72|38|198|43|d|5|-0.196159
72|38|198|43|g|5|0.169385
72|39|198|44|d|5|-0.189279
72|39|198|44|g|5|0.211794
72|40|198|45|d|5|-0.202765
72|40|198|45|g|5|0.126305
72|41|198|46|d|5|-0.219588
72|41|198|46|g|5|0.16829
72|42|198|47|d|5|-0.208955
72|42|198|47|g|5|0.159708
72|43|198|48|d|5|-0.198811
72|43|198|48|g|5|0.148979
72|44|198|49|d|5|-0.213886
72|44|198|49|g|5|0.146837
72|45|198|50|d|5|-0.223567
72|45|198|50|g|5|0.127483
72|46|198|51|d|5|-0.189807
72|46|198|51|g|5|0.142711
72|47|198|52|d|5|-0.191837
72|47|198|52|g|5|0.146723
72|48|198|1|d|5|-0.183566
72|48|198|1|g|5|0.147931
72|49|198|2|d|5|-0.200691
72|49|198|2|g|5|0.190678
72|50|198|3|d|5|-0.25915
72|50|198|3|g|5|0.166388
72|51|198|4|d|5|-0.224453
72|51|198|4|g|5|0.199012
72|52|198|5|d|5|-0.228861
72|52|198|5|g|5|0.187226
72|1|216|6|d|5|-0.256269
72|1|216|6|g|5|0.208036
72|2|216|7|d|5|-0.209059
72|2|216|7|g|5|0.171506
72|3|216|8|d|5|-0.190766
72|3|216|8|g|5|0.223522
72|4|216|9|d|5|-0.229421
72|4|216|9|g|5|0.183714
72|5|216|10|d|5|-0.203892
72|5|216|10|g|5|0.21656
72|6|216|11|d|5|-0.212214
72|6|216|11|g|5|0.195634
72|7|216|12|d|5|-0.245925
72|7|216|12|g|5|0.1826
72|8|216|13|d|5|-0.198877
72|8|216|13|g|5|0.214929
72|9|216|14|d|5|-0.189821
72|9|216|14|g|5|0.222197
72|10|216|15|d|5|-0.257203
72|10|216|15|g|5|0.213726
72|11|216|16|d|5|-0.238416
72|11|216|16|g|5|0.195549
72|12|216|17|d|5|-0.257648
72|12|216|17|g|5|0.184559
72|13|216|18|d|5|-0.232096
72|13|216|18|g|5|0.160803
72|14|216|19|d|5|-0.266557
72|14|216|19|g|5|0.238604
72|15|216|20|d|5|-0.245755
72|15|216|20|g|5|0.209682
72|16|216|21|d|5|-0.197536
72|16|216|21|g|5|0.208693
72|17|216|22|d|5|-0.253098
72|17|216|22|g|5|0.224391
72|18|216|23|d|5|-0.229169
72|18|216|23|g|5|0.259099
72|19|216|24|d|5|-0.209733
72|19|216|24|g|5|0.254907
72|20|216|25|d|5|-0.221186
72|20|216|25|g|5|0.178074
72|21|216|26|d|5|-0.247706
72|21|216|26|g|5|0.234054
72|22|216|27|d|5|-0.225258
72|22|216|27|g|5|0.182951
72|23|216|28|d|5|-0.254371
72|23|216|28|g|5|0.253657
72|24|216|29|d|5|-0.269692
72|24|216|29|g|5|0.20719
72|25|216|30|d|5|-0.235261
72|25|216|30|g|5|0.245395
72|26|216|31|d|5|-0.229564
72|26|216|31|g|5|0.20416
72|27|216|32|d|5|-0.233198
72|27|216|32|g|5|0.198754
72|28|216|33|d|5|-0.198756
72|28|216|33|g|5|0.172625
72|29|216|34|d|5|-0.236648
72|29|216|34|g|5|0.200631
72|30|216|35|d|5|-0.261399
72|30|216|35|g|5|0.191463
72|31|216|36|d|5|-0.209513
72|31|216|36|g|5|0.219608
72|32|216|37|d|5|-0.23178
72|32|216|37|g|5|0.16974
72|33|216|38|d|5|-0.259398
72|33|216|38|g|5|0.195135
72|34|216|39|d|5|-0.233308
72|34|216|39|g|5|0.191633
72|35|216|40|d|5|-0.18986
72|35|216|40|g|5|0.15691
72|36|216|41|d|5|-0.254834
72|36|216|41|g|5|0.165894
72|37|216|42|d|5|-0.265368
72|37|216|42|g|5|0.163871
72|38|216|43|d|5|-0.211864
72|38|216|43|g|5|0.193403
72|39|216|44|d|5|-0.243628
72|39|216|44|g|5|0.170205
72|40|216|45|d|5|-0.182235
72|40|216|45|g|5|0.181357
72|41|216|46|d|5|-0.262831
72|41|216|46|g|5|0.142912
72|42|216|47|d|5|-0.225178
72|42|216|47|g|5|0.160111
72|43|216|48|d|5|-0.260154
72|43|216|48|g|5|0.159277
72|44|216|49|d|5|-0.256274
72|44|216|49|g|5|0.175679
72|45|216|50|d|5|-0.232656
72|45|216|50|g|5|0.139254
72|46|216|51|d|5|-0.226559
72|46|216|51|g|5|0.179974
72|47|216|52|d|5|-0.234258
72|47|216|52|g|5|0.188597
72|48|216|1|d|5|-0.26253
72|48|216|1|g|5|0.149355
72|49|216|2|d|5|-0.221971
72|49|216|2|g|5|0.176554
72|50|216|3|d|5|-0.191411
72|50|216|3|g|5|0.178333
72|51|216|4|d|5|-0.194886
72|51|216|4|g|5|0.191752
72|52|216|5|d|5|-0.266823
72|52|216|5|g|5|0.140763
72|1|469|6|d|5|-0.241849
72|1|469|6|g|5|0.186482
72|2|469|7|d|5|-0.250257
72|2|469|7|g|5|0.226256
72|3|469|8|d|5|-0.201028
72|3|469|8|g|5|0.199174
72|4|469|9|d|5|-0.196322
72|4|469|9|g|5|0.233486
72|5|469|10|d|5|-0.228655
72|5|469|10|g|5|0.237883
72|6|469|11|d|5|-0.222081
72|6|469|11|g|5|0.191785
72|7|469|12|d|5|-0.252906
72|7|469|12|g|5|0.210154
72|8|469|13|d|5|-0.202299
72|8|469|13|g|5|0.171918
72|9|469|14|d|5|-0.190209
72|9|469|14|g|5|0.220312
72|10|469|15|d|5|-0.253321
72|10|469|15|g|5|0.173014
72|11|469|16|d|5|-0.204682
72|11|469|16|g|5|0.203166
72|12|469|17|d|5|-0.230464
72|12|469|17|g|5|0.205662
72|13|469|18|d|5|-0.270477
72|13|469|18|g|5|0.222041
72|14|469|19|d|5|-0.191604
72|14|469|19|g|5|0.185612
72|15|469|20|d|5|-0.212661
72|15|469|20|g|5|0.200329
