p_o|p_d|t_1|t_2|demand
72|198|1|2|160.37
72|198|2|3|215.5825
72|198|3|4|203.03
72|198|4|6|185.51
72|198|5|6|153.9125
72|198|6|8|149.58
72|198|7|8|142.785
72|198|8|9|198.85
72|198|9|11|184.1625
72|198|10|11|196.9475
72|198|11|12|146.78
72|198|12|14|214.0
72|198|13|15|202.6725
72|198|14|15|635.43
72|198|15|16|647.12
72|198|16|17|637.35
72|198|17|18|681.89
72|198|18|20|767.43
72|198|19|21|731.88
72|198|20|21|688.77
72|198|21|22|751.93
72|198|22|24|591.59
72|198|23|24|685.21
72|198|24|26|708.98
72|198|25|27|730.1
72|198|26|27|809.29
72|198|27|29|644.31
72|198|28|29|733.09
72|198|29|30|759.35
72|198|30|31|605.6
72|198|31|32|718.39
72|198|32|34|592.18
72|198|33|34|559.25
72|198|34|36|774.92
72|198|35|36|775.35
72|198|36|37|753.05
72|198|37|38|643.42
72|198|38|40|598.28
72|198|39|40|755.7
72|198|40|42|619.18
72|198|41|43|542.72
72|198|42|43|647.34
72|198|43|44|517.58
72|198|44|45|735.31
72|198|45|46|573.16
72|198|46|48|685.41
72|198|47|49|602.84
72|198|48|49|647.89
72|198|49|51|667.53
72|198|50|52|596.09
72|198|51|1|785.33
72|198|52|2|726.47
72|216|1|2|3.1125
72|216|2|4|3.315
72|216|3|5|3.025
72|216|4|6|3.27
72|216|5|7|2.3375
72|216|6|8|2.3875
72|216|7|9|2.225
72|216|8|10|2.5275
72|216|9|11|2.65
72|216|10|11|2.59
72|216|11|13|3.2225
72|216|12|14|2.6625
72|216|13|14|2.56
72|216|14|16|11.45
72|216|15|16|9.95
72|216|16|17|12.82
72|216|17|18|9.63
72|216|18|20|14.23
72|216|19|21|13.08
72|216|20|21|10.36
72|216|21|23|9.05
72|216|22|24|12.2
72|216|23|24|12.68
72|216|24|26|12.82
72|216|25|27|12.91
72|216|26|27|9.45
72|216|27|28|10.83
72|216|28|29|9.67
72|216|29|31|13.14
72|216|30|32|12.17
72|216|31|33|10.07
72|216|32|33|8.82
72|216|33|35|9.81
72|216|34|35|9.58
72|216|35|37|11.18
72|216|36|37|11.09
72|216|37|38|12.64
72|216|38|40|11.06
72|216|39|41|9.35
72|216|40|41|10.79
72|216|41|43|11.07
72|216|42|44|10.42
72|216|43|44|11.05
72|216|44|46|9.88
72|216|45|46|10.04
72|216|46|47|9.79
72|216|47|49|8.28
72|216|48|49|8.49
72|216|49|51|8.35
72|216|50|52|11.27
72|216|51|52|9.6
72|216|52|1|10.29
72|469|1|2|108.0725
72|469|2|4|90.4425
72|469|3|5|98.585
72|469|4|6|108.26
72|469|5|7|87.565
72|469|6|8|79.305
72|469|7|8|87.43
72|469|8|10|82.5225
72|469|9|10|114.1575
72|469|10|11|112.3975
72|469|11|12|105.2825
72|469|12|14|113.8725
72|469|13|15|110.41
72|469|14|16|345.64
72|469|15|16|472.16
72|469|16|18|407.95
72|469|17|19|457.23
72|469|18|20|484.48
72|469|19|20|383.92
72|469|20|22|349.1
72|469|21|23|353.0
72|469|22|23|369.35
72|469|23|24|463.63
72|469|24|25|471.71
72|469|25|27|328.34
72|469|26|28|401.51
72|469|27|28|389.7
72|469|28|29|356.58
72|469|29|30|341.74
72|469|30|31|380.71
72|469|31|33|446.22
72|469|32|33|348.83
72|469|33|35|375.42
72|469|34|35|390.92
72|469|35|36|340.1
72|469|36|38|438.56
72|469|37|38|455.19
72|469|38|39|353.46
72|469|39|40|386.93
72|469|40|41|321.32
72|469|41|42|321.6
72|469|42|44|290.83
72|469|43|45|365.39
72|469|44|45|348.12
72|469|45|46|286.49
72|469|46|47|322.83
72|469|47|49|417.39
72|469|48|49|316.88
72|469|49|51|309.41
72|469|50|52|373.8
72|469|51|1|434.55
72|469|52|2|323.01
72|689|1|2|327.5425
72|689|2|3|366.195
72|689|3|5|301.8125
72|689|4|6|353.4775
72|689|5|7|306.78
72|689|6|7|331.455
72|689|7|8|331.61
72|689|8|10|319.3
72|689|9|10|268.605
72|689|10|12|374.245
72|689|11|13|305.9775
72|689|12|14|285.9525
72|689|13|15|265.03
72|689|14|15|1350.62
72|689|15|17|1441.35
72|689|16|18|1068.39
72|689|17|19|1349.22
72|689|18|19|1228.29
72|689|19|21|1444.8
72|689|20|22|1186.33
72|689|21|22|1406.04
72|689|22|23|1197.79
72|689|23|25|1593.35
72|689|24|25|1162.33
72|689|25|26|1263.05
72|689|26|27|1114.58
72|689|27|28|1554.83
