Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|2.07|0.38|2.68|0|19|19|50|15|1208587.07|-7.01
1|0.01|0.58|2.72|0|50|69|50|40|1204301.14|-6.94
2|0.01|0.57|2.71|0|50|119|50|76|1187217.40|-6.97
3|0.01|0.58|2.69|0|50|169|50|101|1169904.40|-25.53
4|0.01|0.59|2.68|0|50|219|50|124|1154006.97|-57.47
5|0.01|0.58|2.70|0|50|269|50|141|1131369.98|-65.53
6|0.01|0.60|2.68|0|50|319|50|161|1121567.61|-68.10
7|0.01|0.61|2.69|0|50|369|50|180|1104578.32|-80.96
8|0.01|0.63|2.77|0|50|419|50|199|1088307.76|-49.17
9|0.01|0.63|2.70|0|50|469|50|217|1074291.60|-58.22
10|0.01|0.64|2.66|0|50|519|50|237|1061570.17|-45.73
11|0.01|0.61|2.65|0|50|569|50|242|1049398.12|-43.92
12|0.01|0.62|2.52|0|50|619|50|255|1029093.62|-33.55
13|0.01|0.70|2.54|0|50|669|50|272|1007791.47|-39.40
14|0.01|0.73|2.58|0|50|719|50|299|993032.91|-45.39
15|0.01|0.86|2.63|0|50|769|50|318|980569.36|-38.61
16|0.01|0.94|2.69|0|50|819|50|338|963214.39|-31.10
17|0.01|1.01|2.69|0|50|869|50|345|951624.87|-32.27
18|0.01|1.13|2.69|0|50|919|50|351|937043.29|-29.36
19|0.01|1.29|2.70|0|50|969|50|374|926244.85|-42.20
20|0.01|1.44|2.69|0|50|1019|50|379|900313.80|-34.21
21|0.01|1.43|2.72|0|50|1069|50|393|872082.58|-16.89
22|0.01|1.58|2.67|0|50|1119|50|415|851332.46|-11.55
23|0.01|1.54|2.60|0|50|1169|50|423|815958.32|-15.33
24|0.01|1.55|2.60|0|50|1219|50|424|800600.52|-26.07
25|0.01|1.57|2.64|0|50|1269|50|438|787747.42|-18.71
26|0.01|1.75|2.55|0|50|1319|50|436|765744.10|-10.52
27|0.01|1.53|2.38|0|50|1369|50|465|752083.04|-15.03
28|0.01|1.56|2.37|0|50|1419|50|464|737975.90|-15.68
29|0.00|1.50|2.40|0|50|1469|50|474|708987.48|-16.97
30|0.00|1.61|2.44|0|50|1519|50|479|693816.61|-8.12
31|0.00|1.61|2.45|0|50|1569|50|502|667266.98|-10.35
32|0.01|1.98|2.43|0|50|1619|50|519|635471.36|-10.05
33|0.01|2.14|2.41|0|50|1669|50|530|623611.27|-14.03
34|0.01|2.02|2.41|0|50|1719|50|521|608428.16|-13.66
35|0.01|2.12|2.37|0|50|1769|50|543|578708.39|-8.19
36|0.01|1.98|2.39|0|50|1819|50|555|547145.99|-9.38
37|0.00|2.03|2.37|0|50|1869|50|570|521850.46|-13.57
38|0.01|2.11|2.42|0|50|1919|50|568|501283.71|-11.98
39|0.00|2.09|2.39|0|50|1969|50|592|474491.14|-7.18
40|0.00|2.33|2.45|0|50|2019|50|589|458155.02|-8.44
41|0.01|2.31|2.53|0|50|2069|50|593|438012.40|-8.67
42|0.01|2.27|2.42|0|50|2119|50|594|419445.49|-6.88
43|0.01|2.28|2.39|0|50|2169|50|602|404779.57|-11.37
44|0.01|2.38|2.41|0|50|2219|50|605|387115.43|-8.17
45|0.01|2.35|2.45|0|50|2269|50|608|366078.60|-7.39
46|0.00|2.30|2.42|0|50|2319|50|608|345771.89|-8.04
47|0.01|2.57|2.41|0|50|2369|50|618|328430.20|-6.04
48|0.01|2.22|2.41|0|50|2419|50|634|317426.61|-7.00
49|0.01|2.49|2.42|0|50|2469|50|632|298102.28|-10.44
50|0.01|2.34|2.39|0|50|2519|50|645|285317.67|-7.39
51|0.01|2.65|2.38|0|50|2569|50|661|271252.81|-10.04
52|0.01|2.54|2.39|0|50|2619|50|648|258850.95|-6.15
53|0.01|2.53|2.40|0|50|2669|50|671|248576.41|-9.49
54|0.01|2.71|2.56|0|50|2719|50|683|225700.31|-6.72
55|0.01|2.77|2.37|0|50|2769|50|667|214235.51|-5.99
56|0.01|2.52|2.39|0|50|2819|50|676|201541.63|-6.59
