p_i|t_i|p_j|t_j|key|tt|pf
72|1|72|2|h|1|-0.203017
72|2|72|3|h|1|-0.230134
72|3|72|4|h|1|-0.188442
72|4|72|5|h|1|-0.187653
72|5|72|6|h|1|-0.232362
72|6|72|7|h|1|-0.21387
72|7|72|8|h|1|-0.197388
72|8|72|9|h|1|-0.213043
72|9|72|10|h|1|-0.187826
72|10|72|11|h|1|-0.216202
72|11|72|12|h|1|-0.17316
72|12|72|13|h|1|-0.231254
72|13|72|14|h|1|-0.192852
72|14|72|15|h|1|-0.164017
72|15|72|16|h|1|-0.222957
72|16|72|17|h|1|-0.226825
72|17|72|18|h|1|-0.213941
72|18|72|19|h|1|-0.206084
72|19|72|20|h|1|-0.229494
72|20|72|21|h|1|-0.205485
72|21|72|22|h|1|-0.218757
72|22|72|23|h|1|-0.193666
72|23|72|24|h|1|-0.213725
72|24|72|25|h|1|-0.235024
72|25|72|26|h|1|-0.186712
72|26|72|27|h|1|-0.213169
72|27|72|28|h|1|-0.168404
72|28|72|29|h|1|-0.206507
72|29|72|30|h|1|-0.18204
72|30|72|31|h|1|-0.224649
72|31|72|32|h|1|-0.18492
72|32|72|33|h|1|-0.191621
72|33|72|34|h|1|-0.23356
72|34|72|35|h|1|-0.173614
72|35|72|36|h|1|-0.200995
72|36|72|37|h|1|-0.224427
72|37|72|38|h|1|-0.181408
72|38|72|39|h|1|-0.157933
72|39|72|40|h|1|-0.22698
72|40|72|41|h|1|-0.205295
72|41|72|42|h|1|-0.174794
72|42|72|43|h|1|-0.178391
72|43|72|44|h|1|-0.219398
72|44|72|45|h|1|-0.207055
72|45|72|46|h|1|-0.214148
72|46|72|47|h|1|-0.201971
72|47|72|48|h|1|-0.218649
72|48|72|49|h|1|-0.221081
72|49|72|50|h|1|-0.187056
72|50|72|51|h|1|-0.227342
72|51|72|52|h|1|-0.196327
72|52|72|1|h|1|-0.169287
72|1|198|6|d|5|-0.20115
72|1|198|6|g|5|0.193362
72|2|198|7|d|5|-0.215554
72|2|198|7|g|5|0.189886
72|3|198|8|d|5|-0.236176
72|3|198|8|g|5|0.241862
72|4|198|9|d|5|-0.191244
72|4|198|9|g|5|0.195758
72|5|198|10|d|5|-0.25129
72|5|198|10|g|5|0.232086
72|6|198|11|d|5|-0.182569
72|6|198|11|g|5|0.199551
72|7|198|12|d|5|-0.235505
72|7|198|12|g|5|0.189157
72|8|198|13|d|5|-0.195866
72|8|198|13|g|5|0.205989
72|9|198|14|d|5|-0.216956
72|9|198|14|g|5|0.175484
72|10|198|15|d|5|-0.258413
72|10|198|15|g|5|0.191782
72|11|198|16|d|5|-0.199331
72|11|198|16|g|5|0.191737
72|12|198|17|d|5|-0.197757
72|12|198|17|g|5|0.22643
72|13|198|18|d|5|-0.197849
72|13|198|18|g|5|0.218229
72|14|198|19|d|5|-0.196075
72|14|198|19|g|5|0.180174
72|15|198|20|d|5|-0.212397
72|15|198|20|g|5|0.255268
72|16|198|21|d|5|-0.264197
72|16|198|21|g|5|0.174586
72|17|198|22|d|5|-0.21179
72|17|198|22|g|5|0.20209
72|18|198|23|d|5|-0.200523
72|18|198|23|g|5|0.22147
72|19|198|24|d|5|-0.249162
72|19|198|24|g|5|0.187113
72|20|198|25|d|5|-0.24224
72|20|198|25|g|5|0.201049
72|21|198|26|d|5|-0.239591
72|21|198|26|g|5|0.218117
72|22|198|27|d|5|-0.247361
72|22|198|27|g|5|0.213282
72|23|198|28|d|5|-0.26291
72|23|198|28|g|5|0.242609
72|24|198|29|d|5|-0.224962
72|24|198|29|g|5|0.180562
72|25|198|30|d|5|-0.266309
72|25|198|30|g|5|0.226132
72|26|198|31|d|5|-0.229811
72|26|198|31|g|5|0.18572
72|27|198|32|d|5|-0.243381
72|27|198|32|g|5|0.252544
72|28|198|33|d|5|-0.211265
72|28|198|33|g|5|0.233848
72|29|198|34|d|5|-0.207737
72|29|198|34|g|5|0.209789
72|30|198|35|d|5|-0.20068
72|30|198|35|g|5|0.216425
72|31|198|36|d|5|-0.222986
72|31|198|36|g|5|0.150736
72|32|198|37|d|5|-0.215959
72|32|198|37|g|5|0.149196
72|33|198|38|d|5|-0.222199
72|33|198|38|g|5|0.211978
72|34|198|39|d|5|-0.207905
72|34|198|39|g|5|0.166861
72|35|198|40|d|5|-0.193146
72|35|198|40|g|5|0.141149
72|36|198|41|d|5|-0.213571
72|36|198|41|g|5|0.17311
72|37|198|42|d|5|-0.244938
72|37|198|42|g|5|0.187027
72|38|198|43|d|5|-0.183552
72|38|198|43|g|5|0.181063
72|39|198|44|d|5|-0.183587
72|39|198|44|g|5|0.226227
72|40|198|45|d|5|-0.183973
72|40|198|45|g|5|0.124881
72|41|198|46|d|5|-0.208386
72|41|198|46|g|5|0.163546
72|42|198|47|d|5|-0.213797
72|42|198|47|g|5|0.13262
72|43|198|48|d|5|-0.257164
72|43|198|48|g|5|0.165603
72|44|198|49|d|5|-0.21728
72|44|198|49|g|5|0.161497
72|45|198|50|d|5|-0.206238
72|45|198|50|g|5|0.154022
72|46|198|51|d|5|-0.261177
72|46|198|51|g|5|0.133057
72|47|198|52|d|5|-0.258129
72|47|198|52|g|5|0.181617
72|48|198|1|d|5|-0.267396
72|48|198|1|g|5|0.158191
72|49|198|2|d|5|-0.206267
72|49|198|2|g|5|0.155139
72|50|198|3|d|5|-0.239353
72|50|198|3|g|5|0.154843
72|51|198|4|d|5|-0.213227
72|51|198|4|g|5|0.18357
72|52|198|5|d|5|-0.233363
72|52|198|5|g|5|0.135584
72|1|216|6|d|5|-0.226391
72|1|216|6|g|5|0.178537
72|2|216|7|d|5|-0.244883
72|2|216|7|g|5|0.168753
72|3|216|8|d|5|-0.220184
72|3|216|8|g|5|0.250932
72|4|216|9|d|5|-0.183621
72|4|216|9|g|5|0.213605
72|5|216|10|d|5|-0.201577
72|5|216|10|g|5|0.190831
72|6|216|11|d|5|-0.261504
72|6|216|11|g|5|0.177496
72|7|216|12|d|5|-0.230797
72|7|216|12|g|5|0.156994
72|8|216|13|d|5|-0.210782
72|8|216|13|g|5|0.160901
72|9|216|14|d|5|-0.232257
72|9|216|14|g|5|0.193166
72|10|216|15|d|5|-0.20533
72|10|216|15|g|5|0.249357
72|11|216|16|d|5|-0.195238
72|11|216|16|g|5|0.234316
72|12|216|17|d|5|-0.184583
72|12|216|17|g|5|0.232101
72|13|216|18|d|5|-0.22459
72|13|216|18|g|5|0.227187
72|14|216|19|d|5|-0.249089
72|14|216|19|g|5|0.208202
72|15|216|20|d|5|-0.215031
72|15|216|20|g|5|0.230646
72|16|216|21|d|5|-0.256828
72|16|216|21|g|5|0.209601
72|17|216|22|d|5|-0.218957
72|17|216|22|g|5|0.184567
