Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|1.41|0.32|2.50|0|10|10|50|9|1252448.18|-6.87
1|0.01|0.49|2.50|0|50|60|50|36|1245285.46|-6.87
2|0.01|0.49|2.52|0|50|110|50|68|1234589.01|-13.37
3|0.01|0.52|2.52|0|50|160|50|90|1215325.82|-32.06
4|0.01|0.54|2.51|0|50|210|50|117|1197045.29|-51.60
5|0.01|0.51|2.40|0|50|260|50|131|1186406.66|-49.80
6|0.01|0.55|2.48|0|50|310|50|157|1173436.57|-65.19
7|0.01|0.53|2.46|0|50|360|50|184|1146190.48|-50.16
8|0.01|0.58|2.48|0|50|410|50|193|1122017.56|-69.86
9|0.01|0.54|2.49|0|50|460|50|212|1108336.30|-40.90
10|0.01|0.60|2.42|0|50|510|50|226|1092792.84|-38.34
11|0.01|0.55|2.51|0|50|560|50|237|1068321.02|-35.93
12|0.01|0.61|2.48|0|50|610|50|256|1052171.47|-38.45
13|0.01|0.64|2.57|0|50|660|50|270|1033693.23|-32.54
14|0.01|0.77|2.73|0|50|710|50|286|1009359.59|-50.42
15|0.01|0.86|2.65|0|50|760|50|300|989419.13|-39.66
16|0.01|0.87|2.68|0|50|810|50|316|965952.87|-44.94
17|0.01|0.95|2.60|0|50|860|50|334|943577.11|-40.03
18|0.01|1.29|2.58|0|50|910|50|333|931466.34|-34.20
19|0.01|1.22|2.55|0|50|960|50|370|911196.59|-28.77
20|0.01|1.40|2.61|0|50|1010|50|374|891664.67|-30.64
21|0.01|1.34|2.53|0|50|1060|50|390|875165.42|-21.92
22|0.01|1.41|2.71|0|50|1110|50|401|858766.44|-19.28
23|0.01|1.51|2.55|0|50|1160|50|407|839368.41|-20.46
24|0.01|1.49|2.57|0|50|1210|50|428|819276.64|-19.04
25|0.01|1.62|2.57|0|50|1260|50|453|809314.80|-14.79
26|0.01|1.60|2.57|0|50|1310|50|449|795472.63|-21.21
27|0.01|1.78|2.62|0|50|1360|50|463|782488.10|-25.53
28|0.01|1.74|2.61|0|50|1410|50|476|754459.26|-12.38
29|0.01|1.82|2.58|0|50|1460|50|489|739092.88|-12.59
30|0.01|2.17|2.53|0|50|1510|50|507|728639.32|-11.94
31|0.01|2.27|2.64|0|50|1560|50|517|710790.01|-11.64
32|0.01|2.24|2.59|0|50|1610|50|530|698423.03|-16.85
33|0.01|2.09|2.52|0|50|1660|50|545|679751.28|-21.08
34|0.01|2.19|2.56|0|50|1710|50|548|661810.51|-16.17
35|0.01|2.13|2.58|0|50|1760|50|537|644513.26|-23.25
36|0.01|2.14|2.51|0|50|1810|50|546|632542.72|-10.85
37|0.01|2.33|2.64|0|50|1860|50|553|616986.12|-10.77
38|0.01|2.41|2.48|0|50|1910|50|570|585400.32|-6.16
39|0.01|2.37|2.49|0|50|1960|50|607|570402.82|-6.28
40|0.01|2.43|2.54|0|50|2010|50|587|548960.58|-6.91
41|0.01|2.45|2.59|0|50|2060|50|595|537478.77|-8.72
42|0.01|2.70|2.65|0|50|2110|50|595|526195.26|-7.28
43|0.01|2.50|2.62|0|50|2160|50|607|495758.42|-6.94
