p_i|t_i|p_j|t_j|key|tt|pf
72|1|72|2|h|1|-0.222198
72|2|72|3|h|1|-0.161453
72|3|72|4|h|1|-0.234602
72|4|72|5|h|1|-0.157961
72|5|72|6|h|1|-0.189053
72|6|72|7|h|1|-0.161061
72|7|72|8|h|1|-0.158143
72|8|72|9|h|1|-0.213532
72|9|72|10|h|1|-0.19605
72|10|72|11|h|1|-0.214596
72|11|72|12|h|1|-0.221867
72|12|72|13|h|1|-0.211214
72|13|72|14|h|1|-0.188013
72|14|72|15|h|1|-0.222955
72|15|72|16|h|1|-0.227963
72|16|72|17|h|1|-0.208659
72|17|72|18|h|1|-0.220733
72|18|72|19|h|1|-0.199026
72|19|72|20|h|1|-0.203302
72|20|72|21|h|1|-0.177078
72|21|72|22|h|1|-0.177165
72|22|72|23|h|1|-0.231787
72|23|72|24|h|1|-0.17598
72|24|72|25|h|1|-0.174907
72|25|72|26|h|1|-0.219161
72|26|72|27|h|1|-0.173068
72|27|72|28|h|1|-0.196045
72|28|72|29|h|1|-0.160865
72|29|72|30|h|1|-0.170777
72|30|72|31|h|1|-0.233993
72|31|72|32|h|1|-0.230108
72|32|72|33|h|1|-0.160991
72|33|72|34|h|1|-0.158127
72|34|72|35|h|1|-0.211336
72|35|72|36|h|1|-0.207977
72|36|72|37|h|1|-0.186327
72|37|72|38|h|1|-0.210816
72|38|72|39|h|1|-0.164239
72|39|72|40|h|1|-0.219064
72|40|72|41|h|1|-0.198472
72|41|72|42|h|1|-0.231838
72|42|72|43|h|1|-0.189381
72|43|72|44|h|1|-0.16327
72|44|72|45|h|1|-0.189569
72|45|72|46|h|1|-0.189438
72|46|72|47|h|1|-0.17583
72|47|72|48|h|1|-0.204764
72|48|72|49|h|1|-0.210615
72|49|72|50|h|1|-0.215542
72|50|72|51|h|1|-0.196836
72|51|72|52|h|1|-0.202798
72|52|72|1|h|1|-0.217119
72|1|198|6|d|5|-0.187774
72|1|198|6|g|5|0.163562
72|2|198|7|d|5|-0.234798
72|2|198|7|g|5|0.224188
72|3|198|8|d|5|-0.227717
72|3|198|8|g|5|0.182705
72|4|198|9|d|5|-0.260133
72|4|198|9|g|5|0.190545
72|5|198|10|d|5|-0.220237
72|5|198|10|g|5|0.198108
72|6|198|11|d|5|-0.183215
72|6|198|11|g|5|0.177825
72|7|198|12|d|5|-0.253993
72|7|198|12|g|5|0.181809
72|8|198|13|d|5|-0.257603
72|8|198|13|g|5|0.167987
72|9|198|14|d|5|-0.241296
72|9|198|14|g|5|0.168627
72|10|198|15|d|5|-0.248522
72|10|198|15|g|5|0.22972
72|11|198|16|d|5|-0.181437
72|11|198|16|g|5|0.243619
72|12|198|17|d|5|-0.248303
72|12|198|17|g|5|0.201712
72|13|198|18|d|5|-0.23706
72|13|198|18|g|5|0.176166
72|14|198|19|d|5|-0.199806
72|14|198|19|g|5|0.217227
72|15|198|20|d|5|-0.223454
72|15|198|20|g|5|0.249298
72|16|198|21|d|5|-0.220287
72|16|198|21|g|5|0.196649
72|17|198|22|d|5|-0.182603
72|17|198|22|g|5|0.223268
72|18|198|23|d|5|-0.238803
72|18|198|23|g|5|0.231353
72|19|198|24|d|5|-0.26802
72|19|198|24|g|5|0.265191
72|20|198|25|d|5|-0.252383
72|20|198|25|g|5|0.211717
72|21|198|26|d|5|-0.228068
72|21|198|26|g|5|0.209563
72|22|198|27|d|5|-0.2619
72|22|198|27|g|5|0.17564
72|23|198|28|d|5|-0.224214
72|23|198|28|g|5|0.221985
72|24|198|29|d|5|-0.238536
72|24|198|29|g|5|0.219673
72|25|198|30|d|5|-0.21282
72|25|198|30|g|5|0.197786
72|26|198|31|d|5|-0.234112
72|26|198|31|g|5|0.242455
72|27|198|32|d|5|-0.205137
72|27|198|32|g|5|0.185752
72|28|198|33|d|5|-0.199249
72|28|198|33|g|5|0.228731
72|29|198|34|d|5|-0.202121
72|29|198|34|g|5|0.215188
72|30|198|35|d|5|-0.206869
72|30|198|35|g|5|0.226006
72|31|198|36|d|5|-0.230732
72|31|198|36|g|5|0.167165
72|32|198|37|d|5|-0.234251
72|32|198|37|g|5|0.183016
72|33|198|38|d|5|-0.23478
72|33|198|38|g|5|0.176992
72|34|198|39|d|5|-0.262527
72|34|198|39|g|5|0.144427
72|35|198|40|d|5|-0.229839
72|35|198|40|g|5|0.190758
72|36|198|41|d|5|-0.184681
72|36|198|41|g|5|0.14418
72|37|198|42|d|5|-0.217223
72|37|198|42|g|5|0.206305
72|38|198|43|d|5|-0.235313
72|38|198|43|g|5|0.22658
72|39|198|44|d|5|-0.270203
72|39|198|44|g|5|0.196703
72|40|198|45|d|5|-0.25906
72|40|198|45|g|5|0.146828
72|41|198|46|d|5|-0.224238
72|41|198|46|g|5|0.146774
72|42|198|47|d|5|-0.225198
72|42|198|47|g|5|0.192805
72|43|198|48|d|5|-0.216737
72|43|198|48|g|5|0.149842
72|44|198|49|d|5|-0.256824
72|44|198|49|g|5|0.161438
72|45|198|50|d|5|-0.217931
72|45|198|50|g|5|0.166199
72|46|198|51|d|5|-0.220568
72|46|198|51|g|5|0.186556
72|47|198|52|d|5|-0.21098
72|47|198|52|g|5|0.139893
72|48|198|1|d|5|-0.254881
72|48|198|1|g|5|0.156234
72|49|198|2|d|5|-0.238769
72|49|198|2|g|5|0.158794
72|50|198|3|d|5|-0.200224
72|50|198|3|g|5|0.152494
72|51|198|4|d|5|-0.20598
72|51|198|4|g|5|0.177438
72|52|198|5|d|5|-0.250097
72|52|198|5|g|5|0.19563
72|1|216|6|d|5|-0.246136
72|1|216|6|g|5|0.202279
72|2|216|7|d|5|-0.234131
72|2|216|7|g|5|0.2501
72|3|216|8|d|5|-0.198226
72|3|216|8|g|5|0.260723
72|4|216|9|d|5|-0.245036
72|4|216|9|g|5|0.205951
72|5|216|10|d|5|-0.194516
72|5|216|10|g|5|0.199938
72|6|216|11|d|5|-0.21464
72|6|216|11|g|5|0.20574
72|7|216|12|d|5|-0.257574
72|7|216|12|g|5|0.203854
72|8|216|13|d|5|-0.198433
72|8|216|13|g|5|0.223424
72|9|216|14|d|5|-0.193939
72|9|216|14|g|5|0.162144
72|10|216|15|d|5|-0.190516
72|10|216|15|g|5|0.240314
72|11|216|16|d|5|-0.242586
72|11|216|16|g|5|0.215211
72|12|216|17|d|5|-0.246319
72|12|216|17|g|5|0.216642
72|13|216|18|d|5|-0.224115
72|13|216|18|g|5|0.213358
72|14|216|19|d|5|-0.237262
72|14|216|19|g|5|0.185622
72|15|216|20|d|5|-0.201751
72|15|216|20|g|5|0.195152
72|16|216|21|d|5|-0.223546
72|16|216|21|g|5|0.236788
72|17|216|22|d|5|-0.225749
72|17|216|22|g|5|0.247003
72|18|216|23|d|5|-0.25533
72|18|216|23|g|5|0.231815
72|19|216|24|d|5|-0.198907
72|19|216|24|g|5|0.200787
72|20|216|25|d|5|-0.234675
72|20|216|25|g|5|0.208432
72|21|216|26|d|5|-0.207492
72|21|216|26|g|5|0.195618
72|22|216|27|d|5|-0.268587
72|22|216|27|g|5|0.179916
72|23|216|28|d|5|-0.208198
72|23|216|28|g|5|0.201125
72|24|216|29|d|5|-0.266245
72|24|216|29|g|5|0.201597
72|25|216|30|d|5|-0.251004
72|25|216|30|g|5|0.199439
72|26|216|31|d|5|-0.220435
72|26|216|31|g|5|0.185842
72|27|216|32|d|5|-0.262161
72|27|216|32|g|5|0.203613
72|28|216|33|d|5|-0.223918
72|28|216|33|g|5|0.18361
72|29|216|34|d|5|-0.253229
72|29|216|34|g|5|0.226546
72|30|216|35|d|5|-0.216616
72|30|216|35|g|5|0.206459
72|31|216|36|d|5|-0.21304
72|31|216|36|g|5|0.185858
72|32|216|37|d|5|-0.198271
72|32|216|37|g|5|0.20187
72|33|216|38|d|5|-0.263941
72|33|216|38|g|5|0.163694
72|34|216|39|d|5|-0.237421
72|34|216|39|g|5|0.162171
72|35|216|40|d|5|-0.271313
72|35|216|40|g|5|0.147924
72|36|216|41|d|5|-0.189381
72|36|216|41|g|5|0.183163
72|37|216|42|d|5|-0.269917
72|37|216|42|g|5|0.164318
72|38|216|43|d|5|-0.267818
72|38|216|43|g|5|0.234367
72|39|216|44|d|5|-0.23958
72|39|216|44|g|5|0.225698
72|40|216|45|d|5|-0.268028
72|40|216|45|g|5|0.144845
72|41|216|46|d|5|-0.255578
72|41|216|46|g|5|0.146721
72|42|216|47|d|5|-0.200956
72|42|216|47|g|5|0.138927
72|43|216|48|d|5|-0.22461
72|43|216|48|g|5|0.124076
72|44|216|49|d|5|-0.191616
72|44|216|49|g|5|0.12489
72|45|216|50|d|5|-0.185301
72|45|216|50|g|5|0.157123
72|46|216|51|d|5|-0.254054
72|46|216|51|g|5|0.188459
72|47|216|52|d|5|-0.215323
72|47|216|52|g|5|0.148806
72|48|216|1|d|5|-0.221692
72|48|216|1|g|5|0.158954
72|49|216|2|d|5|-0.262754
72|49|216|2|g|5|0.152873
72|50|216|3|d|5|-0.240395
72|50|216|3|g|5|0.146577
72|51|216|4|d|5|-0.233638
72|51|216|4|g|5|0.184128
72|52|216|5|d|5|-0.225857
72|52|216|5|g|5|0.134633
72|1|469|6|d|5|-0.237553
72|1|469|6|g|5|0.188586
72|2|469|7|d|5|-0.212233
72|2|469|7|g|5|0.224135
72|3|469|8|d|5|-0.20478
72|3|469|8|g|5|0.252225
72|4|469|9|d|5|-0.269501
