p_o|p_d|t_1|t_2|demand
72|198|1|2|377.83
72|198|2|3|293.75
72|198|3|4|360.89
72|198|4|6|378.28
72|198|5|6|352.61
72|198|6|8|399.79
72|198|7|8|341.57
72|198|8|9|338.61
72|198|9|11|367.99
72|198|10|11|407.35
72|198|11|12|388.42
72|198|12|14|323.12
72|198|13|15|316.81
72|198|14|15|356.79
72|198|15|16|321.47
72|198|16|17|306.28
72|198|17|18|378.62
72|198|18|20|319.17
72|198|19|21|348.38
72|198|20|21|395.19
72|198|21|22|419.69
72|198|22|24|278.53
72|198|23|24|345.35
72|198|24|26|366.16
72|198|25|27|413.03
72|198|26|27|421.99
72|198|27|29|428.51
72|198|28|29|405.31
72|198|29|30|418.53
72|198|30|31|413.16
72|198|31|32|311.73
72|198|32|34|310.1
72|198|33|34|291.68
72|198|34|36|387.3
72|198|35|36|344.74
72|198|36|37|287.72
72|198|37|38|382.12
72|198|38|40|288.27
72|198|39|40|292.13
72|198|40|42|281.16
72|198|41|43|369.95
72|198|42|43|300.28
72|198|43|44|335.58
72|198|44|45|359.57
72|198|45|46|372.14
72|198|46|48|267.39
72|198|47|49|374.7
72|198|48|49|277.36
72|198|49|51|381.94
72|198|50|52|314.92
72|198|51|1|333.01
72|198|52|2|346.24
72|216|1|2|5.55
72|216|2|4|4.67
72|216|3|5|6.68
72|216|4|6|5.39
72|216|5|7|6.2
72|216|6|8|4.54
72|216|7|9|5.82
72|216|8|10|6.42
72|216|9|11|5.31
72|216|10|11|6.08
72|216|11|13|5.98
72|216|12|14|6.2
72|216|13|14|5.53
72|216|14|16|6.32
72|216|15|16|5.53
72|216|16|17|5.34
72|216|17|18|5.89
72|216|18|20|5.45
72|216|19|21|5.8
72|216|20|21|6.4
72|216|21|23|5.98
72|216|22|24|4.88
72|216|23|24|6.98
72|216|24|26|5.98
72|216|25|27|4.67
72|216|26|27|5.45
72|216|27|28|5.79
72|216|28|29|4.85
72|216|29|31|5.09
72|216|30|32|5.72
72|216|31|33|5.19
72|216|32|33|4.39
72|216|33|35|5.84
72|216|34|35|4.45
72|216|35|37|4.54
72|216|36|37|4.47
72|216|37|38|6.0
72|216|38|40|5.33
72|216|39|41|5.76
72|216|40|41|4.44
72|216|41|43|4.97
72|216|42|44|5.91
72|216|43|44|5.38
72|216|44|46|5.91
72|216|45|46|3.98
72|216|46|47|4.55
72|216|47|49|5.21
72|216|48|49|5.14
72|216|49|51|4.56
72|216|50|52|5.12
72|216|51|52|4.87
72|216|52|1|4.26
72|469|1|2|177.11
72|469|2|4|180.77
72|469|3|5|167.56
72|469|4|6|162.7
72|469|5|7|199.35
72|469|6|8|188.74
72|469|7|8|195.57
72|469|8|10|174.46
72|469|9|10|198.82
72|469|10|11|196.17
72|469|11|12|182.37
72|469|12|14|208.22
72|469|13|15|212.57
72|469|14|16|235.47
72|469|15|16|163.42
72|469|16|18|226.84
72|469|17|19|233.57
72|469|18|20|180.33
72|469|19|20|215.29
72|469|20|22|242.04
72|469|21|23|234.04
72|469|22|23|207.47
72|469|23|24|202.51
72|469|24|25|203.07
72|469|25|27|240.6
72|469|26|28|201.17
72|469|27|28|235.89
72|469|28|29|183.29
72|469|29|30|228.43
72|469|30|31|165.74
72|469|31|33|180.89
72|469|32|33|153.28
72|469|33|35|187.93
72|469|34|35|172.62
72|469|35|36|211.32
72|469|36|38|151.15
72|469|37|38|203.06
72|469|38|39|191.57
72|469|39|40|173.93
72|469|40|41|204.09
72|469|41|42|156.98
72|469|42|44|205.0
72|469|43|45|198.04
72|469|44|45|169.29
72|469|45|46|160.77
72|469|46|47|143.34
72|469|47|49|175.95
72|469|48|49|204.5
72|469|49|51|210.31
72|469|50|52|181.91
72|469|51|1|193.44
72|469|52|2|193.19
72|689|1|2|686.73
72|689|2|3|562.95
72|689|3|5|653.79
72|689|4|6|559.9
72|689|5|7|709.28
72|689|6|7|742.26
72|689|7|8|744.79
72|689|8|10|549.94
72|689|9|10|526.87
72|689|10|12|791.46
72|689|11|13|772.49
72|689|12|14|738.91
72|689|13|15|711.31
72|689|14|15|586.87
72|689|15|17|729.53
72|689|16|18|602.3
72|689|17|19|715.46
72|689|18|19|751.51
72|689|19|21|549.75
72|689|20|22|789.41
72|689|21|22|585.26
72|689|22|23|650.91
72|689|23|25|642.63
72|689|24|25|654.33
72|689|25|26|736.67
72|689|26|27|753.97
72|689|27|28|614.74
72|689|28|30|655.19
72|689|29|31|683.44
72|689|30|31|602.33
72|689|31|33|547.66
72|689|32|33|663.79
72|689|33|35|502.21
72|689|34|35|592.14
72|689|35|37|689.67
72|689|36|37|605.5
72|689|37|39|582.08
72|689|38|40|743.85
72|689|39|41|642.51
72|689|40|42|651.7
72|689|41|43|525.71
72|689|42|43|618.87
72|689|43|44|682.67
72|689|44|45|604.41
72|689|45|47|685.14
72|689|46|48|554.38
72|689|47|48|622.83
72|689|48|50|571.85
72|689|49|50|521.54
72|689|50|52|544.57
72|689|51|52|623.12
72|689|52|1|485.68
72|780|1|2|813.9
72|780|2|3|1203.27
72|780|3|5|1147.0
72|780|4|6|936.29
72|780|5|6|837.26
72|780|6|7|1121.86
72|780|7|9|937.44
72|780|8|10|1017.46
72|780|9|10|1160.58
72|780|10|12|1048.54
72|780|11|12|990.33
72|780|12|13|1114.07
72|780|13|14|912.22
72|780|14|16|828.96
72|780|15|16|909.75
72|780|16|17|1238.4
72|780|17|19|1143.93
72|780|18|20|920.86
72|780|19|20|1062.55
72|780|20|22|1025.25
72|780|21|22|895.5
72|780|22|23|805.46
72|780|23|25|849.56
72|780|24|26|1100.85
72|780|25|26|1058.04
72|780|26|27|1168.91
72|780|27|28|1194.58
72|780|28|30|949.98
72|780|29|31|1155.9
72|780|30|31|988.8
72|780|31|33|1131.9
72|780|32|33|1061.72
72|780|33|34|1047.99
72|780|34|36|1072.01
72|780|35|36|992.2
72|780|36|38|941.37
72|780|37|38|1176.14
72|780|38|40|1121.97
72|780|39|41|1099.49
72|780|40|41|1019.03
72|780|41|43|891.81
72|780|42|43|772.82
72|780|43|45|833.29
72|780|44|46|912.2
72|780|45|47|1065.8
72|780|46|47|1023.65
72|780|47|49|799.57
72|780|48|50|959.15
72|780|49|50|1062.05
72|780|50|52|832.46
72|780|51|52|811.99
72|780|52|1|1046.2
72|963|1|2|0.61
72|963|2|4|0.54
72|963|3|4|0.62
72|963|4|5|0.53
72|963|5|7|0.65
72|963|6|8|0.47
72|963|7|8|0.64
72|963|8|10|0.62
72|963|9|10|0.61
72|963|10|11|0.5
72|963|11|12|0.55
72|963|12|13|0.57
72|963|13|15|0.54
72|963|14|15|0.45
72|963|15|17|0.47
72|963|16|17|0.46
72|963|17|19|0.63
72|963|18|19|0.53
72|963|19|21|0.62
72|963|20|22|0.65
72|963|21|23|0.62
72|963|22|24|0.61
72|963|23|24|0.58
72|963|24|26|0.47
72|963|25|27|0.64
72|963|26|28|0.55
72|963|27|28|0.51
72|963|28|29|0.52
72|963|29|30|0.58
72|963|30|31|0.61
72|963|31|32|0.57
72|963|32|33|0.62
72|963|33|34|0.62
72|963|34|36|0.48
72|963|35|36|0.46
72|963|36|38|0.49
72|963|37|39|0.61
72|963|38|40|0.44
72|963|39|41|0.55
72|963|40|41|0.43
72|963|41|42|0.53
72|963|42|43|0.45
72|963|43|44|0.42
72|963|44|45|0.48
72|963|45|47|0.42
72|963|46|48|0.43
72|963|47|48|0.57
72|963|48|50|0.41
72|963|49|50|0.61
72|963|50|52|0.48
72|963|51|52|0.62
72|963|52|2|0.44
72|1056|1|2|345.96
72|1056|2|4|295.91
72|1056|3|5|372.48
72|1056|4|5|296.19
72|1056|5|6|346.94
72|1056|6|8|293.76
72|1056|7|9|370.66
72|1056|8|9|382.96
72|1056|9|11|337.03
72|1056|10|12|364.96
72|1056|11|12|367.47
72|1056|12|14|331.26
72|1056|13|15|347.72
72|1056|14|16|333.97
72|1056|15|17|283.04
72|1056|16|17|410.23
72|1056|17|18|408.01
72|1056|18|20|362.32
72|1056|19|20|359.91
72|1056|20|22|407.21
72|1056|21|23|362.17
72|1056|22|24|277.53
72|1056|23|25|303.57
72|1056|24|26|378.9
72|1056|25|27|325.24
72|1056|26|28|393.71
72|1056|27|28|412.85
72|1056|28|30|300.7
72|1056|29|31|309.62
72|1056|30|32|351.44
72|1056|31|33|307.71
72|1056|32|33|337.9
72|1056|33|34|338.93
72|1056|34|36|370.15
72|1056|35|37|318.85
72|1056|36|37|318.62
