Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|3.88|0.36|2.67|0|54|54|50|48|1079005.83|-6.94
1|0.01|0.54|2.63|0|50|104|50|80|1065757.73|-6.91
2|0.01|0.55|2.65|0|50|154|50|106|1040249.52|-6.93
3|0.01|0.55|2.61|0|50|204|50|126|1018506.62|-33.29
4|0.01|0.54|2.62|0|50|254|50|151|1002977.49|-32.86
5|0.01|0.56|2.63|0|50|304|50|170|976948.93|-31.50
6|0.01|0.57|2.60|0|50|354|50|190|919703.38|-50.80
7|0.01|0.59|2.63|0|50|404|50|212|870468.43|-39.03
8|0.01|0.59|2.61|0|50|454|50|236|846669.47|-39.02
9|0.01|0.61|2.62|0|50|504|50|240|813435.92|-39.41
10|0.01|0.62|2.63|0|50|554|50|264|785118.68|-27.15
11|0.01|0.64|2.60|0|50|604|50|288|759756.50|-35.30
12|0.01|0.67|2.61|0|50|654|50|295|724334.27|-44.23
13|0.01|0.72|2.64|0|50|704|50|320|682651.41|-38.22
14|0.01|0.81|2.61|0|50|754|50|329|643859.77|-58.45
15|0.01|0.82|2.61|0|50|804|50|340|604713.96|-60.41
16|0.01|1.05|2.61|0|50|854|50|356|562191.86|-37.20
17|0.01|0.98|2.62|0|50|904|50|370|528440.39|-37.01
18|0.01|1.32|2.63|0|50|954|50|385|489800.63|-25.01
19|0.01|1.42|2.68|0|50|1004|50|398|457506.84|-43.66
20|0.01|1.45|2.64|0|50|1054|50|406|421920.75|-35.88
21|0.01|1.52|2.63|0|50|1104|50|428|389476.00|-12.83
22|0.01|1.53|2.64|0|50|1154|50|442|338525.57|-10.71
23|0.01|1.62|2.64|0|50|1204|50|461|304578.01|-15.71
24|0.01|1.59|2.63|0|50|1254|50|465|286641.13|-11.75
25|0.01|1.89|2.63|0|50|1304|50|474|246985.97|-6.55
26|0.01|1.77|2.64|0|50|1354|50|496|215501.90|-12.72
27|0.01|1.86|2.63|0|50|1404|50|520|174891.20|-16.79
28|0.01|2.12|2.62|0|50|1454|50|538|142674.16|-9.33
29|0.01|2.31|2.65|0|50|1504|50|554|115564.53|-9.30
30|0.01|2.30|2.65|0|50|1554|50|554|65249.15|-9.93
31|0.01|2.16|2.62|0|50|1604|50|553|47030.24|-12.31
32|0.01|2.19|2.63|0|50|1654|50|566|27188.26|-6.55
33|0.01|2.35|2.73|0|50|1704|50|553|-308.90|-8.99
34|0.01|2.38|2.63|0|50|1754|50|570|-15032.67|-8.86
35|0.01|2.68|2.62|0|50|1804|50|576|-56813.66|-8.88
36|0.01|2.37|2.65|0|50|1854|50|567|-78680.15|-8.43
37|0.01|2.56|2.63|0|50|1904|50|589|-105223.96|-9.91
38|0.01|2.59|2.63|0|50|1954|50|594|-128138.72|-7.38
39|0.01|2.61|2.61|0|50|2004|50|586|-160815.07|-14.65
40|0.02|2.56|2.63|0|50|2054|50|603|-184389.38|-9.70
41|0.01|2.61|2.61|0|50|2104|50|608|-208137.67|-8.21
42|0.01|2.48|2.67|0|50|2154|50|626|-229445.33|-19.45
43|0.01|2.66|2.60|0|50|2204|50|621|-254759.60|-6.41
44|0.01|3.05|2.60|0|50|2254|50|625|-289788.16|-11.56
45|0.01|2.74|2.64|0|50|2304|50|631|-309783.39|-6.40
46|0.01|2.95|2.69|0|50|2354|50|656|-329924.38|-6.03
47|0.01|2.84|2.63|0|50|2404|50|664|-357748.54|-9.23
48|0.01|2.83|2.64|0|50|2454|50|675|-376457.84|-7.13
49|0.01|3.08|2.65|0|50|2504|50|696|-393319.99|-6.86
50|0.01|2.91|2.63|0|50|2554|50|694|-412541.55|-5.46
51|0.01|3.20|2.63|0|50|2604|50|709|-432682.53|-6.66
52|0.01|3.14|2.63|0|50|2654|50|695|-445073.87|-6.08
53|0.01|3.25|2.67|0|50|2704|50|722|-463498.10|-4.73
54|0.01|3.39|2.64|0|50|2754|50|726|-476777.65|-4.40
55|0.01|3.28|2.64|0|50|2804|50|743|-486038.09|-5.34
56|0.01|3.78|2.64|0|50|2854|50|741|-499089.38|-3.37
57|0.01|3.30|2.72|0|50|2904|50|745|-510568.42|-3.28
58|0.01|3.70|2.63|0|50|2954|50|757|-523747.11|-3.40
59|0.01|3.24|2.65|0|50|3004|50|759|-534664.94|-3.48
60|0.01|3.60|2.61|0|50|3054|50|766|-539733.72|-3.55
61|0.01|3.47|2.62|0|50|3104|50|765|-546254.79|-3.58
62|0.01|3.69|2.63|0|50|3154|50|757|-558096.38|-3.23
63|0.01|3.65|2.64|0|50|3204|50|757|-565985.10|-2.95
64|0.01|3.30|2.62|0|50|3254|50|769|-571486.00|-2.75
65|0.01|3.45|2.63|0|50|3304|50|752|-579179.47|-2.41
66|0.01|3.37|2.64|0|50|3354|50|766|-582492.61|-2.99
67|0.01|3.68|2.65|0|50|3404|50|777|-594433.40|-2.66
68|0.02|3.69|2.66|0|50|3454|50|765|-601720.07|-2.18
69|0.01|3.68|2.62|0|50|3504|50|776|-609086.58|-2.47
70|0.01|3.40|2.64|0|50|3554|50|767|-614230.28|-2.54
71|0.01|3.67|2.59|0|50|3604|50|785|-621257.10|-2.42
72|0.01|3.49|2.50|0|50|3654|50|803|-626999.65|-2.67
73|0.03|3.22|2.47|0|50|3704|50|803|-632022.10|-1.84
74|0.01|3.52|2.48|0|50|3754|50|801|-638567.31|-2.29
75|0.01|3.36|2.52|0|50|3804|50|798|-643456.20|-1.94
76|0.01|3.27|2.52|0|50|3854|50|795|-646154.64|-1.87
77|0.01|3.32|2.50|0|50|3904|50|799|-653162.56|-1.79
78|0.01|3.51|2.55|0|50|3954|50|783|-657319.16|-2.03
79|0.01|3.59|2.52|0|50|4004|50|798|-663146.97|-1.78
80|0.01|3.34|2.48|0|50|4054|50|792|-667487.36|-1.87
81|0.01|3.48|2.51|0|50|4104|50|811|-672572.42|-1.68
82|0.01|3.41|2.48|0|50|4154|50|830|-676959.21|-1.68
83|0.01|3.68|2.47|0|50|4204|50|813|-682502.87|-1.71
84|0.01|3.42|2.50|0|50|4254|50|811|-687868.83|-1.35
85|0.01|3.54|2.51|0|50|4304|50|809|-691140.17|-1.41
86|0.01|3.49|2.51|0|50|4354|50|803|-693546.34|-1.23
87|0.01|3.52|2.47|0|50|4404|50|800|-698440.82|-1.19
88|0.01|3.70|2.46|0|50|4454|50|809|-700687.79|-1.02
89|0.01|3.62|2.65|0|50|4504|50|798|-703513.42|-1.13
90|0.01|3.82|2.50|0|50|4554|50|799|-706257.11|-0.99
91|0.01|3.73|2.48|0|50|4604|50|821|-709276.75|-1.14
92|0.01|4.40|2.50|0|50|4654|50|848|-713194.30|-9.04
93|0.01|3.77|2.49|0|50|4704|50|832|-713709.52|-1.24
94|0.01|3.63|2.47|0|50|4754|50|819|-717344.97|-0.97
95|0.01|3.85|2.49|0|50|4804|50|822|-722051.61|-0.92
96|0.01|3.80|2.56|0|50|4854|50|841|-724299.46|-1.00
97|0.01|3.68|2.47|0|50|4904|50|848|-728035.07|-0.94
98|0.01|3.82|2.49|0|50|4954|50|844|-731024.06|-0.87
99|0.01|3.73|2.55|0|50|5004|50|818|-733329.44|-0.87
100|0.01|3.76|2.52|0|50|5054|50|836|-734404.84|-0.73
101|0.01|3.77|2.46|0|50|5104|50|840|-736738.75|-0.67
102|0.01|3.82|2.51|0|50|5154|50|867|-738903.90|-0.75
103|0.01|3.79|2.50|0|50|5204|50|883|-739856.64|-0.75
104|0.01|4.04|2.47|0|50|5254|50|874|-740857.96|-0.68
105|0.01|4.07|2.56|0|50|5304|50|863|-742586.74|-0.71
106|0.01|4.01|2.48|0|50|5354|50|881|-743798.16|-0.70
107|0.01|3.80|2.40|0|50|5404|47|866|-745430.41|-0.66
108|0.01|3.81|2.47|0|47|5451|48|859|-747065.80|-0.61
109|0.01|3.73|2.49|0|48|5499|47|860|-748077.24|-0.75
110|0.01|3.89|2.48|0|47|5546|50|882|-749468.99|-0.60
111|0.01|3.75|2.25|0|50|5596|44|854|-750497.68|-0.61
112|0.01|3.93|2.30|0|44|5640|45|862|-751391.56|-0.74
113|0.01|3.94|2.15|0|45|5685|42|861|-751923.48|-0.63
114|0.01|3.82|2.19|0|42|5727|43|864|-752574.23|-0.55
115|0.01|3.94|2.21|0|43|5770|43|868|-753353.88|-0.52
116|0.01|3.71|2.15|0|43|5813|42|851|-754066.03|-0.54
117|0.01|3.92|2.29|0|42|5855|45|852|-754954.89|-0.55
118|0.01|3.96|1.95|0|45|5900|38|869|-755657.40|-0.48
119|0.01|4.01|2.07|0|38|5938|40|861|-756229.55|-0.48
120|0.01|4.02|2.39|0|40|5978|44|878|-756963.95|-0.48
121|0.01|3.69|2.09|0|44|6022|41|875|-757697.67|-0.53
122|0.01|4.04|2.11|0|41|6063|41|885|-758372.93|-0.47
123|0.01|4.10|1.94|0|41|6104|37|880|-758830.55|-0.45
124|0.01|3.73|1.86|0|37|6141|36|872|-759361.15|-0.39
125|0.01|3.81|1.95|0|36|6177|38|869|-759927.19|-0.41
126|0.01|3.92|1.91|0|38|6215|37|882|-760606.53|-0.46
127|0.01|4.01|1.92|0|37|6252|36|890|-761476.38|-0.46
128|0.01|3.90|1.87|0|36|6288|36|882|-762244.77|-0.38
129|0.01|3.91|1.84|0|36|6324|36|875|-762763.16|-0.38
130|0.01|4.02|2.11|0|36|6360|39|878|-763787.78|-0.42
131|0.01|4.10|1.97|0|39|6399|38|869|-764635.76|-0.46
132|0.01|3.71|2.03|0|38|6437|39|885|-765500.96|-0.41
133|0.01|4.07|1.95|0|39|6476|38|883|-766112.02|-0.38
134|0.01|4.04|2.04|0|38|6514|40|883|-767019.61|-0.37
135|0.01|4.15|1.82|0|40|6554|35|879|-767654.19|-0.36
136|0.01|4.10|1.86|0|35|6589|36|866|-768054.38|-0.34
137|0.01|4.01|1.95|0|36|6625|38|886|-768847.00|-0.45
138|0.01|4.25|1.81|0|38|6663|35|880|-769538.93|-0.36
139|0.01|3.91|2.02|0|35|6698|39|893|-770360.18|-0.47
140|0.01|3.88|1.92|0|39|6737|37|911|-770799.58|-0.39
141|0.01|4.13|1.92|0|37|6774|35|909|-771297.84|-0.41
142|0.01|3.91|1.85|0|35|6809|36|891|-771732.29|-0.35
143|0.01|3.87|1.82|0|36|6845|35|910|-772175.97|-0.41
144|0.01|3.96|1.82|0|35|6880|35|890|-772490.77|-0.30
145|0.01|3.77|1.76|0|35|6915|34|897|-772928.32|-0.39
146|0.01|4.07|1.73|0|34|6949|33|882|-773234.92|-0.34
147|0.01|3.99|1.74|0|33|6982|33|898|-773638.61|-0.33
148|0.01|3.85|1.58|0|33|7015|30|906|-773946.01|-0.36
149|0.01|3.90|1.59|0|30|7045|30|913|-774317.76|-0.35
150|0.01|4.03|1.56|0|30|7075|30|907|-774641.39|-0.39
151|0.01|4.07|1.61|0|30|7105|31|924|-775067.17|-0.34
152|0.01|4.06|1.46|0|31|7136|26|895|-775447.63|-0.30
153|0.01|4.01|1.57|0|26|7162|30|911|-775759.67|-0.31
154|0.01|4.05|1.53|0|30|7192|29|916|-776055.68|-0.29
155|0.01|4.07|1.48|0|29|7221|28|907|-776376.23|-0.30
156|0.01|4.13|1.29|0|28|7249|24|907|-776580.54|-0.27
157|0.01|4.19|1.40|0|24|7273|27|918|-776732.08|-0.27
158|0.01|4.18|1.46|0|27|7300|28|905|-776959.33|-0.45
159|0.01|3.87|1.22|0|28|7328|23|908|-777023.59|-0.26
160|0.01|4.09|1.48|0|23|7351|28|901|-777309.59|-0.27
161|0.01|3.91|1.49|0|28|7379|28|905|-777555.39|-0.26
162|0.01|3.94|1.48|0|28|7407|28|914|-777791.07|-0.33
163|0.01|4.12|1.58|0|28|7435|28|913|-778116.96|-0.26
164|0.01|3.98|1.43|0|28|7463|27|917|-778391.69|-0.27
165|0.01|4.11|1.32|0|27|7490|25|911|-778566.93|-0.24
166|0.01|4.20|1.33|0|25|7515|25|920|-778766.99|-0.27
167|0.01|4.15|1.39|0|25|7540|26|924|-778996.44|-0.27
168|0.01|4.16|1.20|0|26|7566|22|908|-779163.31|-0.26
169|0.01|4.05|1.27|0|22|7588|24|914|-779386.77|-0.25
170|0.01|4.00|1.34|0|24|7612|25|919|-779687.29|-0.26
171|0.01|4.01|1.12|0|25|7637|21|917|-779867.39|-0.23
172|0.01|4.44|1.22|0|21|7658|23|917|-780055.75|-0.25
