p_o|p_d|t_1|t_2|demand
72|198|1|2|977.43
72|198|2|3|1204.45
72|198|3|4|988.74
72|198|4|6|918.78
72|198|5|6|914.4
72|198|6|8|932.31
72|198|7|8|858.11
72|198|8|9|880.92
72|198|9|11|879.71
72|198|10|11|1116.52
72|198|11|12|883.92
72|198|12|14|1273.25
72|198|13|15|1093.51
72|198|14|15|904.99
72|198|15|16|1029.76
72|198|16|17|1273.34
72|198|17|18|1078.47
72|198|18|20|1286.44
72|198|19|21|934.04
72|198|20|21|990.37
72|198|21|22|1147.97
72|198|22|24|1167.64
72|198|23|24|925.3
72|198|24|26|1340.73
72|198|25|27|1087.4
72|198|26|27|905.46
72|198|27|29|982.42
72|198|28|29|947.03
72|198|29|30|927.02
72|198|30|31|1195.47
72|198|31|32|880.57
72|198|32|34|1145.04
72|198|33|34|1096.61
72|198|34|36|1066.72
72|198|35|36|862.02
72|198|36|37|922.88
72|198|37|38|941.46
72|198|38|40|1102.85
72|198|39|40|855.21
72|198|40|42|847.24
72|198|41|43|831.45
72|198|42|43|1067.42
72|198|43|44|997.61
72|198|44|45|923.92
72|198|45|46|909.41
72|198|46|48|936.85
72|198|47|49|952.89
72|198|48|49|894.52
72|198|49|51|1096.21
72|198|50|52|1004.51
72|198|51|1|1067.75
72|198|52|2|914.37
72|216|1|2|16.78
72|216|2|4|19.9
72|216|3|5|14.15
72|216|4|6|19.54
72|216|5|7|14.67
72|216|6|8|16.23
72|216|7|9|18.2
72|216|8|10|13.43
72|216|9|11|14.52
72|216|10|11|14.66
72|216|11|13|19.33
72|216|12|14|16.9
72|216|13|14|13.77
72|216|14|16|19.54
72|216|15|16|18.69
72|216|16|17|17.55
72|216|17|18|15.27
72|216|18|20|17.12
72|216|19|21|15.06
72|216|20|21|16.97
72|216|21|23|15.95
72|216|22|24|17.57
72|216|23|24|15.42
72|216|24|26|17.56
72|216|25|27|18.83
72|216|26|27|19.02
72|216|27|28|18.13
72|216|28|29|18.4
72|216|29|31|19.42
72|216|30|32|14.35
72|216|31|33|17.02
72|216|32|33|17.7
72|216|33|35|16.42
72|216|34|35|14.36
72|216|35|37|16.07
72|216|36|37|12.61
72|216|37|38|18.29
72|216|38|40|14.81
72|216|39|41|15.42
72|216|40|41|12.67
72|216|41|43|14.17
72|216|42|44|17.11
72|216|43|44|13.1
72|216|44|46|16.08
72|216|45|46|16.17
72|216|46|47|17.03
72|216|47|49|16.23
72|216|48|49|17.84
72|216|49|51|17.8
72|216|50|52|14.16
72|216|51|52|12.69
72|216|52|1|15.49
72|469|1|2|456.16
72|469|2|4|688.6
72|469|3|5|493.29
72|469|4|6|587.29
72|469|5|7|495.04
72|469|6|8|677.79
72|469|7|8|656.59
72|469|8|10|674.09
72|469|9|10|560.68
72|469|10|11|502.53
72|469|11|12|618.85
72|469|12|14|653.08
72|469|13|15|707.66
72|469|14|16|672.09
72|469|15|16|719.19
72|469|16|18|604.12
72|469|17|19|676.18
72|469|18|20|513.28
72|469|19|20|715.56
72|469|20|22|610.74
72|469|21|23|578.11
72|469|22|23|554.24
72|469|23|24|684.08
72|469|24|25|698.73
72|469|25|27|501.85
72|469|26|28|620.13
72|469|27|28|617.31
72|469|28|29|716.24
72|469|29|30|659.82
72|469|30|31|550.02
72|469|31|33|493.85
72|469|32|33|665.68
72|469|33|35|514.87
72|469|34|35|539.1
72|469|35|36|486.92
72|469|36|38|475.15
72|469|37|38|598.12
72|469|38|39|480.46
72|469|39|40|566.82
72|469|40|41|462.9
72|469|41|42|562.4
72|469|42|44|446.11
72|469|43|45|509.01
72|469|44|45|511.75
72|469|45|46|517.07
72|469|46|47|540.51
72|469|47|49|553.94
72|469|48|49|614.47
72|469|49|51|596.86
72|469|50|52|524.12
72|469|51|1|593.33
72|469|52|2|466.23
72|689|1|2|1804.43
72|689|2|3|2138.31
72|689|3|5|2164.58
72|689|4|6|2262.95
72|689|5|7|1943.55
72|689|6|7|2042.53
72|689|7|8|1615.37
72|689|8|10|2118.52
72|689|9|10|2126.28
72|689|10|12|1856.36
72|689|11|13|2362.76
72|689|12|14|1569.54
72|689|13|15|1820.06
72|689|14|15|1652.81
72|689|15|17|2119.52
72|689|16|18|2125.29
72|689|17|19|2019.8
72|689|18|19|2395.65
72|689|19|21|2117.63
72|689|20|22|1834.34
72|689|21|22|1762.44
72|689|22|23|1788.23
72|689|23|25|2151.34
72|689|24|25|2268.87
72|689|25|26|2424.35
72|689|26|27|2276.59
72|689|27|28|1652.57
72|689|28|30|1820.19
72|689|29|31|2379.39
72|689|30|31|1657.03
72|689|31|33|1855.75
72|689|32|33|1943.33
72|689|33|35|2056.69
72|689|34|35|1644.75
72|689|35|37|1628.38
72|689|36|37|1696.46
72|689|37|39|2032.56
