p_o|p_d|t_1|t_2|demand
72|198|1|2|590.84
72|198|2|3|760.54
72|198|3|4|831.71
72|198|4|6|801.66
72|198|5|6|677.41
72|198|6|8|739.4
72|198|7|8|658.21
72|198|8|9|631.51
72|198|9|11|766.52
72|198|10|11|607.0
72|198|11|12|817.55
72|198|12|14|729.24
72|198|13|15|718.46
72|198|14|15|599.66
72|198|15|16|677.57
72|198|16|17|646.45
72|198|17|18|788.09
72|198|18|20|809.94
72|198|19|21|837.01
72|198|20|21|730.96
72|198|21|22|761.26
72|198|22|24|678.13
72|198|23|24|729.37
72|198|24|26|683.61
72|198|25|27|838.63
72|198|26|27|868.19
72|198|27|29|608.4
72|198|28|29|664.31
72|198|29|30|745.43
72|198|30|31|716.82
72|198|31|32|682.94
72|198|32|34|799.28
72|198|33|34|552.66
72|198|34|36|663.87
72|198|35|36|725.27
72|198|36|37|633.97
72|198|37|38|779.78
72|198|38|40|776.49
72|198|39|40|834.18
72|198|40|42|511.64
72|198|41|43|701.9
72|198|42|43|663.4
72|198|43|44|723.54
72|198|44|45|576.1
72|198|45|46|690.5
72|198|46|48|686.62
72|198|47|49|725.73
72|198|48|49|553.41
72|198|49|51|642.92
72|198|50|52|796.67
72|198|51|1|680.12
72|198|52|2|608.88
72|216|1|2|8.95
72|216|2|4|12.69
72|216|3|5|12.73
72|216|4|6|11.54
72|216|5|7|9.36
72|216|6|8|12.07
72|216|7|9|9.85
72|216|8|10|10.5
72|216|9|11|10.3
72|216|10|11|11.6
72|216|11|13|11.44
72|216|12|14|12.48
72|216|13|14|12.17
72|216|14|16|13.02
72|216|15|16|13.35
72|216|16|17|9.95
72|216|17|18|13.13
72|216|18|20|11.47
72|216|19|21|14.11
72|216|20|21|10.55
72|216|21|23|10.14
72|216|22|24|9.18
72|216|23|24|9.58
72|216|24|26|10.87
72|216|25|27|12.39
72|216|26|27|9.88
72|216|27|28|11.88
72|216|28|29|9.28
72|216|29|31|13.73
72|216|30|32|12.85
72|216|31|33|10.16
72|216|32|33|8.72
72|216|33|35|10.77
72|216|34|35|9.58
72|216|35|37|11.26
72|216|36|37|12.17
72|216|37|38|11.26
72|216|38|40|12.47
72|216|39|41|11.47
72|216|40|41|9.74
72|216|41|43|11.58
72|216|42|44|9.71
72|216|43|44|8.63
72|216|44|46|7.98
72|216|45|46|8.98
72|216|46|47|10.68
72|216|47|49|11.18
72|216|48|49|9.97
72|216|49|51|8.89
72|216|50|52|10.12
72|216|51|52|11.96
72|216|52|1|9.63
72|469|1|2|407.49
72|469|2|4|459.24
72|469|3|5|465.59
72|469|4|6|445.34
72|469|5|7|416.61
72|469|6|8|394.8
72|469|7|8|376.79
72|469|8|10|352.92
72|469|9|10|425.47
72|469|10|11|445.17
72|469|11|12|447.78
72|469|12|14|473.59
72|469|13|15|434.7
72|469|14|16|350.09
72|469|15|16|423.69
72|469|16|18|441.58
72|469|17|19|381.85
72|469|18|20|372.38
72|469|19|20|459.56
72|469|20|22|476.0
72|469|21|23|402.97
72|469|22|23|339.12
72|469|23|24|416.75
72|469|24|25|350.75
72|469|25|27|482.02
72|469|26|28|360.27
72|469|27|28|409.12
72|469|28|29|400.04
72|469|29|30|421.62
72|469|30|31|331.24
72|469|31|33|436.51
72|469|32|33|351.71
72|469|33|35|309.73
72|469|34|35|320.33
72|469|35|36|403.83
72|469|36|38|334.24
72|469|37|38|312.25
72|469|38|39|408.17
72|469|39|40|362.81
72|469|40|41|412.77
72|469|41|42|399.87
72|469|42|44|364.18
72|469|43|45|356.75
72|469|44|45|360.29
72|469|45|46|303.57
72|469|46|47|347.5
72|469|47|49|366.36
72|469|48|49|350.56
72|469|49|51|382.37
72|469|50|52|347.22
72|469|51|1|291.73
72|469|52|2|354.89
72|689|1|2|1232.4
72|689|2|3|1190.3
72|689|3|5|1440.42
72|689|4|6|1381.67
72|689|5|7|1433.49
72|689|6|7|1493.48
72|689|7|8|1277.02
