Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|2.31|0.32|2.40|0|30|30|50|20|1279438.61|-1.13
1|0.01|0.49|2.44|0|50|80|50|47|1278171.99|-1.13
2|0.00|0.49|2.43|0|50|130|50|80|1275154.57|-1.01
3|0.00|0.49|2.41|0|50|180|50|100|1273116.43|-4.43
4|0.00|0.50|2.43|0|50|230|50|131|1270604.58|-6.26
5|0.01|0.50|2.40|0|50|280|50|147|1268337.25|-7.30
6|0.00|0.51|2.42|0|50|330|50|163|1265876.85|-5.39
7|0.01|0.51|2.41|0|50|380|50|188|1263353.16|-3.20
8|0.00|0.52|2.42|0|50|430|50|200|1261303.42|-5.83
9|0.00|0.52|2.42|0|50|480|50|210|1258663.16|-5.57
10|0.00|0.53|2.40|0|50|530|50|228|1255352.32|-2.69
11|0.00|0.55|2.41|0|50|580|50|247|1252527.49|-3.42
12|0.00|0.55|2.41|0|50|630|50|267|1249167.08|-4.18
13|0.00|0.61|2.40|0|50|680|50|289|1246962.02|-3.51
14|0.00|0.64|2.38|0|50|730|50|296|1243258.76|-3.18
15|0.00|0.69|2.40|0|50|780|50|305|1240770.24|-2.97
16|0.01|0.83|2.42|0|50|830|50|318|1237117.12|-2.97
17|0.00|0.82|2.41|0|50|880|50|329|1233450.62|-3.25
18|0.00|0.90|2.41|0|50|930|50|352|1229827.66|-3.04
19|0.00|1.02|2.42|0|50|980|50|367|1226605.03|-2.90
20|0.01|1.08|2.41|0|50|1030|50|373|1223896.22|-2.47
21|0.00|1.07|2.43|0|50|1080|50|391|1220679.23|-3.29
22|0.00|1.16|2.45|0|50|1130|50|410|1218125.14|-1.44
23|0.00|1.16|2.42|0|50|1180|50|406|1214378.07|-2.19
24|0.01|1.23|2.40|0|50|1230|50|430|1212398.45|-1.50
25|0.00|1.25|2.41|0|50|1280|50|440|1210062.55|-1.67
26|0.00|1.28|2.42|0|50|1330|50|447|1207107.32|-1.27
27|0.01|1.26|2.41|0|50|1380|50|461|1202850.38|-1.90
28|0.01|1.33|2.42|0|50|1430|50|480|1198617.73|-1.47
29|0.01|1.29|2.42|0|50|1480|50|493|1195619.74|-3.09
30|0.00|1.32|2.40|0|50|1530|50|495|1194069.93|-2.24
31|0.01|1.35|2.44|0|50|1580|50|493|1191632.20|-2.19
32|0.01|1.39|2.43|0|50|1630|50|524|1189072.95|-2.12
33|0.01|1.39|2.40|0|50|1680|50|532|1186197.71|-1.94
34|0.01|1.37|2.42|0|50|1730|50|548|1183334.66|-1.62
35|0.01|1.40|2.40|0|50|1780|50|538|1179645.05|-1.55
36|0.01|1.48|2.38|0|50|1830|50|557|1176503.19|-1.51
37|0.00|1.41|2.41|0|50|1880|50|555|1173841.43|-1.09
38|0.01|1.46|2.40|0|50|1930|50|557|1169970.64|-1.28
39|0.01|1.46|2.46|0|50|1980|50|553|1165562.56|-1.24
40|0.01|1.48|2.44|0|50|2030|50|571|1162905.15|-1.60
41|0.00|1.41|2.41|0|50|2080|50|572|1157628.50|-1.79
42|0.01|1.45|2.42|0|50|2130|50|577|1153917.43|-2.48
43|0.01|1.64|2.41|0|50|2180|50|580|1148749.49|-1.82
44|0.01|1.52|2.41|0|50|2230|50|593|1144040.25|-1.24
45|0.01|1.50|2.41|0|50|2280|50|584|1142142.68|-1.17
46|0.01|1.56|2.41|0|50|2330|50|601|1139380.12|-1.67
47|0.01|1.60|2.42|0|50|2380|50|607|1137390.93|-1.01
48|0.01|1.60|2.39|0|50|2430|50|621|1131949.49|-1.09
49|0.01|1.68|2.41|0|50|2480|50|613|1129448.19|-1.07
50|0.01|1.63|2.41|0|50|2530|50|620|1127067.03|-1.04
51|0.01|1.62|2.38|0|50|2580|50|621|1123552.41|-1.75
52|0.01|1.62|2.42|0|50|2630|50|627|1119476.20|-1.29
53|0.01|1.67|2.40|0|50|2680|50|624|1116814.12|-1.35
54|0.01|1.71|2.39|0|50|2730|50|628|1114823.07|-1.19
55|0.01|1.66|2.43|0|50|2780|50|638|1113289.12|-1.19
56|0.01|1.69|2.45|0|50|2830|50|646|1110250.33|-1.01
57|0.01|1.66|2.43|0|50|2880|50|674|1107323.99|-1.01
58|0.01|1.74|2.40|0|50|2930|50|678|1104640.11|-1.52
