p_o|p_d|t_1|t_2|demand
72|198|1|2|566.36
72|198|2|3|859.49
72|198|3|4|864.41
72|198|4|6|802.77
72|198|5|6|628.29
72|198|6|8|754.2
72|198|7|8|750.94
72|198|8|9|813.67
72|198|9|11|782.26
72|198|10|11|842.4
72|198|11|12|676.08
72|198|12|14|605.5
72|198|13|15|574.49
72|198|14|15|671.0
72|198|15|16|887.97
72|198|16|17|875.41
72|198|17|18|677.19
72|198|18|20|626.62
72|198|19|21|725.68
72|198|20|21|793.74
72|198|21|22|800.94
72|198|22|24|727.11
72|198|23|24|720.42
72|198|24|26|846.51
72|198|25|27|859.46
72|198|26|27|667.83
72|198|27|29|838.37
72|198|28|29|702.59
72|198|29|30|679.87
72|198|30|31|664.51
72|198|31|32|720.5
72|198|32|34|695.39
72|198|33|34|588.29
72|198|34|36|573.9
72|198|35|36|721.3
72|198|36|37|734.72
72|198|37|38|752.98
72|198|38|40|799.04
72|198|39|40|624.5
72|198|40|42|546.19
72|198|41|43|760.93
72|198|42|43|650.73
72|198|43|44|739.41
72|198|44|45|680.82
72|198|45|46|718.55
72|198|46|48|646.24
72|198|47|49|671.11
72|198|48|49|538.38
72|198|49|51|669.63
72|198|50|52|754.73
72|198|51|1|555.17
72|198|52|2|595.2
72|216|1|2|11.91
72|216|2|4|11.58
72|216|3|5|12.2
72|216|4|6|11.75
72|216|5|7|9.01
72|216|6|8|10.98
72|216|7|9|11.43
72|216|8|10|11.93
72|216|9|11|11.55
72|216|10|11|10.01
72|216|11|13|10.81
72|216|12|14|10.7
72|216|13|14|11.08
72|216|14|16|11.0
72|216|15|16|12.54
72|216|16|17|11.81
72|216|17|18|9.93
72|216|18|20|13.58
72|216|19|21|11.39
72|216|20|21|11.4
72|216|21|23|13.41
72|216|22|24|10.19
72|216|23|24|10.03
72|216|24|26|10.8
72|216|25|27|11.17
72|216|26|27|12.78
72|216|27|28|10.88
72|216|28|29|11.7
72|216|29|31|10.82
72|216|30|32|9.53
72|216|31|33|12.56
72|216|32|33|9.71
72|216|33|35|12.33
72|216|34|35|10.98
72|216|35|37|8.3
72|216|36|37|8.72
72|216|37|38|11.87
72|216|38|40|13.24
72|216|39|41|12.18
72|216|40|41|10.09
72|216|41|43|10.61
72|216|42|44|11.51
72|216|43|44|10.49
72|216|44|46|10.9
72|216|45|46|9.84
72|216|46|47|9.74
72|216|47|49|10.32
72|216|48|49|12.02
72|216|49|51|11.98
72|216|50|52|10.16
72|216|51|52|9.58
72|216|52|1|9.52
72|469|1|2|417.03
72|469|2|4|330.36
72|469|3|5|338.17
72|469|4|6|461.43
72|469|5|7|413.32
72|469|6|8|336.02
72|469|7|8|345.04
72|469|8|10|323.64
72|469|9|10|388.78
72|469|10|11|421.94
72|469|11|12|477.03
72|469|12|14|382.37
72|469|13|15|321.78
72|469|14|16|390.14
72|469|15|16|450.75
72|469|16|18|468.2
72|469|17|19|479.32
72|469|18|20|359.2
72|469|19|20|425.31
72|469|20|22|478.31
72|469|21|23|454.43
72|469|22|23|312.19
72|469|23|24|348.51
72|469|24|25|458.11
72|469|25|27|346.98
72|469|26|28|333.71
72|469|27|28|352.31
72|469|28|29|474.23
72|469|29|30|371.41
72|469|30|31|474.78
72|469|31|33|341.6
72|469|32|33|445.02
72|469|33|35|364.79
72|469|34|35|320.79
72|469|35|36|361.67
72|469|36|38|409.73
72|469|37|38|427.65
72|469|38|39|337.71
72|469|39|40|310.34
72|469|40|41|293.59
72|469|41|42|410.92
72|469|42|44|305.38
72|469|43|45|284.15
72|469|44|45|364.65
72|469|45|46|333.85
72|469|46|47|325.36
72|469|47|49|309.71
72|469|48|49|327.69
72|469|49|51|355.6
72|469|50|52|387.72
72|469|51|1|403.71
72|469|52|2|316.11
72|689|1|2|1250.65
72|689|2|3|1533.41
72|689|3|5|1277.85
72|689|4|6|1241.18
72|689|5|7|1102.83
72|689|6|7|1059.51
72|689|7|8|1344.46
72|689|8|10|1220.8
72|689|9|10|1353.98
72|689|10|12|1329.67
72|689|11|13|1264.16
72|689|12|14|1440.85
72|689|13|15|1517.5
72|689|14|15|1426.16
72|689|15|17|1539.07
72|689|16|18|1176.26
72|689|17|19|1588.31
72|689|18|19|1156.66
72|689|19|21|1308.45
72|689|20|22|1497.5
72|689|21|22|1542.22
72|689|22|23|1269.63
72|689|23|25|1535.74
72|689|24|25|1610.67
72|689|25|26|1091.48
72|689|26|27|1290.12
72|689|27|28|1367.77
72|689|28|30|1095.52
72|689|29|31|1267.32
72|689|30|31|1205.74
72|689|31|33|1041.59
72|689|32|33|1068.74
72|689|33|35|1387.75
72|689|34|35|1331.01
72|689|35|37|1008.13
72|689|36|37|999.44
72|689|37|39|1217.93
72|689|38|40|1363.17
72|689|39|41|1218.98
72|689|40|42|1033.05
