Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|9.44|0.32|2.34|0|186|186|50|94|-3888814.56|-79.24
1|0.01|0.48|2.26|0|50|236|50|122|-3904664.96|-69.28
2|0.01|0.50|2.27|0|50|286|50|154|-4013497.45|-217.56
3|0.01|0.53|2.26|0|50|336|50|177|-4173668.22|-204.58
4|0.01|0.53|2.33|0|50|386|50|204|-4436946.01|-164.16
5|0.01|0.53|2.27|0|50|436|50|218|-4615695.10|-208.04
6|0.01|0.55|2.28|0|50|486|50|237|-4718349.40|-296.65
7|0.01|0.56|2.35|0|50|536|50|253|-4886057.62|-159.55
8|0.01|0.57|2.28|0|50|586|50|272|-5049916.96|-142.46
9|0.01|0.59|2.44|0|50|636|50|303|-5170972.91|-129.94
10|0.01|0.69|2.45|0|50|686|50|317|-5334749.03|-199.66
11|0.01|0.72|2.40|0|50|736|50|318|-5670133.06|-176.29
12|0.01|0.78|2.31|0|50|786|50|346|-5945813.43|-221.57
13|0.01|0.92|2.26|0|50|836|50|369|-6123846.93|-101.28
14|0.01|0.95|2.43|0|50|886|50|376|-6267419.83|-235.24
15|0.01|1.18|2.47|0|50|936|50|382|-6422721.24|-233.00
16|0.02|1.28|2.25|0|50|986|50|394|-6611496.05|-174.93
17|0.01|1.28|2.23|0|50|1036|50|404|-6785808.86|-213.82
18|0.01|1.50|2.20|0|50|1086|50|429|-6902456.43|-109.47
19|0.01|1.60|2.29|0|50|1136|50|435|-7091532.64|-128.73
20|0.01|1.65|2.26|0|50|1186|50|437|-7217975.81|-74.70
21|0.01|1.73|2.29|0|50|1236|50|461|-7371063.51|-76.73
22|0.01|1.70|2.40|0|50|1286|50|477|-7515406.93|-66.18
23|0.01|1.62|2.28|0|50|1336|50|484|-7683794.58|-51.85
24|0.01|1.79|2.27|0|50|1386|50|506|-7949328.01|-58.84
25|0.01|2.04|2.27|0|50|1436|50|513|-8240798.03|-60.92
26|0.01|2.08|2.26|0|50|1486|50|529|-8320101.08|-99.58
27|0.01|1.96|2.27|0|50|1536|50|535|-8489968.80|-100.06
28|0.01|2.17|2.44|0|50|1586|50|553|-8652008.85|-51.40
29|0.01|2.23|2.22|0|50|1636|50|561|-8898170.04|-51.35
30|0.01|2.13|2.34|0|50|1686|50|582|-9084061.78|-50.10
31|0.01|2.25|2.39|0|50|1736|50|586|-9169823.07|-50.05
32|0.01|2.34|2.22|0|50|1786|50|598|-9279874.62|-89.71
33|0.01|2.47|2.22|0|50|1836|50|617|-9370900.87|-54.29
34|0.01|2.24|2.23|0|50|1886|50|620|-9587377.12|-61.45
35|0.01|2.46|2.25|0|50|1936|50|627|-9721800.96|-56.52
36|0.01|2.29|2.27|0|50|1986|50|643|-9821230.92|-70.58
37|0.01|2.60|2.28|0|50|2036|50|644|-9917485.06|-72.83
38|0.01|2.53|2.28|0|50|2086|50|651|-10020293.45|-104.10
39|0.01|2.58|2.30|0|50|2136|50|661|-10187962.89|-84.98
40|0.01|2.65|2.26|0|50|2186|50|672|-10300258.27|-80.84
41|0.01|2.93|2.25|0|50|2236|50|688|-10453483.59|-57.74
42|0.01|2.83|2.26|0|50|2286|50|697|-10557843.55|-46.64
43|0.01|2.97|2.30|0|50|2336|50|697|-10693748.33|-78.46
44|0.01|2.87|2.37|0|50|2386|50|703|-10807595.94|-63.64
45|0.01|2.85|2.27|0|50|2436|50|719|-10954335.74|-43.89
46|0.01|2.89|2.24|0|50|2486|50|735|-11112798.07|-58.74
47|0.01|2.87|2.25|0|50|2536|50|759|-11227185.37|-76.22
48|0.01|2.86|2.24|0|50|2586|50|733|-11319231.83|-71.39
49|0.01|2.89|2.25|0|50|2636|50|734|-11548624.92|-43.51
50|0.01|2.98|2.23|0|50|2686|50|749|-11651150.93|-44.73
51|0.01|2.93|2.30|0|50|2736|50|762|-11811934.75|-44.50
52|0.01|2.89|2.24|0|50|2786|50|772|-11916084.78|-42.22
53|0.01|3.02|2.18|0|50|2836|50|761|-12046598.36|-43.84
54|0.01|3.06|2.14|0|50|2886|50|776|-12112773.33|-40.04
55|0.01|2.96|2.19|0|50|2936|50|778|-12188735.73|-43.13
56|0.01|3.01|2.21|0|50|2986|50|778|-12341573.04|-44.19
57|0.01|3.23|2.37|0|50|3036|50|791|-12462103.26|-46.14
58|0.01|3.27|2.16|0|50|3086|50|784|-12511169.40|-51.48
59|0.01|3.04|2.16|0|50|3136|50|792|-12593032.55|-48.53
60|0.01|3.06|2.14|0|50|3186|50|794|-12680228.46|-50.85
61|0.01|3.37|2.48|0|50|3236|50|790|-12760435.55|-52.64
62|0.01|3.41|2.36|0|50|3286|50|803|-12830989.78|-38.21
63|0.01|3.19|2.33|0|50|3336|50|811|-12965879.92|-38.54
64|0.01|3.15|2.25|0|50|3386|50|832|-13037041.84|-36.86
65|0.01|3.32|2.30|0|50|3436|50|840|-13144807.12|-38.49
66|0.01|3.11|2.30|0|50|3486|50|842|-13238921.23|-34.00
67|0.01|3.14|2.27|0|50|3536|50|831|-13304673.33|-34.80
68|0.01|3.29|2.24|0|50|3586|50|842|-13371686.22|-32.85
69|0.01|3.10|2.31|0|50|3636|50|846|-13408440.76|-31.31
70|0.01|3.29|2.15|0|50|3686|50|862|-13497326.27|-33.81
71|0.01|3.16|2.15|0|50|3736|50|878|-13545339.27|-32.55
72|0.01|3.20|2.13|0|50|3786|50|867|-13614678.75|-33.45
73|0.01|3.39|2.16|0|50|3836|50|871|-13669728.71|-31.29
74|0.01|3.19|2.14|0|50|3886|50|899|-13705284.27|-30.44
75|0.01|3.34|2.17|0|50|3936|50|870|-13757417.45|-31.50
76|0.01|3.26|2.23|0|50|3986|50|905|-13840326.38|-31.82
77|0.01|3.21|2.24|0|50|4036|50|896|-13886229.78|-30.54
78|0.01|3.13|2.26|0|50|4086|50|915|-13941697.20|-30.02
79|0.01|3.33|2.29|0|50|4136|50|909|-13994562.83|-26.03
80|0.01|3.28|2.24|0|50|4186|50|908|-14028973.99|-27.33
81|0.01|3.41|2.31|0|50|4236|50|920|-14064595.54|-23.76
82|0.01|3.34|2.18|0|50|4286|50|943|-14130529.35|-26.06
83|0.01|3.20|2.15|0|50|4336|50|926|-14156512.72|-24.91
84|0.01|3.33|2.18|0|50|4386|50|917|-14194323.51|-23.06
85|0.01|3.22|2.18|0|50|4436|50|926|-14214374.45|-22.28
86|0.01|3.36|2.20|0|50|4486|50|949|-14245613.69|-23.75
87|0.01|3.25|2.21|0|50|4536|50|948|-14293956.12|-23.72
88|0.01|3.27|2.37|0|50|4586|50|957|-14331286.56|-20.72
89|0.01|3.32|2.29|0|50|4636|50|942|-14386491.58|-22.33
90|0.01|3.50|2.23|0|50|4686|50|967|-14445313.77|-19.69
91|0.01|3.32|2.22|0|50|4736|50|958|-14482953.29|-17.70
92|0.01|3.44|2.22|0|50|4786|50|984|-14507980.65|-16.51
93|0.01|3.70|2.24|0|50|4836|50|972|-14531920.90|-17.77
