p_i|t_i|p_j|t_j|key|tt|pf
72|1|72|2|h|1|-0.162822
72|2|72|3|h|1|-0.231947
72|3|72|4|h|1|-0.22562
72|4|72|5|h|1|-0.215879
72|5|72|6|h|1|-0.22989
72|6|72|7|h|1|-0.173987
72|7|72|8|h|1|-0.22228
72|8|72|9|h|1|-0.210809
72|9|72|10|h|1|-0.224897
72|10|72|11|h|1|-0.219188
72|11|72|12|h|1|-0.18389
72|12|72|13|h|1|-0.217424
72|13|72|14|h|1|-0.177304
72|14|72|15|h|1|-0.182487
72|15|72|16|h|1|-0.165192
72|16|72|17|h|1|-0.230016
72|17|72|18|h|1|-0.179541
72|18|72|19|h|1|-0.197536
72|19|72|20|h|1|-0.187404
72|20|72|21|h|1|-0.231963
72|21|72|22|h|1|-0.182993
72|22|72|23|h|1|-0.217749
72|23|72|24|h|1|-0.223773
72|24|72|25|h|1|-0.190873
72|25|72|26|h|1|-0.186372
72|26|72|27|h|1|-0.215335
72|27|72|28|h|1|-0.228277
72|28|72|29|h|1|-0.215898
72|29|72|30|h|1|-0.174535
72|30|72|31|h|1|-0.22635
72|31|72|32|h|1|-0.18711
72|32|72|33|h|1|-0.201894
72|33|72|34|h|1|-0.221893
72|34|72|35|h|1|-0.1715
72|35|72|36|h|1|-0.218216
72|36|72|37|h|1|-0.203456
72|37|72|38|h|1|-0.226745
72|38|72|39|h|1|-0.170213
72|39|72|40|h|1|-0.189704
72|40|72|41|h|1|-0.222004
72|41|72|42|h|1|-0.158243
72|42|72|43|h|1|-0.165529
72|43|72|44|h|1|-0.234364
72|44|72|45|h|1|-0.17871
72|45|72|46|h|1|-0.233187
72|46|72|47|h|1|-0.17104
72|47|72|48|h|1|-0.185034
72|48|72|49|h|1|-0.215736
72|49|72|50|h|1|-0.208284
72|50|72|51|h|1|-0.202277
72|51|72|52|h|1|-0.198263
72|52|72|1|h|1|-0.222834
72|1|198|6|d|5|-0.202644
72|1|198|6|g|5|0.172755
72|2|198|7|d|5|-0.195436
72|2|198|7|g|5|0.217876
72|3|198|8|d|5|-0.204058
72|3|198|8|g|5|0.20288
72|4|198|9|d|5|-0.224069
72|4|198|9|g|5|0.161999
72|5|198|10|d|5|-0.189677
72|5|198|10|g|5|0.214685
72|6|198|11|d|5|-0.220236
72|6|198|11|g|5|0.215231
72|7|198|12|d|5|-0.244327
72|7|198|12|g|5|0.150868
72|8|198|13|d|5|-0.237258
72|8|198|13|g|5|0.157301
72|9|198|14|d|5|-0.252148
72|9|198|14|g|5|0.234922
72|10|198|15|d|5|-0.229505
72|10|198|15|g|5|0.223018
72|11|198|16|d|5|-0.202858
72|11|198|16|g|5|0.202149
72|12|198|17|d|5|-0.258963
72|12|198|17|g|5|0.176709
72|13|198|18|d|5|-0.205417
72|13|198|18|g|5|0.196441
72|14|198|19|d|5|-0.245921
72|14|198|19|g|5|0.192279
72|15|198|20|d|5|-0.265459
72|15|198|20|g|5|0.181233
72|16|198|21|d|5|-0.214962
72|16|198|21|g|5|0.22682
72|17|198|22|d|5|-0.201831
72|17|198|22|g|5|0.228796
72|18|198|23|d|5|-0.19623
72|18|198|23|g|5|0.186949
72|19|198|24|d|5|-0.192313
72|19|198|24|g|5|0.261148
72|20|198|25|d|5|-0.231368
72|20|198|25|g|5|0.248678
72|21|198|26|d|5|-0.211503
72|21|198|26|g|5|0.21086
72|22|198|27|d|5|-0.226218
72|22|198|27|g|5|0.219545
72|23|198|28|d|5|-0.249124
72|23|198|28|g|5|0.240095
72|24|198|29|d|5|-0.185544
72|24|198|29|g|5|0.225211
72|25|198|30|d|5|-0.223683
72|25|198|30|g|5|0.254516
72|26|198|31|d|5|-0.204674
72|26|198|31|g|5|0.188236
72|27|198|32|d|5|-0.218638
72|27|198|32|g|5|0.189182
72|28|198|33|d|5|-0.193054
72|28|198|33|g|5|0.238679
72|29|198|34|d|5|-0.23196
72|29|198|34|g|5|0.241298
72|30|198|35|d|5|-0.2567
72|30|198|35|g|5|0.196551
72|31|198|36|d|5|-0.231004
72|31|198|36|g|5|0.154011
72|32|198|37|d|5|-0.264327
72|32|198|37|g|5|0.173899
72|33|198|38|d|5|-0.217036
72|33|198|38|g|5|0.163794
72|34|198|39|d|5|-0.223109
72|34|198|39|g|5|0.149358
72|35|198|40|d|5|-0.215329
72|35|198|40|g|5|0.183479
72|36|198|41|d|5|-0.256983
72|36|198|41|g|5|0.160209
72|37|198|42|d|5|-0.223867
72|37|198|42|g|5|0.218783
72|38|198|43|d|5|-0.186117
72|38|198|43|g|5|0.23035
72|39|198|44|d|5|-0.201214
72|39|198|44|g|5|0.207666
72|40|198|45|d|5|-0.234161
72|40|198|45|g|5|0.15555
72|41|198|46|d|5|-0.259259
72|41|198|46|g|5|0.13057
72|42|198|47|d|5|-0.212806
72|42|198|47|g|5|0.163285
72|43|198|48|d|5|-0.254901
72|43|198|48|g|5|0.135934
72|44|198|49|d|5|-0.254143
72|44|198|49|g|5|0.144769
72|45|198|50|d|5|-0.19847
72|45|198|50|g|5|0.168104
72|46|198|51|d|5|-0.189583
72|46|198|51|g|5|0.158756
72|47|198|52|d|5|-0.187132
72|47|198|52|g|5|0.153473
72|48|198|1|d|5|-0.235841
72|48|198|1|g|5|0.160855
72|49|198|2|d|5|-0.218031
72|49|198|2|g|5|0.160146
72|50|198|3|d|5|-0.201902
72|50|198|3|g|5|0.177633
72|51|198|4|d|5|-0.267773
72|51|198|4|g|5|0.19192
72|52|198|5|d|5|-0.194509
72|52|198|5|g|5|0.133417
72|1|216|6|d|5|-0.265984
72|1|216|6|g|5|0.178716
72|2|216|7|d|5|-0.230107
72|2|216|7|g|5|0.233385
72|3|216|8|d|5|-0.209874
72|3|216|8|g|5|0.215751
72|4|216|9|d|5|-0.26917
72|4|216|9|g|5|0.213584
72|5|216|10|d|5|-0.195281
72|5|216|10|g|5|0.170508
72|6|216|11|d|5|-0.199862
72|6|216|11|g|5|0.207862
72|7|216|12|d|5|-0.208123
72|7|216|12|g|5|0.151866
72|8|216|13|d|5|-0.266949
72|8|216|13|g|5|0.16301
72|9|216|14|d|5|-0.182207
72|9|216|14|g|5|0.175681
72|10|216|15|d|5|-0.202651
72|10|216|15|g|5|0.20134
72|11|216|16|d|5|-0.264793
72|11|216|16|g|5|0.23877
72|12|216|17|d|5|-0.222768
72|12|216|17|g|5|0.19656
72|13|216|18|d|5|-0.231664
72|13|216|18|g|5|0.180216
72|14|216|19|d|5|-0.186072
72|14|216|19|g|5|0.23787
72|15|216|20|d|5|-0.198269
72|15|216|20|g|5|0.190227
72|16|216|21|d|5|-0.224179
72|16|216|21|g|5|0.208622
72|17|216|22|d|5|-0.183012
72|17|216|22|g|5|0.185002
72|18|216|23|d|5|-0.215628
72|18|216|23|g|5|0.244031
72|19|216|24|d|5|-0.202052
72|19|216|24|g|5|0.215962
72|20|216|25|d|5|-0.231876
72|20|216|25|g|5|0.256881
72|21|216|26|d|5|-0.210906
72|21|216|26|g|5|0.173521
72|22|216|27|d|5|-0.225703
72|22|216|27|g|5|0.204712
72|23|216|28|d|5|-0.191302
72|23|216|28|g|5|0.213201
72|24|216|29|d|5|-0.182953
72|24|216|29|g|5|0.179623
72|25|216|30|d|5|-0.22513
72|25|216|30|g|5|0.199781
72|26|216|31|d|5|-0.257967
72|26|216|31|g|5|0.215796
72|27|216|32|d|5|-0.222499
72|27|216|32|g|5|0.20306
72|28|216|33|d|5|-0.226426
72|28|216|33|g|5|0.170437
72|29|216|34|d|5|-0.262291
72|29|216|34|g|5|0.252846
72|30|216|35|d|5|-0.197796
72|30|216|35|g|5|0.182628
72|31|216|36|d|5|-0.194359
72|31|216|36|g|5|0.196729
72|32|216|37|d|5|-0.241314
72|32|216|37|g|5|0.205989
72|33|216|38|d|5|-0.249509
72|33|216|38|g|5|0.174245
72|34|216|39|d|5|-0.236909
72|34|216|39|g|5|0.178313
72|35|216|40|d|5|-0.227831
72|35|216|40|g|5|0.162228
72|36|216|41|d|5|-0.239832
72|36|216|41|g|5|0.17782
72|37|216|42|d|5|-0.239727
72|37|216|42|g|5|0.198916
72|38|216|43|d|5|-0.246551
72|38|216|43|g|5|0.21071
72|39|216|44|d|5|-0.228466
72|39|216|44|g|5|0.207919
72|40|216|45|d|5|-0.222096
72|40|216|45|g|5|0.136584
72|41|216|46|d|5|-0.181469
72|41|216|46|g|5|0.15905
72|42|216|47|d|5|-0.234896
72|42|216|47|g|5|0.191191
72|43|216|48|d|5|-0.214116
72|43|216|48|g|5|0.146831
72|44|216|49|d|5|-0.199638
72|44|216|49|g|5|0.124914
72|45|216|50|d|5|-0.251411
72|45|216|50|g|5|0.137072
72|46|216|51|d|5|-0.23655
72|46|216|51|g|5|0.169678
72|47|216|52|d|5|-0.224068
72|47|216|52|g|5|0.187336
72|48|216|1|d|5|-0.22158
72|48|216|1|g|5|0.143788
72|49|216|2|d|5|-0.262583
72|49|216|2|g|5|0.188662
72|50|216|3|d|5|-0.196214
72|50|216|3|g|5|0.146537
72|51|216|4|d|5|-0.1895
72|51|216|4|g|5|0.153952
72|52|216|5|d|5|-0.269496
72|52|216|5|g|5|0.16817
72|1|469|6|d|5|-0.215185
72|1|469|6|g|5|0.204318
72|2|469|7|d|5|-0.222427
72|2|469|7|g|5|0.194317
72|3|469|8|d|5|-0.266682
72|3|469|8|g|5|0.247707
72|4|469|9|d|5|-0.257837
72|4|469|9|g|5|0.200806
72|5|469|10|d|5|-0.25292
72|5|469|10|g|5|0.174195
72|6|469|11|d|5|-0.233315
72|6|469|11|g|5|0.224175
72|7|469|12|d|5|-0.207722
72|7|469|12|g|5|0.209939
72|8|469|13|d|5|-0.225813
72|8|469|13|g|5|0.15325
72|9|469|14|d|5|-0.250524
72|9|469|14|g|5|0.170297
72|10|469|15|d|5|-0.238597
72|10|469|15|g|5|0.17338
72|11|469|16|d|5|-0.267194
72|11|469|16|g|5|0.190052
72|12|469|17|d|5|-0.201874
72|12|469|17|g|5|0.173588
72|13|469|18|d|5|-0.267115
72|13|469|18|g|5|0.217846
72|14|469|19|d|5|-0.248588
72|14|469|19|g|5|0.202276
72|15|469|20|d|5|-0.224385
72|15|469|20|g|5|0.182579
72|16|469|21|d|5|-0.232102
72|16|469|21|g|5|0.188133
