Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|1.18|0.31|2.36|0|8|8|50|7|1283696.24|-6.94
1|0.00|0.47|2.35|0|50|58|50|31|1270165.28|-6.94
2|0.00|0.47|2.39|0|50|108|50|65|1245723.20|-8.62
3|0.00|0.48|2.38|0|50|158|50|90|1226056.36|-21.94
4|0.00|0.48|2.39|0|50|208|50|114|1197666.33|-43.05
5|0.00|0.48|2.35|0|50|258|50|126|1169287.89|-51.46
6|0.00|0.50|2.35|0|50|308|50|150|1158001.92|-64.46
7|0.00|0.50|2.35|0|50|358|50|176|1134959.57|-72.30
8|0.00|0.51|2.34|0|50|408|50|197|1119808.39|-59.30
9|0.00|0.52|2.35|0|50|458|50|212|1099713.54|-43.79
10|0.00|0.54|2.35|0|50|508|50|227|1065869.33|-38.79
11|0.01|0.56|2.35|0|50|558|50|243|1042280.10|-79.31
12|0.00|0.59|2.34|0|50|608|50|260|1007894.25|-70.17
13|0.00|0.61|2.34|0|50|658|50|281|989660.27|-54.87
14|0.00|0.66|2.35|0|50|708|50|288|964411.61|-28.37
15|0.00|0.70|2.34|0|50|758|50|307|947392.84|-30.40
16|0.00|0.75|2.34|0|50|808|50|318|921187.89|-33.30
17|0.00|0.88|2.35|0|50|858|50|334|892123.49|-25.41
18|0.00|1.10|2.34|0|50|908|50|352|870799.81|-36.97
19|0.00|1.14|2.35|0|50|958|50|366|842403.84|-40.56
20|0.00|1.22|2.44|0|50|1008|50|376|820161.78|-23.55
21|0.01|1.29|2.36|0|50|1058|50|401|798358.54|-26.34
22|0.00|1.29|2.36|0|50|1108|50|416|750288.15|-31.19
23|0.00|1.31|2.36|0|50|1158|50|424|724112.39|-15.48
24|0.00|1.34|2.39|0|50|1208|50|427|694148.42|-19.82
25|0.00|1.54|2.36|0|50|1258|50|426|668593.19|-25.69
26|0.00|1.59|2.36|0|50|1308|50|453|651061.57|-17.00
27|0.00|1.70|2.36|0|50|1358|50|478|630137.42|-22.69
28|0.01|1.50|2.35|0|50|1408|50|471|601462.84|-24.79
29|0.00|1.50|2.36|0|50|1458|50|488|586830.06|-21.77
30|0.00|1.87|2.37|0|50|1508|50|489|567789.49|-17.17
31|0.00|1.86|2.46|0|50|1558|50|502|558849.39|-15.81
32|0.01|1.75|2.39|0|50|1608|50|516|537064.58|-11.98
33|0.00|1.91|2.36|0|50|1658|50|528|520204.59|-15.93
34|0.01|1.96|2.36|0|50|1708|50|534|497878.53|-20.06
35|0.01|1.90|2.38|0|50|1758|50|538|487781.16|-7.87
36|0.01|1.98|2.36|0|50|1808|50|539|465055.68|-11.02
37|0.01|2.09|2.36|0|50|1858|50|563|446020.64|-6.59
38|0.01|2.08|2.38|0|50|1908|50|560|413620.81|-9.30
39|0.02|2.16|2.40|0|50|1958|50|576|369294.96|-7.72
40|0.01|2.21|2.40|0|50|2008|50|583|356612.60|-14.63
41|0.01|2.25|2.37|0|50|2058|50|579|338720.45|-16.29
42|0.01|2.24|2.37|0|50|2108|50|576|303809.48|-8.54
43|0.00|2.21|2.40|0|50|2158|50|589|278035.37|-6.86
44|0.01|2.27|2.37|0|50|2208|50|612|266920.78|-6.58
45|0.01|2.27|2.41|0|50|2258|50|616|242886.59|-12.56
46|0.01|2.44|2.39|0|50|2308|50|633|226168.37|-14.63
47|0.01|2.44|2.37|0|50|2358|50|638|195297.40|-5.62
48|0.01|2.31|2.36|0|50|2408|50|643|166390.29|-5.93
49|0.01|2.34|2.37|0|50|2458|50|644|155250.32|-5.69
50|0.01|2.63|2.37|0|50|2508|50|650|123199.17|-7.72
51|0.01|2.53|2.37|0|50|2558|50|665|108995.85|-7.86
52|0.01|2.45|2.36|0|50|2608|50|655|95183.85|-14.54
53|0.01|2.48|2.40|0|50|2658|50|662|74737.77|-6.04
54|0.01|2.54|2.37|0|50|2708|50|678|56850.97|-7.81
55|0.01|2.51|2.38|0|50|2758|50|676|41293.28|-6.57
56|0.01|2.75|2.36|0|50|2808|50|693|30523.81|-6.54
57|0.01|2.54|2.36|0|50|2858|50|693|17225.73|-5.61
58|0.01|2.66|2.37|0|50|2908|50|711|8030.49|-5.29
59|0.01|2.60|2.36|0|50|2958|50|712|-5937.22|-7.59
60|0.01|2.97|2.49|0|50|3008|50|714|-12472.47|-4.99
61|0.01|2.78|2.39|0|50|3058|50|744|-20137.39|-4.46
62|0.01|2.80|2.39|0|50|3108|50|740|-25018.25|-3.63
63|0.01|2.90|2.42|0|50|3158|50|775|-34204.81|-2.62
64|0.01|2.86|2.36|0|50|3208|50|784|-41615.72|-2.80
65|0.01|2.86|2.37|0|50|3258|50|786|-46076.43|-1.97
66|0.01|2.86|2.41|0|50|3308|50|801|-50684.57|-2.07
67|0.01|3.01|2.37|0|50|3358|50|812|-57074.31|-1.99
68|0.01|2.88|2.36|0|50|3408|50|804|-62852.55|-2.13
69|0.01|2.90|2.36|0|50|3458|50|814|-65738.02|-2.81
70|0.01|2.78|2.40|0|50|3508|50|813|-74712.47|-3.04
71|0.01|2.95|2.37|0|50|3558|50|830|-79953.13|-1.93
72|0.01|3.01|2.36|0|50|3608|50|827|-85524.61|-1.79
73|0.01|3.02|2.36|0|50|3658|50|825|-89375.22|-1.53
74|0.01|2.89|2.35|0|50|3708|50|860|-94334.71|-1.72
75|0.01|3.06|2.36|0|50|3758|50|850|-99087.60|-1.89
76|0.01|2.96|2.37|0|50|3808|50|841|-104087.68|-1.95
77|0.01|3.07|2.36|0|50|3858|50|854|-107597.57|-1.85
78|0.01|2.95|2.38|0|50|3908|50|867|-113957.64|-2.07
79|0.01|3.04|2.37|0|50|3958|50|861|-116981.68|-1.88
80|0.01|2.83|2.37|0|50|4008|50|853|-121728.55|-1.76
81|0.01|3.23|2.37|0|50|4058|50|864|-127937.09|-2.30
82|0.01|3.04|2.37|0|50|4108|50|862|-132745.28|-1.93
83|0.01|2.83|2.36|0|50|4158|50|865|-136574.40|-1.78
84|0.02|3.00|2.35|0|50|4208|50|872|-141390.69|-1.76
85|0.01|2.99|2.36|0|50|4258|50|865|-143871.77|-1.88
86|0.01|2.87|2.37|0|50|4308|50|874|-154366.22|-2.39
87|0.01|3.07|2.36|0|50|4358|50|868|-158924.11|-1.88
88|0.01|3.12|2.41|0|50|4408|50|879|-168016.36|-2.42
89|0.01|3.09|2.37|0|50|4458|50|894|-173713.51|-2.12
90|0.01|2.94|2.49|0|50|4508|50|885|-177551.50|-2.29
91|0.01|3.10|2.38|0|50|4558|50|902|-184644.65|-1.54
92|0.01|3.22|2.39|0|50|4608|50|884|-186436.53|-1.64
93|0.01|3.21|2.38|0|50|4658|50|915|-190344.81|-1.05
94|0.01|3.24|2.37|0|50|4708|50|906|-193035.79|-1.05
95|0.01|3.55|2.38|0|50|4758|50|893|-195298.31|-1.01
96|0.01|3.25|2.36|0|50|4808|50|909|-197928.60|-0.93
97|0.01|3.32|2.36|0|50|4858|50|916|-199810.91|-0.75
98|0.01|3.33|2.37|0|50|4908|50|927|-201928.30|-0.80
99|0.01|3.37|2.40|0|50|4958|50|927|-203512.52|-0.82
100|0.02|3.17|2.37|0|50|5008|50|924|-204680.80|-0.74
101|0.01|3.12|2.36|0|50|5058|50|922|-205731.35|-0.68
102|0.01|3.27|2.40|0|50|5108|50|930|-207125.83|-0.69
103|0.01|3.18|2.37|0|50|5158|50|928|-208189.10|-0.85
104|0.01|3.16|2.37|0|50|5208|50|915|-209343.46|-0.65
105|0.01|3.33|2.36|0|50|5258|50|927|-210602.41|-0.60
106|0.01|3.40|2.37|0|50|5308|50|922|-211882.80|-1.00
107|0.01|3.31|2.37|0|50|5358|50|927|-212973.07|-0.58
108|0.01|3.39|2.37|0|50|5408|49|934|-214564.83|-0.68
109|0.01|3.18|2.33|0|49|5457|48|930|-215134.88|-0.53
110|0.01|3.35|2.19|0|48|5505|45|921|-215767.06|-0.57
111|0.01|3.40|2.28|0|45|5550|47|923|-217157.18|-0.51
112|0.01|3.31|2.15|0|47|5597|44|922|-217796.76|-0.51
113|0.01|3.22|2.20|0|44|5641|45|922|-218531.53|-0.46
114|0.01|3.38|2.05|0|45|5686|42|931|-219558.17|-0.43
115|0.01|3.38|2.11|0|42|5728|43|933|-220428.31|-0.49
116|0.02|3.31|1.92|0|43|5771|39|945|-221054.62|-0.47
117|0.01|3.32|1.99|0|39|5810|41|940|-221854.82|-0.47
118|0.01|3.21|1.96|0|41|5851|40|934|-222288.10|-0.43
119|0.01|3.28|2.15|0|40|5891|44|943|-222973.34|-0.42
120|0.00|3.45|2.00|0|44|5935|41|939|-223508.29|-0.53
121|0.00|3.31|2.00|0|41|5976|41|939|-223984.71|-0.44
122|0.01|3.31|1.85|0|41|6017|38|945|-224390.11|-0.41
123|0.00|3.28|1.86|0|38|6055|38|955|-224902.01|-0.48
124|0.00|3.24|1.90|0|38|6093|39|964|-225485.47|-0.51
125|0.00|3.38|1.93|0|39|6132|39|951|-225997.34|-0.46
126|0.00|3.22|1.77|0|39|6171|36|951|-226520.55|-0.39
127|0.00|3.35|1.91|0|36|6207|39|952|-227095.06|-0.41
128|0.01|3.36|1.72|0|39|6246|35|946|-227436.87|-0.37
129|0.00|3.33|1.86|0|35|6281|38|980|-228033.50|-0.38
130|0.01|3.37|1.68|0|38|6319|34|966|-228502.80|-0.37
131|0.00|3.37|1.67|0|34|6353|34|958|-229049.59|-0.39
132|0.00|3.27|1.85|0|34|6387|37|975|-229628.39|-0.43
133|0.01|3.41|1.96|0|37|6424|40|975|-230175.75|-0.37
134|0.01|3.46|1.82|0|40|6464|37|961|-230534.38|-0.35
135|0.00|3.48|1.91|0|37|6501|39|964|-230932.10|-0.39
136|0.00|3.40|1.68|0|39|6540|34|975|-231259.89|-0.35
137|0.02|3.57|1.74|0|34|6574|35|965|-231824.54|-0.34
138|0.01|3.46|1.52|0|35|6609|30|961|-232191.42|-0.37
139|0.01|3.36|1.63|0|30|6639|33|964|-232502.36|-0.38
140|0.01|3.39|1.58|0|33|6672|32|947|-232919.56|-0.36
141|0.01|3.38|1.54|0|32|6704|31|951|-233366.54|-0.31
142|0.01|3.39|1.58|0|31|6735|32|955|-233617.15|-0.33
143|0.01|3.31|1.76|0|32|6767|36|975|-233984.91|-0.33
144|0.01|3.58|1.72|0|36|6803|35|962|-234535.69|-0.35
145|0.01|3.46|1.49|0|35|6838|30|953|-234825.24|-0.36
146|0.01|3.50|1.54|0|30|6868|31|967|-235221.04|-0.34
147|0.01|3.48|1.60|0|31|6899|32|958|-235562.16|-0.31
148|0.01|3.46|1.58|0|32|6931|32|976|-235929.73|-0.33
149|0.01|3.47|1.55|0|32|6963|31|967|-236151.60|-0.32
150|0.00|3.63|1.59|0|31|6994|32|975|-236428.61|-0.31
151|0.01|3.34|1.45|0|32|7026|29|966|-236715.13|-0.37
152|0.01|3.47|1.44|0|29|7055|29|982|-236928.57|-0.29
153|0.01|3.65|1.58|0|29|7084|32|970|-237285.62|-0.30
154|0.01|3.61|1.44|0|32|7116|29|960|-237714.95|-0.31
155|0.01|3.40|1.49|0|29|7145|30|962|-237965.85|-0.37
156|0.01|3.42|1.49|0|30|7175|30|971|-238205.20|-0.33
157|0.01|3.44|1.54|0|30|7205|31|970|-238447.49|-0.29
158|0.00|3.45|1.40|0|31|7236|28|984|-238779.75|-0.27
159|0.01|3.39|1.26|0|28|7264|25|979|-239002.05|-0.29
160|0.01|3.49|1.62|0|25|7289|33|973|-239383.00|-0.31
161|0.01|3.49|1.44|0|33|7322|29|981|-239671.87|-0.28
162|0.01|3.44|1.60|0|29|7351|32|984|-239940.49|-0.26
163|0.01|3.61|1.49|0|32|7383|30|981|-240309.61|-0.32
164|0.01|3.58|1.40|0|30|7413|28|986|-240588.53|-0.27
165|0.01|3.61|1.35|0|28|7441|27|960|-240862.22|-0.25
166|0.01|3.46|1.30|0|27|7468|26|992|-241146.84|-0.26
167|0.01|3.43|1.30|0|26|7494|26|988|-241346.86|-0.25
168|0.00|3.41|1.30|0|26|7520|26|996|-241727.94|-0.27
169|0.00|3.39|1.26|0|26|7546|25|995|-241957.86|-0.23
170|0.01|3.41|1.44|0|25|7571|28|997|-242130.30|-0.23
171|0.02|3.40|1.20|0|28|7599|24|991|-242250.26|-0.24
172|0.00|3.24|1.41|0|24|7623|28|1002|-242698.81|-0.24
173|0.00|3.44|1.26|0|28|7651|25|1006|-242868.04|-0.26
174|0.00|3.27|1.30|0|25|7676|26|1006|-243057.89|-0.22
175|0.00|3.67|1.13|0|26|7702|22|990|-243259.14|-0.25
176|0.00|3.65|1.22|0|22|7724|24|1012|-243451.59|-0.20
177|0.00|3.56|1.16|0|24|7748|23|1008|-243605.37|-0.23
