Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|0.79|0.31|7.48|0|10|10|12|1|4988827.50|-14.32
1|0.00|0.47|7.50|0|12|12|8|3|4987944.95|-14.31
2|0.00|0.46|7.51|0|8|14|11|5|4986578.67|-14.31
3|0.00|0.46|7.49|0|11|18|8|6|4985516.36|-14.30
4|0.00|0.46|7.46|0|8|22|15|10|4984279.18|-14.30
5|0.00|0.47|7.45|0|15|28|8|14|4977142.37|-14.29
6|0.00|0.46|7.53|0|8|32|14|16|4968194.64|-14.29
7|0.00|0.47|7.58|0|14|35|8|19|4960700.26|-14.24
8|0.00|0.47|7.47|0|8|39|15|22|4953093.68|-14.23
9|0.00|0.47|7.52|0|15|43|9|22|4948488.11|-14.28
10|0.00|0.47|7.53|0|9|45|14|23|4945594.68|-28.45
11|0.00|0.47|7.50|0|14|48|14|25|4945213.90|-14.23
12|0.00|0.46|7.48|0|14|55|11|26|4920084.11|-14.22
13|0.00|0.47|7.63|0|11|58|14|27|4918250.79|-28.42
14|0.00|0.47|7.51|0|14|62|14|27|4917804.98|-14.22
15|0.00|0.47|7.52|0|14|65|18|27|4906231.76|-14.22
16|0.00|0.47|7.53|0|18|72|13|29|4901436.33|-28.10
17|0.00|0.48|7.49|0|13|74|9|30|4897463.03|-14.22
18|0.00|0.47|7.49|0|9|79|14|35|4883524.95|-14.21
19|0.00|0.47|7.56|0|14|82|17|39|4880525.79|-14.21
20|0.00|0.48|7.49|0|17|88|4|40|4877923.85|-14.21
21|0.00|0.48|7.52|0|4|91|4|42|4876956.66|-14.21
22|0.00|0.47|7.49|0|4|94|9|46|4866610.52|-14.19
23|0.00|0.47|7.54|0|9|98|14|47|4862357.30|-14.19
24|0.00|0.47|7.57|0|14|101|12|54|4856099.98|-28.31
25|0.00|0.47|7.48|0|12|106|15|55|4855854.53|-28.41
26|0.00|0.47|7.48|0|15|107|9|56|4855829.32|-28.04
27|0.00|0.47|7.56|0|9|110|16|57|4855391.94|-14.19
28|0.00|0.47|7.47|0|16|115|12|56|4852477.97|-28.02
29|0.00|0.48|7.48|0|12|119|14|57|4849757.62|-28.28
30|0.00|0.47|7.50|0|14|122|14|59|4848792.01|-28.09
31|0.00|0.47|7.55|0|14|125|14|62|4848724.07|-14.32
32|0.00|0.47|7.58|0|14|128|9|63|4847901.20|-14.50
33|0.00|0.48|7.49|0|9|133|13|65|4836756.00|-28.37
34|0.00|0.47|7.49|0|13|135|18|66|4836343.64|-42.40
35|0.00|0.48|7.55|0|18|142|5|70|4835819.44|-28.25
36|0.00|0.48|7.55|0|5|145|15|71|4835708.18|-15.06
37|0.00|0.48|7.56|0|15|151|18|72|4835143.17|-14.31
38|0.00|0.48|7.50|0|18|158|18|73|4835094.00|-41.57
