Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|0.75|0.32|2.49|0|10|10|50|1|5025578.50|-14.40
1|0.00|0.49|2.49|0|50|60|50|24|5013366.69|-14.39
2|0.00|0.49|2.50|0|50|110|50|57|4975109.51|-28.40
3|0.00|0.50|2.55|0|50|160|50|83|4959235.77|-97.14
4|0.00|0.53|2.54|0|50|210|50|98|4915681.45|-98.48
5|0.00|0.52|2.49|0|50|260|50|116|4872211.33|-122.86
6|0.00|0.52|2.47|0|50|310|50|142|4832331.15|-103.09
7|0.00|0.54|2.48|0|50|360|50|159|4810710.42|-152.47
8|0.00|0.53|2.49|0|50|410|50|180|4745524.78|-111.49
9|0.00|0.55|2.47|0|50|460|50|210|4658582.87|-67.92
10|0.00|0.55|2.50|0|50|510|50|224|4609315.36|-109.32
11|0.00|0.57|2.49|0|50|560|50|239|4573532.65|-61.84
12|0.00|0.59|2.46|0|50|610|50|249|4520320.35|-79.48
13|0.00|0.59|2.48|0|50|660|50|268|4443600.09|-79.69
14|0.01|0.67|2.55|0|50|710|50|287|4385717.94|-119.84
15|0.00|0.74|2.46|0|50|760|50|294|4334088.45|-66.10
16|0.00|0.78|2.44|0|50|810|50|315|4274680.84|-92.66
17|0.00|0.83|2.49|0|50|860|50|327|4209111.19|-92.23
18|0.01|1.06|2.49|0|50|910|50|330|4160367.56|-94.55
19|0.01|1.10|2.47|0|50|960|50|333|4083673.36|-73.53
20|0.01|1.20|2.50|0|50|1010|50|364|4001795.36|-67.40
21|0.02|1.37|2.52|0|50|1060|50|374|3938286.37|-71.92
22|0.00|1.32|2.51|0|50|1110|50|387|3900288.92|-60.19
23|0.01|1.45|2.56|0|50|1160|50|396|3839553.82|-75.15
24|0.01|1.52|2.52|0|50|1210|50|407|3802484.67|-40.83
25|0.01|1.58|2.48|0|50|1260|50|421|3732574.41|-65.68
26|0.01|1.67|2.51|0|50|1310|50|449|3672990.88|-50.56
27|0.01|1.74|2.52|0|50|1360|50|457|3608548.26|-31.54
28|0.01|1.67|2.52|0|50|1410|50|460|3561730.82|-54.40
29|0.01|1.68|2.44|0|50|1460|50|483|3515909.36|-29.86
30|0.01|1.85|2.51|0|50|1510|50|490|3458649.67|-30.14
31|0.01|2.07|2.50|0|50|1560|50|491|3411096.86|-25.68
32|0.01|2.10|2.49|0|50|1610|50|499|3383415.60|-32.55
33|0.01|2.01|2.50|0|50|1660|50|498|3340788.16|-48.40
34|0.01|2.10|2.49|0|50|1710|50|506|3276494.74|-22.43
35|0.01|2.20|2.49|0|50|1760|50|535|3223353.86|-36.07
36|0.01|2.18|2.47|0|50|1810|50|529|3175029.05|-23.93
37|0.01|2.12|2.49|0|50|1860|50|537|3093064.48|-18.99
38|0.01|2.40|2.58|0|50|1910|50|540|3019557.82|-30.43
39|0.01|2.38|2.49|0|50|1960|50|565|2969572.01|-18.77
40|0.02|2.59|2.48|0|50|2010|50|563|2899410.62|-26.41
41|0.01|2.47|2.48|0|50|2060|50|558|2812490.71|-43.75
42|0.01|2.63|2.49|0|50|2110|50|577|2774243.47|-17.35
