p_i|t_i|p_j|t_j|key|tt|pf
72|1|72|2|h|1|-0.199802
72|2|72|3|h|1|-0.203099
72|3|72|4|h|1|-0.182855
72|4|72|5|h|1|-0.200473
72|5|72|6|h|1|-0.205153
72|6|72|7|h|1|-0.177209
72|7|72|8|h|1|-0.175211
72|8|72|9|h|1|-0.226517
72|9|72|10|h|1|-0.207475
72|10|72|11|h|1|-0.181114
72|11|72|12|h|1|-0.199898
72|12|72|13|h|1|-0.212174
72|13|72|14|h|1|-0.158509
72|14|72|15|h|1|-0.228821
72|15|72|16|h|1|-0.212943
72|16|72|17|h|1|-0.187476
72|17|72|18|h|1|-0.229795
72|18|72|19|h|1|-0.161112
72|19|72|20|h|1|-0.215839
72|20|72|21|h|1|-0.19798
72|21|72|22|h|1|-0.208834
72|22|72|23|h|1|-0.193678
72|23|72|24|h|1|-0.168274
72|24|72|25|h|1|-0.177173
72|25|72|26|h|1|-0.193023
72|26|72|27|h|1|-0.228743
72|27|72|28|h|1|-0.16209
72|28|72|29|h|1|-0.164941
72|29|72|30|h|1|-0.168703
72|30|72|31|h|1|-0.206274
72|31|72|32|h|1|-0.185442
72|32|72|33|h|1|-0.168432
72|33|72|34|h|1|-0.166294
72|34|72|35|h|1|-0.209568
72|35|72|36|h|1|-0.192988
72|36|72|37|h|1|-0.225132
72|37|72|38|h|1|-0.188398
72|38|72|39|h|1|-0.208125
72|39|72|40|h|1|-0.219104
72|40|72|41|h|1|-0.231473
72|41|72|42|h|1|-0.224861
72|42|72|43|h|1|-0.217495
72|43|72|44|h|1|-0.189093
72|44|72|45|h|1|-0.233756
72|45|72|46|h|1|-0.177481
72|46|72|47|h|1|-0.20856
72|47|72|48|h|1|-0.166972
72|48|72|49|h|1|-0.204221
72|49|72|50|h|1|-0.210801
72|50|72|51|h|1|-0.163812
72|51|72|52|h|1|-0.17985
72|52|72|1|h|1|-0.207011
72|1|198|6|d|5|-0.235937
72|1|198|6|g|5|0.188722
72|2|198|7|d|5|-0.192624
72|2|198|7|g|5|0.211109
72|3|198|8|d|5|-0.265447
72|3|198|8|g|5|0.25677
72|4|198|9|d|5|-0.192831
72|4|198|9|g|5|0.231348
72|5|198|10|d|5|-0.23361
72|5|198|10|g|5|0.22004
72|6|198|11|d|5|-0.195
72|6|198|11|g|5|0.205695
72|7|198|12|d|5|-0.187785
72|7|198|12|g|5|0.197817
72|8|198|13|d|5|-0.241915
72|8|198|13|g|5|0.2002
72|9|198|14|d|5|-0.186659
72|9|198|14|g|5|0.18723
72|10|198|15|d|5|-0.248835
72|10|198|15|g|5|0.232498
72|11|198|16|d|5|-0.219015
72|11|198|16|g|5|0.179295
72|12|198|17|d|5|-0.226626
72|12|198|17|g|5|0.216075
72|13|198|18|d|5|-0.264794
72|13|198|18|g|5|0.215391
72|14|198|19|d|5|-0.255932
72|14|198|19|g|5|0.183285
72|15|198|20|d|5|-0.256891
72|15|198|20|g|5|0.226013
72|16|198|21|d|5|-0.231118
72|16|198|21|g|5|0.189804
72|17|198|22|d|5|-0.199828
72|17|198|22|g|5|0.219103
72|18|198|23|d|5|-0.262168
72|18|198|23|g|5|0.203262
72|19|198|24|d|5|-0.20661
72|19|198|24|g|5|0.262747
72|20|198|25|d|5|-0.183753
72|20|198|25|g|5|0.221025
72|21|198|26|d|5|-0.229284
72|21|198|26|g|5|0.217616
72|22|198|27|d|5|-0.19893
72|22|198|27|g|5|0.191646
72|23|198|28|d|5|-0.191266
72|23|198|28|g|5|0.199337
72|24|198|29|d|5|-0.182711
72|24|198|29|g|5|0.216709
72|25|198|30|d|5|-0.197218
72|25|198|30|g|5|0.18227
72|26|198|31|d|5|-0.212559
72|26|198|31|g|5|0.172429
72|27|198|32|d|5|-0.241583
72|27|198|32|g|5|0.185598
